Name,Rohdaten,Saisonbereinigte Zeitreihe,Zufallskomponente der Zeitreihe
Minimum,0.008,-1.3887,-1.7881959054771777
Maximum,5.23,3.3083000000000005,3.4410374656646607
1. zentrales Moment,0.9382854166666666,4.4408920985006264e-17,3.3306690738754695e-17
2. zentrales Moment,0.5722046581206597,0.4120414844270834,0.6509087584555574
3. zentrales Moment,0.7109671204986502,0.3821645807326642,0.7004471545790361
4. zentrales Moment,2.2450038275489863,1.0679920577875064,2.2914486140360264
Standardabweichung (biased),0.7564421049364318,0.6419045757954085,0.8067891660499399
Standardabweichung (unbiased),0.7572312987921126,0.6425742729789011,0.8076308868485592
Skewness (biased),1.6425645036670882,0.8829240576273333,1.6182599724150288
Skewness (unbiased),1.6494371584941472,0.8866183005462761,1.6250309346427068
Kurtosis (biased),3288.209631624562,1562.6925409015053,3356.298392431611
Kurtosis (unbiased),3308.8901953454715,1572.5207958757285,3377.407187352564
25%-Quantil,0.413,-0.41840000000000005,-0.5115415572657256
50%-Quantil,0.713,-0.15437500000000015,-0.1982965651098379
75%-Quantil,1.317,0.28895000000000004,0.3208405838163203
Interquartilsabstand,0.9039999999999999,0.7073500000000001,0.8323821410820459
Autokorrelation,0.3266170394160244,0.23345634558261927,0.24958339456537562
HHQ,5.23,-,-
MHQ,2.568025,-,-
MQ,0.9388492424242425,-,-
MNQ,0.21450000000000005,-,-
NNQ,0.008,-,-
