Name,Rohdaten,Saisonbereinigte Zeitreihe,Zufallskomponente der Zeitreihe
Minimum,0.161,-2.0056499999999997,-1.4416231690249777
Maximum,7.342,5.918225,3.8345108753703196
1. zentrales Moment,1.187,-1.295260195396016e-16,-1.591319668629391e-16
2. zentrales Moment,0.9664822333333334,0.729887191875,0.5811258408194374
3. zentrales Moment,2.053832978049999,1.1738930979481716,0.772326288968149
4. zentrales Moment,9.08822294231903,5.330968394699312,2.3924557554351216
Standardabweichung (biased),0.9830982826418391,0.8543343560193515,0.7623161029516807
Standardabweichung (unbiased),0.9841239462308013,0.8552256805768655,0.7631114251324661
Skewness (biased),2.1615949180677685,1.2354857391026972,0.812849242935395
Skewness (unbiased),2.1706392482688885,1.2406551355006166,0.8162502857928653
Kurtosis (biased),4667.16752705193,2736.426138935811,1226.4118718098434
Kurtosis (unbiased),4696.520781939049,2753.6363662247154,1234.125154022484
25%-Quantil,0.506,-0.4982000000000002,-0.48002091989858897
50%-Quantil,0.887,-0.20087500000000014,-0.1999379219103813
75%-Quantil,1.545,0.2831250000000002,0.23576392557475312
Interquartilsabstand,1.039,0.7813250000000004,0.7157848454733421
Autokorrelation,0.34505561575636307,0.2853310762131475,0.25551602415686403
HHQ,7.342,-,-
MHQ,3.2618750000000007,-,-
MQ,1.1879626893939395,-,-
MNQ,0.3448,-,-
NNQ,0.161,-,-
