Name,Rohdaten,Saisonbereinigte Zeitreihe,Zufallskomponente der Zeitreihe
Minimum,0.037,-1.24905,-1.5254792220086915
Maximum,5.139,4.37735,4.162830337329588
1. zentrales Moment,0.91789375,-3.700743415417188e-17,-7.401486830834377e-18
2. zentrales Moment,0.6360689491276043,0.48872645151041666,0.5495146577668443
3. zentrales Moment,0.9712393231849837,0.7057511598723828,0.8245007487910044
4. zentrales Moment,3.3147809756231057,2.5309699736289084,2.9078048962805307
Standardabweichung (biased),0.7975393088291036,0.6990897306572431,0.7412925588233328
Standardabweichung (unbiased),0.7983713792784934,0.699819088947063,0.7420659472014618
Skewness (biased),1.914564336426006,1.391218383386645,1.625304589002045
Skewness (unbiased),1.922575065867119,1.3970393808066728,1.6321050266129322
Kurtosis (biased),3929.6716243474975,2999.754592404075,3446.8333038705664
Kurtosis (unbiased),3954.386540223897,3018.6209734883773,3468.5115007502554
25%-Quantil,0.341,-0.37307499999999993,-0.43997703075274625
50%-Quantil,0.679,-0.15854999999999997,-0.16418898597095355
75%-Quantil,1.202,0.23449999999999993,0.2462998055196689
Interquartilsabstand,0.861,0.6075749999999999,0.6862768362724152
Autokorrelation,0.3693026278014006,0.2737969954966726,0.2756852273974784
HHQ,5.139,-,-
MHQ,2.52315,-,-
MQ,0.918057575757576,-,-
MNQ,0.220125,-,-
NNQ,0.037,-,-
