Monat,Rohdaten,Trendbereinigte Zeitreihe,Trendkomponente,Saisonale Komponente (Mittel),Saisonale Komponente (Standardabweichung),Saisonbereinigte Zeitreihe,Normierte Zeitreihe,Autokorrelation (Saisonfigur),Autokorrelative Komponente,Zufallskomponente
11/1959,0.139,0.2724794048856549,-0.1334794048856549,0.7575000000000001,0.5559962679730862,-0.6185,-1.1124175387989104,0.406098103926643,-0.4517506532809803,-0.6606668855179301
12/1959,0.213,0.3459220796042952,-0.13292207960429522,1.42805,1.0029220545486075,-1.21505,-1.2115099019802356,0.3170613376769764,-0.3841229501307561,-0.8273869518494794
01/1960,0.389,0.5213647543229355,-0.13236475432293549,1.3075250000000003,0.9740698637033176,-0.9185250000000003,-0.9429765094136664,0.0974804102149085,-0.09192173696066673,-0.8510547724529997
02/1960,0.327,0.45880742904157573,-0.13180742904157572,1.1615499999999999,0.6336680499283517,-0.8345499999999999,-1.317014484309824,0.09451787380781528,-0.12448140883106085,-1.192533075478763
03/1960,0.847,0.978250103760216,-0.13125010376021606,1.5990749999999998,0.8453423385676362,-0.7520749999999998,-0.8896691502218258,0.2561614391114581,-0.2278989298538909,-0.6617702203679349
04/1960,0.384,0.5146927784788563,-0.1306927784788563,1.2087750000000002,0.7409598331724873,-0.8247750000000001,-1.1131170180556895,0.3471853538009393,-0.3864579257355111,-0.7266590923201784
05/1960,0.296,0.4261354531974965,-0.13013545319749653,0.8249750000000002,0.5323955995075467,-0.5289750000000002,-0.9935750793005982,0.604143738519433,-0.6002621629084055,-0.3933129163921927
06/1960,0.225,0.35457812791613685,-0.12957812791613685,0.5708,0.41906736928565547,-0.3458,-0.8251656543659139,0.08448642709070461,-0.06971529789533935,-0.7554503564705746
07/1960,0.225,0.3540208026347771,-0.12902080263477708,0.59665,0.8111535474249003,-0.37165000000000004,-0.4581746590147395,0.2285984453030053,-0.10473801472800404,-0.3534366442867355
08/1960,0.372,0.5004634773534175,-0.12846347735341745,0.490975,0.49595471000384717,-0.118975,-0.23989085616119485,0.5191278471783827,-0.12453402371674013,-0.11535683244445472
09/1960,0.165,0.2929061520720577,-0.12790615207205772,0.45177500000000004,0.4011137299756766,-0.286775,-0.714946855639646,0.3606267164861573,-0.2578289370114282,-0.45711791862821777
10/1960,1.123,1.250348826790698,-0.12734882679069792,0.6170749999999999,0.6417667562089828,0.5059250000000001,0.7883315785762707,0.03502067730085277,0.027607905819391435,0.7607236727568792
11/1960,0.605,0.7317915015093382,-0.12679150150933827,0.7575000000000001,0.5559962679730862,-0.15250000000000008,-0.2742824165995698,0.406098103926643,-0.11138556932150288,-0.16289684727806691
12/1960,1.043,1.1692341762279783,-0.1262341762279784,1.42805,1.0029220545486075,-0.3850500000000001,-0.3839281410291674,0.3170613376769764,-0.12172876996654267,-0.2621993710626247
01/1961,0.46,0.5856768509466188,-0.1256768509466188,1.3075250000000003,0.9740698637033176,-0.8475250000000003,-0.8700864605109472,0.0974804102149085,-0.08481638509304491,-0.7852700754179023
02/1961,2.021,2.146119525665259,-0.12511952566525908,1.1615499999999999,0.6336680499283517,0.85945,1.3563095063687958,0.09451787380781528,0.12819549076730608,1.2281140156014896
03/1961,1.134,1.2585622003838992,-0.12456220038389931,1.5990749999999998,0.8453423385676362,-0.4650749999999999,-0.5501617259441088,0.2561614391114581,-0.14093021946188655,-0.4092315064822223
04/1961,1.364,1.4880048751025396,-0.12400487510253955,1.2087750000000002,0.7409598331724873,0.15522499999999995,0.20949178761200848,0.3471853538009393,0.0727324804004664,0.13675930721154209
05/1961,1.171,1.29444754982118,-0.12344754982118,0.8249750000000002,0.5323955995075467,0.3460249999999998,0.6499396319580115,0.604143738519433,0.3926569590630575,0.25728267289495405
06/1961,1.069,1.19189022453982,-0.12289022453982001,0.5708,0.41906736928565547,0.4982,1.1888303325769183,0.08448642709070461,0.10044002721647792,1.0883903053604405
07/1961,0.398,0.5203328992584604,-0.12233289925846036,0.59665,0.8111535474249003,-0.19865,-0.24489814614093366,0.2285984453030053,-0.055983335465405626,-0.18891481067552804
08/1961,0.372,0.4937755739771007,-0.1217755739771007,0.490975,0.49595471000384717,-0.118975,-0.23989085616119485,0.5191278471783827,-0.12453402371674013,-0.11535683244445472
09/1961,0.21,0.3312182486957409,-0.12121824869574091,0.45177500000000004,0.4011137299756766,-0.24177500000000005,-0.6027592224645643,0.3606267164861573,-0.21737107922914503,-0.38538814323541926
10/1961,0.171,0.2916609234143813,-0.12066092341438131,0.6170749999999999,0.6417667562089828,-0.4460749999999999,-0.6950733980598108,0.03502067730085277,-0.02434194117385982,-0.670731456885951
11/1961,0.293,0.41310359813302155,-0.12010359813302157,0.7575000000000001,0.5559962679730862,-0.4645000000000001,-0.8354372623639352,0.406098103926643,-0.33926948819565944,-0.4961677741682758
12/1961,0.608,0.7275462728516617,-0.11954627285166175,1.42805,1.0029220545486075,-0.8200500000000001,-0.8176607506842454,0.3170613376769764,-0.25924861137790756,-0.5584121393063378
01/1962,0.867,0.9859889475703021,-0.1189889475703021,1.3075250000000003,0.9740698637033176,-0.4405250000000003,-0.4522519548291615,0.0974804102149085,-0.04408570607724093,-0.40816624875192054
02/1962,1.242,1.3604316222889423,-0.11843162228894233,1.1615499999999999,0.6336680499283517,0.08045000000000013,0.12695921785719913,0.09451787380781528,0.011999915332165675,0.11495930252503346
03/1962,0.981,1.0988742970075824,-0.11787429700758245,1.5990749999999998,0.8453423385676362,-0.6180749999999998,-0.7311534887123691,0.2561614391114581,-0.1872933298799237,-0.5438601588324454
04/1962,1.478,1.595316971726223,-0.11731697172622302,1.2087750000000002,0.7409598331724873,0.2692249999999998,0.36334628133253644,0.3471853538009393,0.1261485072366923,0.23719777409584414
05/1962,0.887,1.003759646444863,-0.11675964644486303,0.8249750000000002,0.5323955995075467,0.062024999999999775,0.1165017142466456,0.604143738519433,0.07038378118889116,0.04611793305775444
06/1962,0.253,0.3692023211635034,-0.11620232116350337,0.5708,0.41906736928565547,-0.31779999999999997,-0.7583506216237346,0.08448642709070461,-0.06407033450300417,-0.6942802871207304
07/1962,0.196,0.31164499588214367,-0.11564499588214366,0.59665,0.8111535474249003,-0.40065,-0.4939262131958977,0.2285984453030053,-0.11291076443098295,-0.3810154487649147
