Monat,Rohdaten,Trendbereinigte Zeitreihe,Trendkomponente,Saisonale Komponente (Mittel),Saisonale Komponente (Standardabweichung),Saisonbereinigte Zeitreihe,Normierte Zeitreihe,Autokorrelation (Saisonfigur),Autokorrelative Komponente,Zufallskomponente
11/1959,0.727,0.801367463617464,-0.07436746361746405,1.2701749999999996,0.8448843082783583,-0.5431749999999996,-0.6428986722535311,0.45176513193208645,-0.2904392034895797,-0.35245946876395146
12/1959,0.524,0.5980569522871197,-0.07405695228711973,1.8556750000000002,1.1997986161748144,-1.3316750000000002,-1.1099154325128602,0.4765795047829637,-0.5289629471779479,-0.5809524853349123
01/1960,0.914,0.9877464409567754,-0.0737464409567754,1.855,1.1293969187137,-0.941,-0.8331880354975022,0.26051671568935936,-0.21705941055947864,-0.6161286249380236
02/1960,1.083,1.156435929626431,-0.07343592962643108,1.5890500000000003,0.8372110531401267,-0.5060500000000003,-0.6044473470601697,0.2407521665102482,-0.14552200834610776,-0.45892533871406194
03/1960,2.365,2.438125418296087,-0.07312541829608676,2.2979499999999997,0.9530869307151368,0.0670500000000005,0.07035035088529687,0.2151647235844674,0.015136913802305191,0.05521343708299168
04/1960,1.214,1.2868149069657424,-0.07281490696574244,2.5101500000000003,1.3924084090165498,-1.2961500000000004,-0.9308691269075743,0.5963034119121111,-0.5550804364186345,-0.3757886904889398
05/1960,1.513,1.585504395635398,-0.07250439563539812,1.7459500000000001,0.9186538779649276,-0.2329500000000002,-0.2535775503566685,0.5260739483955815,-0.133400543140612,-0.12017700721605651
06/1960,1.231,1.303193884305054,-0.0721938843050538,1.367525,0.6339820970461232,-0.136525,-0.21534519765795154,0.3795366295995559,-0.08173139051954911,-0.13361380713840243
07/1960,0.738,0.8098833729747095,-0.07188337297470948,1.1959250000000001,0.7332195233182216,-0.45792500000000014,-0.6245401076169353,0.35677549325117197,-0.22282060495017214,-0.4017195026667632
08/1960,0.658,0.7295728616443652,-0.07157286164436516,1.0531000000000001,0.6352678490211826,-0.3951000000000001,-0.621942383214841,0.45395166307760093,-0.28233177919882363,-0.33961060401601734
09/1960,0.496,0.5672623503140208,-0.07126235031402084,1.0156249999999998,0.6514575461033513,-0.5196249999999998,-0.7976344784216579,0.5062344649246262,-0.4037900633892213,-0.3938444150324366
10/1960,2.317,2.3879518389836765,-0.0709518389836763,1.0969250000000001,0.6636755000563151,1.220075,1.8383607650071043,0.003411052261816265,0.006270744645511763,1.8320900203615926
11/1960,1.089,1.1596413276533322,-0.0706413276533322,1.2701749999999996,0.8448843082783583,-0.18117499999999964,-0.2144376433847901,0.45176513193208645,-0.09687545025493541,-0.11756219312985469
12/1960,1.203,1.273330816322988,-0.07033081632298788,1.8556750000000002,1.1997986161748144,-0.6526750000000001,-0.5439871251734327,0.4765795047829637,-0.25925311472346263,-0.2847340104499701
01/1961,0.755,0.8250203049926436,-0.07002030499264356,1.855,1.1293969187137,-1.1,-0.9739711360757201,0.26051671568935936,-0.2537357615466807,-0.7202353745290393
02/1961,3.585,3.654709793662299,-0.06970979366229901,1.5890500000000003,0.8372110531401267,1.9959499999999997,2.3840464032501627,0.2407521665102482,0.5739643366434415,1.8100820666067212
