Monat,Parameter xp,Parameter sp,Parameter rp
11,0.7575000000000001,0.5630793085279441,0.6588537338471591
12,1.42805,1.0156986467578073,0.41402777759788734
1,1.307525,0.9864788972621715,0.3078246777517422
2,1.16155,0.6417405798255801,0.09169081850308308
3,1.599075,0.8561114649300144,0.12312496155863314
4,1.208775,0.7503991924815238,0.22268654001622099
5,0.824975,0.539177982483402,0.3528777617690851
6,0.5708,0.424406022335772,0.5979573763955958
7,0.59665,0.8214871302267645,0.07548909259536675
8,0.490975,0.5022728591114595,0.21535092479326995
9,0.4517749999999999,0.4062236650241355,0.5140381691444185
10,0.617075,0.649942458498423,0.3610912735450593
