Zeitreihe,Speicherkapazität [hm³]
original,20.946746655000002
G001,13.960963962491235
G002,12.956438540715936
G003,15.305037152240942
G004,15.950542084327992
G005,13.238512834816675
G006,18.0202248686941
G007,15.149262814482938
G008,12.14498697149699
G009,12.598454734037603
G010,15.15525635464951
G011,16.32078753593649
G012,14.440960145084972
G013,15.014059486091583
G014,15.544221291430148
G015,14.032878941983085
G016,18.336800781558964
G017,14.891161310086375
G018,16.163884123403875
G019,18.899713360247574
G020,13.390295625472618
G021,18.33812659453082
G022,12.497953848603345
G023,14.693830159803042
G024,19.909246127395853
G025,17.500689366002206
G026,14.744242437364846
G027,18.900811172480985
G028,17.029069461783024
G029,20.41322991063305
G030,13.058691448202076
G031,16.034868329515575
G032,17.290939646431355
G033,15.265079499454203
G034,14.249840072375662
G035,22.932519784829424
G036,17.791491161205272
G037,15.38215196631586
G038,17.159902202359802
G039,18.396935283828327
G040,15.239446179617516
G041,13.107540018183556
G042,16.516259837457255
G043,25.763862261101586
G044,15.158475290360116
G045,14.271879235894971
G046,14.352391648630743
G047,15.109385843656455
G048,15.794442554734221
G049,17.12232757470531
G050,14.879470189598877
G051,15.208785672007707
G052,15.161169183612628
G053,12.367556800524255
G054,15.779067588711825
G055,16.859612261619702
G056,14.597324046168183
G057,14.892681210494857
G058,16.57900469777735
G059,12.833802806751834
G060,19.002799277581573
G061,21.006798839486578
G062,18.919261641674098
G063,17.310585356424724
G064,19.744179591945908
G065,15.052629832595755
G066,16.68504371178298
G067,19.76055901164186
G068,16.64972972823557
G069,16.510298466940753
G070,16.882406828849582
G071,23.477296406665857
G072,14.262335240288332
G073,13.452261361286332
G074,14.849868032703
G075,28.776183662012613
G076,22.103223647406708
G077,14.428112463530113
G078,13.54614360385574
G079,14.53756563314073
G080,13.957504117692537
G081,13.96498456319
G082,15.142535169197117
G083,15.710255638372132
G084,13.078114850541283
G085,12.262540010458338
G086,15.87808424031968
G087,13.727977311291909
G088,15.005104622077056
G089,13.851203857755905
G090,13.764934695825076
G091,18.008428228632965
G092,14.577876009213526
G093,14.238278911151156
G094,14.379880869529813
G095,13.649918883915035
G096,18.84534072304676
G097,18.264613214547126
G098,15.680738039159394
G099,16.26834895758526
G100,27.91765443018437
