Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
0.336,1.8342283679999998,2.7854487359999993,0.0,-0.9512203679999998,0
0.256,1.8342283679999998,2.9956887359999995,0.0,-1.1614603679999997,0
0.701,1.31016312,1.31016312,0.5320648800000001,0.0,0
0.562,1.0481304959999997,1.0481304959999997,0.9608703840000006,0.0,0
1.864,0.7860978719999998,0.7860978719999998,5.073364512,0.0,0
1.15,1.8342283679999998,1.8342283679999998,6.2613361439999995,0.0,0
1.147,1.8342283679999998,1.8342283679999998,7.441423776,0.0,0
0.672,2.62032624,2.62032624,6.587113536,0.0,0
0.42,3.1443914879999992,3.1443914879999992,4.546482048000001,0.0,0
0.493,3.6684567359999996,3.6684567359999996,2.173629312000002,0.0,0
0.254,3.6684567359999996,4.495772159999998,0.0,-0.8273154239999978,0
1.97,2.62032624,2.62032624,2.55683376,0.0,0
1.161,1.8342283679999998,1.8342283679999998,3.7737133920000003,0.0,0
1.415,1.8342283679999998,1.8342283679999998,5.658105024000001,0.0,0
0.584,1.31016312,1.31016312,5.882693904000001,0.0,0
1.968,1.0481304959999997,1.0481304959999997,10.006467408,0.0,0
2.547,0.7860978719999998,0.7860978719999998,15.913885536,0.0,0
2.235,1.8342283679999998,1.8342283679999998,19.953237168,0.0,0
1.634,1.8342283679999998,1.8342283679999998,22.4131608,0.0,0
2.273,2.62032624,2.62032624,25.76627856,0.0,0
0.745,3.1443914879999992,3.1443914879999992,24.579747072,0.0,0
0.699,3.6684567359999996,3.6684567359999996,22.748262336,0.0,0
0.462,3.6684567359999996,3.6684567359999996,20.2939416,0.0,0
0.4,2.62032624,2.62032624,18.72481536,0.0,0
0.409,1.8342283679999998,1.8342283679999998,17.965438992000003,0.0,0
0.688,1.8342283679999998,1.8342283679999998,17.939274624000003,0.0,0
1.165,1.31016312,1.31016312,19.690731504000002,0.0,0
0.621,1.0481304959999997,1.0481304959999997,20.274589008000003,0.0,0
0.957,0.7860978719999998,0.7860978719999998,22.003487136000004,0.0,0
3.646,1.8342283679999998,1.8342283679999998,29.750946768000006,0.0,0
1.435,1.8342283679999998,1.8342283679999998,31.687898400000005,0.0,0
0.612,2.62032624,2.62032624,30.675908160000006,0.0,0
0.632,3.1443914879999992,3.1443914879999992,29.192412672000007,0.0,0
0.329,3.6684567359999996,3.6684567359999996,26.38856793600001,0.0,0
0.323,3.6684567359999996,3.6684567359999996,23.56895520000001,0.0,0
0.316,2.62032624,2.62032624,21.77907696000001,0.0,0
0.398,1.8342283679999998,1.8342283679999998,20.99079259200001,0.0,0
0.433,1.8342283679999998,1.8342283679999998,20.29448822400001,0.0,0
0.405,1.31016312,1.31016312,20.04866510400001,0.0,0
0.31,1.0481304959999997,1.0481304959999997,19.81521460800001,0.0,0
1.512,0.7860978719999998,0.7860978719999998,23.00265273600001,0.0,0
2.717,1.8342283679999998,1.8342283679999998,28.30870036800001,0.0,0
0.869,1.8342283679999998,1.8342283679999998,28.75820400000001,0.0,0
0.946,2.62032624,2.62032624,28.62396576000001,0.0,0
0.725,3.1443914879999992,3.1443914879999992,27.384874272000012,0.0,0
0.318,3.6684567359999996,3.6684567359999996,24.552121536000012,0.0,0
0.23,3.6684567359999996,3.6684567359999996,21.488104800000013,0.0,0
0.268,2.62032624,2.62032624,19.572082560000013,0.0,0
0.279,1.8342283679999998,1.8342283679999998,18.471066192000013,0.0,0
0.268,1.8342283679999998,1.8342283679999998,17.34114182400001,0.0,0
0.254,1.31016312,1.31016312,16.69849070400001,0.0,0
0.25,1.0481304959999997,1.0481304959999997,16.307360208000013,0.0,0
1.139,0.7860978719999998,0.7860978719999998,18.514554336000014,0.0,0
1.806,1.8342283679999998,1.8342283679999998,21.426493968000013,0.0,0
0.984,1.8342283679999998,1.8342283679999998,22.178217600000014,0.0,0
0.376,2.62032624,2.62032624,20.546019360000013,0.0,0
0.252,3.1443914879999992,3.1443914879999992,18.063883872000012,0.0,0
0.161,3.6684567359999996,3.6684567359999996,14.818535136000012,0.0,0
0.186,3.6684567359999996,3.6684567359999996,11.638886400000013,0.0,0
0.296,2.62032624,2.62032624,9.796448160000013,0.0,0
0.52,1.8342283679999998,1.8342283679999998,9.328779792000013,0.0,0
0.575,1.8342283679999998,1.8342283679999998,9.005651424000012,0.0,0
0.493,1.31016312,1.31016312,8.991092304000013,0.0,0
0.323,1.0481304959999997,1.0481304959999997,8.791805808000014,0.0,0
2.131,0.7860978719999998,0.7860978719999998,13.605975936000013,0.0,0
5.107,1.8342283679999998,1.8342283679999998,25.19294356800001,0.0,0
3.595,1.8342283679999998,1.8342283679999998,32.80637520000001,0.0,0
1.713,2.62032624,2.62032624,34.68781296000001,0.0,0
0.553,3.1443914879999992,3.1443914879999992,32.99670547200001,0.0,0
