Pu [-],Kapazität [hm³]
0.0,10.131227949006332
0.01,15.098210293177946
0.02,15.589207437002688
0.03,15.925602458547086
0.04,16.192255922893217
0.05,16.418182905532632
0.06,16.617104683428884
0.07,16.796692142471198
0.08,16.961706715237735
0.09,17.115325374841596
0.1,17.259783632044638
0.11,17.39672017130865
0.12,17.527375879517663
0.13,17.652715683931536
0.14,17.773506717178595
0.15,17.890370437112594
0.16,18.00381852296173
0.17,18.11427828843136
0.18,18.222111105862297
0.19,18.327626043258274
0.2,18.431090144048188
0.21,18.53273630294636
0.22,18.632769388548347
0.23,18.73137106600806
0.24,18.828703641606875
0.25,18.92491316152222
0.26,19.020131935069003
0.27,19.114480608967725
0.28,19.20806988790899
0.29,19.301001973985393
0.3,19.393371780881203
0.31,19.485267966308477
0.32,19.576773816858335
0.33,19.6679680123628
0.34,19.758925291446587
0.35,19.849717035766357
0.36,19.940411787183532
0.37,20.03107570957159
0.38,20.121773004956577
0.39,20.212566292107546
0.4,20.30351695444053
0.41,20.39468546310632
0.42,20.48613168034681
0.43,20.577915147586424
0.44,20.6700953622452
0.45,20.76273204689396
0.46,20.855885414104204
0.47,20.949616430161363
0.48,21.043987080702664
0.49,21.1390606413027
0.5,21.234901956058565
0.51,21.331577727321076
0.52,21.429156819880472
0.53,21.52771058314854
0.54,21.627313195190204
0.55,21.72804203285588
0.56,21.82997807276339
0.57,21.933206328491565
0.58,22.037816330096657
0.59,22.14390265297512
0.6,22.251565504203896
0.61,22.360911375835997
0.62,22.472053776267526
0.63,22.585114052791
0.64,22.70022232089672
0.65,22.81751851889065
0.66,22.937153610109185
0.67,23.05929095961698
0.68,23.18410791802023
0.69,23.31179765223993
0.7,23.44257127220005
0.71,23.576660313973353
0.72,23.714319654775608
0.73,23.85583095437447
0.74,24.001506742455113
0.75,24.15169530430907
0.76,24.30678656077444
0.77,24.46721919677415
0.78,24.63348937202766
0.79,24.806161456281572
0.8,24.985881382715014
0.81,25.173393426711794
0.82,25.36956152331014
0.83,25.575396683105453
0.84,25.79209273000592
0.85,26.021073591598547
0.86,26.264056938228606
0.87,26.52314146398774
0.88,26.800929206098907
0.89,27.100701273391536
0.9,27.426677677798878
0.91,27.78441474431257
0.92,28.1814379964217
0.93,28.628300752393116
0.94,29.1404662529878
0.95,29.741926181686075
0.96,30.472921962971014
0.97,31.409033905780625
0.98,32.72046206504515
0.99,34.95345760713284
1.0,inf
