Pu [-],Kapazität [hm³]
0.0,10.725161853608384
0.01,16.050626015582374
0.02,16.61119957884866
0.03,16.99708250082716
0.04,17.303952167261883
0.05,17.564607452255526
0.06,17.794586206991188
0.07,18.00258665150137
0.08,18.194013959823486
0.09,18.37247813334745
0.1,18.540521598127974
0.11,18.700009508462678
0.12,18.852355312372325
0.13,18.998658923698265
0.14,19.139795418104654
0.15,19.276474206612072
0.16,19.409279809984653
0.17,19.538700738837797
0.18,19.66515044052933
0.19,19.788982809969816
0.2,19.91050388664764
0.21,20.029980819940626
0.22,20.1476488414525
0.23,20.26371675927956
0.24,20.378371339835127
0.25,20.491780841251895
0.26,20.604097891939105
0.27,20.71546185821193
0.28,20.826000809367088
0.29,20.93583316278371
0.3,21.04506907266845
0.31,21.15381161196484
0.32,21.26215778634979
0.33,21.370199411196722
0.34,21.47802387622547
0.35,21.585714817803492
0.36,21.6933527151657
0.37,21.801015423926955
0.38,21.908778657985934
0.39,22.01671642912291
0.4,22.124901452172313
0.41,22.233405522526304
0.42,22.342299871837852
0.43,22.451655507096387
0.44,22.56154353771154
0.45,22.672035494834894
0.46,22.78320364685689
0.47,22.895121314821687
0.48,23.007863191397064
0.49,23.121505667013235
0.5,23.236127166840078
0.51,23.351808502407224
0.52,23.46863324188741
0.53,23.586688103366463
0.54,23.7060633758213
0.55,23.826853373032307
0.56,23.949156926283877
0.57,24.0730779224777
0.58,24.198725895222648
0.59,24.326216677606908
0.6,24.455673126743477
0.61,24.58722593186257
0.62,24.721014519770826
0.63,24.857188073993356
0.64,24.9959066869694
0.65,25.1373426684263
0.66,25.28168203769151
0.67,25.429126233452955
0.68,25.579894081654693
0.69,25.734224071223274
0.7,25.892376998701785
0.71,26.054639057348513
0.72,26.22132546481503
0.73,26.392784747491447
0.74,26.569403830838052
0.75,26.751614126080288
0.76,26.939898858147266
0.77,27.134801952846537
0.78,27.33693890045572
0.79,27.547010149124983
0.8,27.76581777103378
0.81,27.994286411836793
0.82,28.23348991768208
0.83,28.48468559397619
0.84,28.749358882618044
0.85,29.029282508715397
0.86,29.326596113242317
0.87,29.64391552486413
0.88,29.984485981065816
0.89,30.352402378210787
0.9,30.752935134121408
0.91,31.193028925300542
0.92,31.682097516939713
0.93,32.23335430022833
0.94,32.8661800249094
0.95,33.61067951893604
0.96,34.51741629650179
0.97,35.681512846074426
0.98,37.317627001713944
0.99,40.11682581156613
1.0,inf
