Pu [-],Kapazität [hm³]
0.0,8.86699885226896
0.01,12.828002002798542
0.02,13.21943732457163
0.03,13.487613994577693
0.04,13.70018895375048
0.05,13.880294822106123
0.06,14.038870963607083
0.07,14.182032995515065
0.08,14.313576952108928
0.09,14.436035651746305
0.1,14.55119133160478
0.11,14.660350410539891
0.12,14.764502165212528
0.13,14.864415865394907
0.14,14.960703090837836
0.15,15.05385928360662
0.16,15.144292366067571
0.17,15.232343001285406
0.18,15.31829928150904
0.19,15.402407600141185
0.2,15.484880847149562
0.21,15.565904687985661
0.22,15.645642444728896
0.23,15.724238940883435
0.24,15.801823566389075
0.25,15.8785127480514
0.26,15.9544119611401
0.27,16.029617383049178
0.28,16.10421726497176
0.29,16.178293079445687
0.3,16.251920488327976
0.31,16.325170165868514
0.32,16.39810850412367
0.33,16.47079822231104
0.34,16.543298897388752
0.35,16.615667429808887
0.36,16.687958455802338
0.37,16.760224715523286
0.38,16.83251738478536
0.39,16.90488637686014
0.4,16.977380619809747
0.41,17.050048314033297
0.42,17.122937174080626
0.43,17.196094658293998
0.44,17.26956818945562
0.45,17.34340536932706
0.46,17.417654189752874
0.47,17.492363242854417
0.48,17.56758193275361
0.49,17.64336069123644
0.5,17.719751199788583
0.51,17.796806620510935
0.52,17.874581838551837
0.53,17.95313371887888
0.54,18.032521380460985
0.55,18.112806491248797
0.56,18.194053587738047
0.57,18.276330423388913
0.58,18.35970835077168
0.59,18.444262743035747
0.6,18.530073461181946
0.61,18.617225374691003
0.62,18.705808944366733
0.63,18.795920877845234
0.64,18.887664870171342
0.65,18.981152444239434
0.66,19.076503908853965
0.67,19.173849455835118
0.68,19.27333042217426
0.69,19.37510074899111
0.7,19.47932867630447
0.71,19.58619872186269
0.72,19.695914004111923
0.73,19.80869898466136
0.74,19.92480272550712
0.75,20.044502782433884
0.76,20.16810989072696
0.77,20.295973645880032
0.78,20.4284894451198
0.79,20.56610704224539
0.8,20.709341188856385
0.81,20.858785005205455
0.82,21.015126967850428
0.83,21.179172757056794
0.84,21.35187373572634
0.85,21.534364634362344
0.86,21.728014263958826
0.87,21.93449506855523
0.88,22.155880598975003
0.89,22.394785546764794
0.9,22.654572797279283
0.91,22.939670114536312
0.92,23.25607446817115
0.93,23.612195593121832
0.94,24.02035578750786
0.95,24.49967336381586
0.96,25.08221540302929
0.97,25.828208932049655
0.98,26.87327846431634
0.99,28.652699885108593
1.0,inf
