Zeitreihe,Speicherkapazität [hm³]
original,29.919789460799997
G001,27.406259369420013
G002,28.530511688666365
G003,25.088169694881174
G004,20.451854264202325
G005,27.492719316283655
G006,28.210999153251862
G007,23.084912933770056
G008,28.799084737176372
G009,24.227947114918436
G010,20.679926403817774
G011,31.670952354736755
G012,21.923996332324805
G013,23.365005942957737
G014,19.078977602996474
G015,29.157373329272787
G016,28.145361828199157
G017,25.43480358635844
G018,22.566131561165093
G019,21.85270917871503
G020,26.367335569232942
G021,30.4352719016199
G022,23.596107620212855
G023,17.42249949199214
G024,27.049531179759015
G025,25.71163624724528
G026,24.088966457214156
G027,23.95786978944389
G028,29.901838609693925
G029,18.334739266676934
G030,25.343222044260592
G031,19.91398048376425
G032,24.98461635637591
G033,17.46458480251266
G034,28.351390146232575
G035,22.66306521672584
G036,27.2975313531108
G037,27.568748182361503
G038,24.808409460531266
G039,22.653576148610682
G040,22.33862407282828
G041,38.829955588990245
G042,21.49038751990048
G043,23.536447776643627
G044,26.998950223326005
G045,26.470685858694537
G046,24.116518958551865
G047,21.442122523763672
G048,22.681594938956167
G049,24.650570300754566
G050,25.401415126638938
G051,27.731360300792517
G052,25.480520352353466
G053,35.83684982794557
G054,23.561915208909
G055,23.656896118138548
G056,24.430397824090846
G057,20.313266383099744
G058,21.65373916445668
G059,37.86778616650568
G060,25.33025323077277
G061,28.128654431076882
G062,27.54319267225685
G063,27.3162906238706
G064,35.72710406386659
G065,23.202216596764657
G066,22.274058935212565
G067,30.282720078648083
G068,20.258906598065728
G069,19.851662644603735
G070,19.663716062272897
G071,26.365514887668155
G072,36.35097844180609
G073,21.551259829934907
G074,25.06645731401727
G075,27.181469803941184
G076,28.254000007788477
G077,23.87592044364112
G078,29.208601577720174
G079,20.58379689000617
G080,32.7660203240315
G081,30.66854608014478
G082,22.833748995555766
G083,24.672373675853606
G084,27.129715631580666
G085,30.93186849343965
G086,28.74397790310286
G087,34.313415483020435
G088,21.5377088157735
G089,27.36830781983008
G090,27.487737960741356
G091,28.43815868409274
G092,30.00125415570767
G093,27.096632071342356
G094,31.36347169033189
G095,22.42660465880533
G096,19.20214128911357
G097,21.181344072561387
G098,30.574283088452717
G099,21.300165670530532
G100,27.60782872499749
