Monat,Rohdaten,Trendbereinigte Zeitreihe,Trendkomponente,Saisonale Komponente (Mittel),Saisonale Komponente (Standardabweichung),Saisonbereinigte Zeitreihe,Normierte Zeitreihe,Autokorrelation (Saisonfigur),Autokorrelative Komponente,Zufallskomponente
11/1959,0.425,0.5487318347193351,-0.12373183471933508,1.110025,0.7690523872760555,-0.685025,-0.8907390593069007,0.46185765782723365,-0.4113946556667185,-0.47934440364018216
12/1959,0.377,0.5002152091046406,-0.12321520910464057,1.7079,1.1734057013667525,-1.3309,-1.134219817109975,0.48059933480737943,-0.5451052896284015,-0.5891145274815736
01/1960,0.582,0.7046985834899459,-0.12269858348994589,1.6002999999999996,1.0068155541110795,-1.0182999999999995,-1.0114067028881568,0.34514101739868874,-0.34907793843867174,-0.6623287644494851
02/1960,0.328,0.4501819578752515,-0.12218195787525149,1.402025,0.7544804333943989,-1.074025,-1.4235292957406116,0.4196229802799043,-0.5973456055944287,-0.8261836901461829
03/1960,1.31,1.431665332260557,-0.12166533226055698,2.2176000000000005,1.0338432134516338,-0.9076000000000004,-0.8778894015948973,-0.020098529201029617,0.01764428577322946,-0.8955336873681267
04/1960,1.133,1.2541487066458625,-0.12114870664586253,2.7356000000000003,1.414785103823192,-1.6026000000000002,-1.132751536377697,0.49634635880103123,-0.5622371005073438,-0.5705144358703532
05/1960,0.916,1.036632081031168,-0.12063208103116796,1.7487,0.9181740357906011,-0.8326999999999999,-0.9069086769405289,0.5713401275307383,-0.5181533191419349,-0.38875535779859405
06/1960,0.616,0.7361154554164734,-0.1201154554164734,1.2726250000000003,0.7400365763764654,-0.6566250000000003,-0.8872872246600517,0.14934274461245026,-0.1325099093902959,-0.7547773152697559
07/1960,0.354,0.4735988298017788,-0.11959882980177883,1.1700249999999996,0.8026661350617703,-0.8160249999999997,-1.016643115181633,0.24406371397250995,-0.2481256944758116,-0.7685174207058215
08/1960,0.265,0.3840822041870844,-0.11908220418708437,0.9759500000000001,0.8019349708673389,-0.7109500000000001,-0.8865432059049211,0.4128413642938783,-0.3660017066312563,-0.5205414992736648
09/1960,0.2,0.31856557857238976,-0.11856557857238975,0.8639500000000002,0.5493960297453924,-0.6639500000000003,-1.2085089153405346,0.5506659346567532,-0.6654846914070145,-0.5430242239335201
10/1960,1.287,1.4050489529576953,-0.11804895295769535,0.9608499999999998,0.6798271306001255,0.32615000000000016,0.4797543159421828,-0.013852909594518388,-0.00664599316632707,0.4864003091085099
11/1960,0.705,0.8225323273430009,-0.1175323273430009,1.110025,0.7690523872760555,-0.4050250000000001,-0.5266546293869239,0.46185765782723365,-0.24323947361251444,-0.28341515577440946
12/1960,0.811,0.9280157017283065,-0.11701570172830644,1.7079,1.1734057013667525,-0.8968999999999999,-0.7643562656592806,0.48059933480737943,-0.36734911283170285,-0.39700715282757776
01/1961,0.462,0.5784990761136117,-0.11649907611361171,1.6002999999999996,1.0068155541110795,-1.1382999999999996,-1.130594372873995,0.34514101739868874,-0.3902144921189631,-0.7403798807550318
02/1961,1.866,1.9819824504989174,-0.11598245049891731,1.402025,0.7544804333943989,0.463975,0.6149596191813508,0.4196229802799043,0.2580511881526734,0.35690843102867736
03/1961,2.603,2.7184658248842233,-0.11546582488422308,2.2176000000000005,1.0338432134516338,0.38539999999999974,0.3727837983414203,-0.020098529201029617,-0.007492406056635772,0.38027620439805604
04/1961,1.767,1.8819491992695283,-0.1149491992695284,2.7356000000000003,1.414785103823192,-0.9686000000000003,-0.6846269425529998,0.49634635880103123,-0.33981209007326424,-0.3448148524797356
05/1961,1.826,1.9404325736548338,-0.11443257365483372,1.7487,0.9181740357906011,0.07730000000000015,0.0841888323856167,0.5713401275307383,0.04810045823186219,0.03608837415375451
06/1961,1.507,1.6209159480401392,-0.11391594804013927,1.2726250000000003,0.7400365763764654,0.23437499999999956,0.3167073189106402,0.14934274461245026,0.04729794024496557,0.2694093786656746
07/1961,0.688,0.8013993224254448,-0.11339932242544482,1.1700249999999996,0.8026661350617703,-0.4820249999999997,-0.6005298827798494,0.24406371397250995,-0.1465675535427261,-0.4539623292371233
08/1961,0.474,0.5868826968107503,-0.11288269681075036,0.9759500000000001,0.8019349708673389,-0.5019500000000001,-0.6259235701582041,0.4128413642938783,-0.258407140647808,-0.3675164295103961
09/1961,0.297,0.40936607119605584,-0.11236607119605585,0.8639500000000002,0.5493960297453924,-0.5669500000000003,-1.0319513962682676,0.5506659346567532,-0.5682604801464071,-0.46369091612186053
10/1961,0.274,0.38584944558136125,-0.11184944558136123,0.9608499999999998,0.6798271306001255,-0.6868499999999997,-1.0103303753024313,-0.013852909594518388,0.013996015349660414,-1.0243263906520916
11/1961,0.599,0.7103328199666668,-0.11133281996666677,1.110025,0.7690523872760555,-0.5110250000000001,-0.6644865921423437,0.46185765782723365,-0.30689822110446313,-0.3575883710378806
12/1961,0.848,0.9588161943519723,-0.11081619435197232,1.7079,1.1734057013667525,-0.8599,-0.732824119567862,0.48059933480737943,-0.352194784395118,-0.380629335172744
01/1962,0.805,0.9152995687372779,-0.11029956873727786,1.6002999999999996,1.0068155541110795,-0.7952999999999996,-0.7899162828311411,0.34514101739868874,-0.27263250951613044,-0.5172837733150106
02/1962,0.902,1.0117829431225833,-0.1097829431225833,1.402025,0.7544804333943989,-0.500025,-0.6627408450480197,0.4196229802799043,-0.2781012885522723,-0.3846395564957474
03/1962,0.828,0.9372663175078887,-0.10926631750788873,2.2176000000000005,1.0338432134516338,-1.3896000000000006,-1.3441109656856205,-0.020098529201029617,0.02701465349325656,-1.371125619178877
04/1962,2.703,2.811749691893194,-0.10874969189319428,2.7356000000000003,1.414785103823192,-0.032600000000000406,-0.023042368704550963,0.49634635880103123,-0.011436995804654706,-0.011605372899896257
05/1962,1.43,1.5382330662784998,-0.10823306627849982,1.7487,0.9181740357906011,-0.3187,-0.34710195189257426,0.5713401275307383,-0.19831327346047156,-0.1487886784321027
06/1962,0.614,0.7217164406638051,-0.10771644066380515,1.2726250000000003,0.7400365763764654,-0.6586250000000003,-0.8899897937814225,0.14934274461245026,-0.13291351848038624,-0.7570762753010363
07/1962,0.482,0.5891998150491107,-0.10719981504911069,1.1700249999999996,0.8026661350617703,-0.6880249999999997,-0.8571745710276562,0.24406371397250995,-0.2092052093278028,-0.6479693616998534
08/1962,0.325,0.4316831894344162,-0.10668318943441618,0.9759500000000001,0.8019349708673389,-0.6509500000000001,-0.8117241717192607,0.4128413642938783,-0.33511331448289794,-0.47661085723636276
