Lags,Autokorrelation_normierteDaten,Autokorrelation_Rohdaten,UnterKonfGrenze,ObereKonfGrenze
0,1.0,1.0,-0.07692844676393687,0.07692844676393687
1,0.4272243307157794,0.4551241619862556,-0.07701037973839399,0.07701037973839399
2,0.1950078526847666,0.16201514299713074,-0.07709257265887132,0.07709257265887132
3,0.07428532305175224,0.021327792901926705,-0.07717502689780649,0.07717502689780649
4,0.02735978340562191,-0.08110738088040191,-0.07725774383778206,0.07725774383778206
5,0.06738905683674551,-0.11269678888625201,-0.07734072487162198,0.07734072487162198
6,0.029460564828324695,-0.1516626103648424,-0.07742397140248926,0.07742397140248926
7,0.026014073821811486,-0.12856277382935954,-0.07750748484398462,0.07750748484398462
8,-0.042111369545752265,-0.08827468771618283,-0.07759126662024654,0.07759126662024654
9,-0.07227240531916511,-0.050747910737811236,-0.07767531816605218,0.07767531816605218
10,-0.021447620696337218,0.03410495969432412,-0.07775964092691973,0.07775964092691973
11,0.002015261808333411,0.169110536957936,-0.07784423635921187,0.07784423635921187
12,0.02731903342433947,0.2542949237764562,-0.07792910593024038,0.07792910593024038
13,0.07144788438934983,0.18495351443302468,-0.07801425111837217,0.07801425111837217
14,0.013518606261801965,0.04156031868702242,-0.07809967341313634,0.07809967341313634
15,-0.0007968100947468589,0.002932100993181057,-0.07818537431533269,0.07818537431533269
16,-0.017337955600179984,-0.10354362965019599,-0.07827135533714144,0.07827135533714144
17,-0.027118404826365322,-0.1733351298084408,-0.07835761800223426,0.07835761800223426
18,0.05405207926743906,-0.12506960498140032,-0.0784441638458866,0.0784441638458866
19,0.07944255499800945,-0.07615598095721851,-0.07853099441509148,0.07853099441509148
20,0.06697223433290904,0.013770529845836951,-0.07861811126867455,0.07861811126867455
21,0.01906405956919631,0.01591834827405377,-0.0787055159774104,0.0787055159774104
22,-0.03205916237964738,0.02043313010926283,-0.07879321012414064,0.07879321012414064
23,-0.08152219631212908,0.07791740893364457,-0.07888119530389304,0.07888119530389304
24,-0.058801667932667855,0.1412533834684312,-0.07896947312400227,0.07896947312400227
25,-0.013735305992308235,0.10407798829630265,-0.0790580452042321,0.0790580452042321
26,-0.03630879557301923,-0.0020488322713811684,-0.07914691317689912,0.07914691317689912
27,-0.051831694525541525,-0.0503044029256311,-0.0792360786869978,0.0792360786869978
28,-0.07002121470329307,-0.12184262900119881,-0.07932554339232731,0.07932554339232731
29,-0.06142451205683145,-0.19377068586467303,-0.07941530896361973,0.07941530896361973
30,-0.020999136321364853,-0.18822344906501443,-0.07950537708466988,0.07950537708466988
31,0.017046232596619425,-0.11924059209495386,-0.07959574945246671,0.07959574945246671
32,0.11954502162035141,0.026799674713586772,-0.07968642777732635,0.07968642777732635
33,0.07974927331464421,0.050865262553207,-0.07977741378302684,0.07977741378302684
34,0.07255727443739746,0.05837127770982623,-0.07986870920694449,0.07986870920694449
35,0.031288993868602594,0.14042157341716352,-0.07996031580019172,0.07996031580019172
36,-0.016196944070671057,0.17230698020259505,-0.08005223532775711,0.08005223532775711
37,-0.011946650350296155,0.0985094331796744,-0.08014446956864665,0.08014446956864665
38,0.05042522804973767,0.07021696674191387,-0.08023702031602709,0.08023702031602709
39,0.022341589733406546,0.00944712555936285,-0.08032988937737101,0.08032988937737101
40,0.02596696753816155,-0.07253806100179723,-0.08042307857460365,0.08042307857460365
41,0.018925776202285676,-0.1608396338743875,-0.08051658974425158,0.08051658974425158
42,-0.015719297349477204,-0.19540411851162917,-0.08061042473759342,0.08061042473759342
43,-0.02842358798294063,-0.16584234781612262,-0.08070458542081213,0.08070458542081213
44,-0.008771903450078194,-0.056257411698894075,-0.0807990736751496,0.0807990736751496
45,0.003578642156856933,0.025172453173360677,-0.08089389139706293,0.08089389139706293
46,0.009347410421378339,0.05850393477807712,-0.0809890404983828,0.0809890404983828
47,-0.01328323865384008,0.13225946284763224,-0.08108452290647383,0.08108452290647383
48,-0.04732631957077185,0.16626301232358962,-0.08118034056439703,0.08118034056439703
49,0.004124094662843008,0.13826172678491117,-0.0812764954310743,0.0812764954310743
50,0.012930360180042346,0.04517936654316715,-0.08137298948145505,0.08137298948145505
