Name,Rohdaten,Saisonbereinigte Zeitreihe,Zufallskomponente der Zeitreihe
Minimum,0.117,-1.7709499999999996,-1.4583182162881934
Maximum,6.864,5.008324999999999,2.256955760001453
1. zentrales Moment,1.5710875000000002,-4.070817756958907e-17,-3.700743415417188e-17
2. zentrales Moment,1.0588295256770832,0.8357398580208333,0.41960348460588887
3. zentrales Moment,1.7566715570613396,1.1282713246005467,0.31199725590652094
4. zentrales Moment,7.3563366056072805,4.507145987061564,0.7846111714129868
Standardabweichung (biased),1.0289944245121463,0.9141880867856643,0.6477680793354121
Standardabweichung (unbiased),1.0300679714129009,0.9151418565670125,0.6484438938951538
Skewness (biased),1.6123209783434096,1.0355581375495837,0.28635957522143457
Skewness (unbiased),1.6190670912235077,1.0398910167861928,0.28755773243993427
Kurtosis (biased),3146.5662218786283,1926.7043513621334,332.92601525429575
Kurtosis (unbiased),3166.3559465445314,1938.821988792084,335.0198895640712
25%-Quantil,0.841,-0.5750500000000003,-0.4242841115407431
50%-Quantil,1.272,-0.22262499999999974,-0.15696383035355282
75%-Quantil,2.034,0.41205000000000025,0.3002865710238259
Interquartilsabstand,1.1929999999999998,0.9871000000000005,0.724570682564569
Autokorrelation,0.4551241619862556,0.3989455171691026,0.3886662789778125
HHQ,6.864,-,-
MHQ,3.6294750000000002,-,-
MQ,1.5722022727272726,-,-
MNQ,0.551725,-,-
NNQ,0.117,-,-
