Lags,Autokorrelation_normierteDaten,Autokorrelation_Rohdaten,UnterKonfGrenze,ObereKonfGrenze
0,1.0,1.0,-0.07692844676393687,0.07692844676393687
1,0.4308026079205855,0.4603633431145816,-0.07701037973839399,0.07701037973839399
2,0.2447438599804543,0.1814497273298597,-0.07709257265887132,0.07709257265887132
3,0.13989956241923113,0.04518780203572942,-0.07717502689780649,0.07717502689780649
4,0.09613778159841348,-0.052285875822234186,-0.07725774383778206,0.07725774383778206
5,0.11100712046964267,-0.11498128715442135,-0.07734072487162198,0.07734072487162198
6,0.060110916663106216,-0.17254887089557722,-0.07742397140248926,0.07742397140248926
7,0.08468252621278739,-0.11671394171028296,-0.07750748484398462,0.07750748484398462
8,0.07712607360691821,-0.019527701183898134,-0.07759126662024654,0.07759126662024654
9,0.042408065189522115,0.013634469514101756,-0.07767531816605218,0.07767531816605218
10,0.08995000497357639,0.1168353905962871,-0.07775964092691973,0.07775964092691973
11,0.07691332294973331,0.2612191336240133,-0.07784423635921187,0.07784423635921187
12,0.08053786746955696,0.35947541421060886,-0.07792910593024038,0.07792910593024038
13,0.11236527957920638,0.2429659336139895,-0.07801425111837217,0.07801425111837217
14,0.059837601146333984,0.06547195388308173,-0.07809967341313634,0.07809967341313634
15,0.03001163181244225,0.00016476888812639969,-0.07818537431533269,0.07818537431533269
16,0.019500780659843828,-0.09631628154169095,-0.07827135533714144,0.07827135533714144
17,0.01720962993979869,-0.17553601828203366,-0.07835761800223426,0.07835761800223426
18,0.06379773893723643,-0.1679603717058324,-0.0784441638458866,0.0784441638458866
19,0.11647249938728883,-0.08891664036665438,-0.07853099441509148,0.07853099441509148
20,0.08832038742376333,-0.0008434080733234523,-0.07861811126867455,0.07861811126867455
21,0.016685305289017478,-0.01575562173238023,-0.0787055159774104,0.0787055159774104
22,-0.01257299439486789,0.022876207418625883,-0.07879321012414064,0.07879321012414064
23,-0.02999243994318346,0.15245547240599996,-0.07888119530389304,0.07888119530389304
24,-0.007490103841999528,0.2590078905785453,-0.07896947312400227,0.07896947312400227
25,0.04654230559708821,0.1892462743485059,-0.0790580452042321,0.0790580452042321
26,0.022098097884887664,0.0312826476086504,-0.07914691317689912,0.07914691317689912
27,-2.8993109200463957e-05,-0.03728105428505891,-0.0792360786869978,0.0792360786869978
28,-0.015370194346487115,-0.1076062525891265,-0.07932554339232731,0.07932554339232731
29,-0.02210607559266516,-0.19356178355502346,-0.07941530896361973,0.07941530896361973
30,0.04021862394749653,-0.18511736269463214,-0.07950537708466988,0.07950537708466988
31,0.05263791437380307,-0.12472738474446551,-0.07959574945246671,0.07959574945246671
32,0.11900288361621354,0.009583944636718201,-0.07968642777732635,0.07968642777732635
33,0.0716588473892873,0.02111974665631154,-0.07977741378302684,0.07977741378302684
34,0.05431951040090933,0.05291683898149336,-0.07986870920694449,0.07986870920694449
35,0.027081736289662515,0.19203395292059033,-0.07996031580019172,0.07996031580019172
36,-0.013421043880457893,0.24068648759147604,-0.08005223532775711,0.08005223532775711
37,0.03575693470870433,0.16987032379199793,-0.08014446956864665,0.08014446956864665
38,0.05640280395613215,0.054994313416302974,-0.08023702031602709,0.08023702031602709
39,0.018220731694673756,-0.031433977156435235,-0.08032988937737101,0.08032988937737101
40,0.021518940564689816,-0.0947070385579474,-0.08042307857460365,0.08042307857460365
41,0.031995411567111096,-0.17582214277907768,-0.08051658974425158,0.08051658974425158
42,-0.005825675771597249,-0.2272891202889163,-0.08061042473759342,0.08061042473759342
43,-0.0028359024423663015,-0.17225735604523584,-0.08070458542081213,0.08070458542081213
44,-0.0019518634306116454,-0.06703610269017372,-0.0807990736751496,0.0807990736751496
45,0.005388630706626094,0.008593885175476584,-0.08089389139706293,0.08089389139706293
46,-0.022104075447536533,0.033519027231765114,-0.0809890404983828,0.0809890404983828
47,-0.0510678044570001,0.1537043023871668,-0.08108452290647383,0.08108452290647383
48,-0.0791646060671082,0.23164641161161884,-0.08118034056439703,0.08118034056439703
49,-0.01921986547777085,0.16193617485410006,-0.0812764954310743,0.0812764954310743
50,-0.018556918436134228,0.023179705375274865,-0.08137298948145505,0.08137298948145505
