Monat,Parameter xp,Parameter sp,Parameter rp
11,1.1773,0.867555634808039,0.6890950843084462
12,1.7568750000000002,1.2056515035767688,0.4590227958257741
1,1.77105,1.0922925068464129,0.36061748084123135
2,1.5095500000000002,0.8005952897367795,0.44134929087235586
3,2.4804000000000004,1.1685168069844474,0.33124837299594995
4,3.0667500000000003,1.5999630885165397,0.04350029009653874
5,2.13905,1.0788962296527755,0.6320990060667069
6,1.4696,0.7092221741511557,0.609233825297248
7,1.241225,0.7790451580834922,0.21046527172390012
8,1.10135,0.7219373348044935,0.23938758168323748
9,0.9811249999999999,0.6047510268591361,0.504297591784769
10,1.065175,0.7269229454280169,0.643603301307858
