Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
0.336,1.8342283679999998,1.8342283679999998,9.791916648152965,0.0,0.0
0.256,1.8342283679999998,1.8342283679999998,8.630456280152965,0.0,0.0
0.701,1.31016312,1.31016312,9.162521160152965,0.0,0.0
0.562,1.0481304959999997,1.0481304959999997,9.591326664152966,0.0,0.0
1.864,0.7860978719999998,0.7860978719999998,13.703820792152966,0.0,0.0
1.15,1.8342283679999998,1.8342283679999998,14.891792424152966,0.0,0.0
1.147,1.8342283679999998,1.8342283679999998,16.071880056152967,0.0,0.0
0.672,2.62032624,2.62032624,15.217569816152967,0.0,0.0
0.42,3.1443914879999992,3.1443914879999992,13.176938328152968,0.0,0.0
0.493,3.6684567359999996,3.6684567359999996,10.804085592152969,0.0,0.0
0.254,3.6684567359999996,3.6684567359999996,7.80314085615297,0.0,0.0
1.97,2.62032624,2.62032624,10.35997461615297,0.0,0.0
1.161,1.8342283679999998,1.8342283679999998,11.57685424815297,0.0,0.0
1.415,1.8342283679999998,1.8342283679999998,13.461245880152969,0.0,0.0
0.584,1.31016312,1.31016312,13.68583476015297,0.0,0.0
1.968,1.0481304959999997,1.0481304959999997,17.80960826415297,0.0,0.0
2.547,0.7860978719999998,3.016850231847041,21.48627403230593,0.0,2.230752359847042
2.235,1.8342283679999998,5.873579999999997,21.48627403230593,0.0,4.039351631999999
1.634,1.8342283679999998,4.294151999999997,21.48627403230593,0.0,2.459923631999999
2.273,2.62032624,5.973444000000001,21.48627403230593,0.0,3.35311776
0.745,3.1443914879999992,3.1443914879999992,20.29974254430593,0.0,0.0
0.699,3.6684567359999996,3.6684567359999996,18.46825780830593,0.0,0.0
0.462,3.6684567359999996,3.6684567359999996,16.01393707230593,0.0,0.0
0.4,2.62032624,2.62032624,14.44481083230593,0.0,0.0
0.409,1.8342283679999998,1.8342283679999998,13.68543446430593,0.0,0.0
0.688,1.8342283679999998,1.8342283679999998,13.65927009630593,0.0,0.0
1.165,1.31016312,1.31016312,15.41072697630593,0.0,0.0
0.621,1.0481304959999997,1.0481304959999997,15.994584480305932,0.0,0.0
0.957,0.7860978719999998,0.7860978719999998,17.723482608305932,0.0,0.0
3.646,1.8342283679999998,5.818896576,21.48627403230593,0.0,3.984668208000002
1.435,1.8342283679999998,3.771180000000001,21.48627403230593,0.0,1.9369516319999995
0.612,2.62032624,2.62032624,20.47428379230593,0.0,0.0
0.632,3.1443914879999992,3.1443914879999992,18.99078830430593,0.0,0.0
0.329,3.6684567359999996,3.6684567359999996,16.18694356830593,0.0,0.0
0.323,3.6684567359999996,3.6684567359999996,13.367330832305932,0.0,0.0
0.316,2.62032624,2.62032624,11.577452592305931,0.0,0.0
0.398,1.8342283679999998,1.8342283679999998,10.789168224305932,0.0,0.0
0.433,1.8342283679999998,1.8342283679999998,10.092863856305932,0.0,0.0
0.405,1.31016312,1.31016312,9.847040736305932,0.0,0.0
0.31,1.0481304959999997,1.0481304959999997,9.613590240305932,0.0,0.0
1.512,0.7860978719999998,0.7860978719999998,12.801028368305932,0.0,0.0
2.717,1.8342283679999998,1.8342283679999998,18.10707600030593,0.0,0.0
0.869,1.8342283679999998,1.8342283679999998,18.55657963230593,0.0,0.0
0.946,2.62032624,2.62032624,18.42234139230593,0.0,0.0
0.725,3.1443914879999992,3.1443914879999992,17.18324990430593,0.0,0.0
0.318,3.6684567359999996,3.6684567359999996,14.350497168305932,0.0,0.0
