Zeitreihe,Speicherkapazität [hm³]
original,22.89609259199999
G001,22.939038962775783
G002,15.562935293924976
G003,20.54610827434658
G004,25.72956468238604
G005,22.812856848763488
G006,17.736397862347076
G007,17.00013304667422
G008,23.919393457484205
G009,23.878443138948995
G010,21.6369395259278
G011,22.399150413720633
G012,21.371301155107346
G013,21.464776235369982
G014,22.655367871748467
G015,28.38611839942837
G016,18.84027137401111
G017,26.443121539787285
G018,19.672694746206986
G019,23.372864491959504
G020,25.847867000370172
G021,41.65101689632672
G022,18.220905143084906
G023,24.275989800045068
G024,18.136529559275857
G025,24.173908397933587
G026,18.834849057968597
G027,18.02841112442978
G028,17.01708790218572
G029,23.271320782647763
G030,24.54188420586803
G031,18.380823387221426
G032,23.625617687737304
G033,22.311521652650015
G034,18.75228994894178
G035,18.514780110689003
G036,23.99201042594268
G037,18.674408533779797
G038,32.02507057473008
G039,22.72455978295295
G040,18.545752628828296
G041,22.594049570266606
G042,29.21071000485381
G043,25.93439549346641
G044,22.95692902606561
G045,23.185705012415156
G046,24.88506943613538
G047,27.67521102280807
G048,19.76319398228327
G049,20.60637963797535
G050,18.63595892806768
G051,19.19470496520438
G052,22.91851322496896
G053,25.799503833051062
G054,20.57146987999738
G055,22.025307678434615
G056,20.33536561066728
G057,17.92214765097583
G058,17.518456164218662
G059,17.649902277686124
G060,25.353606805004233
G061,24.083643901660537
G062,24.963328653197237
G063,23.15069868582276
G064,21.420684980217914
G065,16.49161437590942
G066,23.759598757424698
G067,21.400216932267085
G068,17.256957375652178
G069,26.383771198746217
G070,23.23185207565922
G071,20.107255639394737
G072,18.472599084419386
G073,17.429652263670732
G074,23.60936403757455
G075,20.827644623203355
G076,18.464906615177597
G077,20.65276514640304
G078,21.56988802351377
G079,22.154619270531498
G080,19.38454018443059
G081,16.72410139817748
G082,26.26117636227925
G083,24.915182843897583
G084,20.163072328261848
G085,22.686427732443576
G086,19.619071017562476
G087,22.969172910596683
G088,19.47366419974867
G089,21.363405646319165
G090,21.78834967249884
G091,19.236841774977847
G092,14.964772295093667
G093,36.55426754308837
G094,31.070891892661223
G095,30.26445972885176
G096,20.34544268631604
G097,14.571782979032264
G098,19.14184921591894
G099,17.089821527943286
G100,15.829570071746446
