Zeitreihe,Speicherkapazität [hm³]
original,15.016065208200002
G001,19.22798072956865
G002,25.20318273224143
G003,20.54751847147321
G004,24.673394009462072
G005,22.215944112394993
G006,25.85299448318733
G007,32.83022501864491
G008,19.06446673562823
G009,19.868477069748565
G010,25.175130297977887
G011,16.610763333534187
G012,22.478803236410386
G013,40.06629998108474
G014,30.473413748052053
G015,21.861740914248685
G016,21.726831279298494
G017,25.581469117403742
G018,22.512774658332205
G019,20.384953893152215
G020,24.046256687630944
G021,23.339254729840377
G022,30.276725353844995
G023,25.19376639235577
G024,18.588309134013798
G025,25.603210671376956
G026,21.90144723720647
G027,24.05014815272807
G028,29.80648112741889
G029,25.47778250254055
G030,25.195957832789475
G031,20.09305962414055
G032,22.025736370444008
G033,26.4951328108217
G034,25.205010804114636
G035,16.327348281274112
G036,24.887778655668285
G037,20.543957381064956
G038,20.89068261341413
G039,30.64391839894074
G040,26.21350128921921
G041,23.143538962034
G042,38.443497629526064
G043,18.728563277402372
G044,34.72859966969213
G045,19.963725524149083
G046,23.268730561126233
G047,35.6137034307601
G048,20.94396306062447
G049,15.609791256385279
G050,17.617352097201774
G051,19.6129068630529
G052,22.866773838241755
G053,21.773797183846355
G054,26.63627847165037
G055,16.845493399280144
G056,22.504682435308496
G057,22.105524561318816
G058,19.278628690736923
G059,22.586790518017665
G060,25.722466573340256
G061,21.183996000580095
G062,33.81700975491455
G063,22.919496598794083
G064,21.561153739876545
G065,32.934032256894795
G066,20.226371881302896
G067,24.14778559822605
G068,26.897172552318374
G069,33.856803605823075
G070,22.17581970270362
G071,23.483617928547005
G072,19.84575996452429
G073,25.266140107451434
G074,26.188915793678007
G075,18.86590616791534
G076,24.012241467123943
G077,28.558205564762943
G078,18.47450596456312
G079,20.58314970376101
G080,20.41830103093514
G081,29.105027127656456
G082,26.595726241030434
G083,19.882883228919127
G084,18.538162548177638
G085,22.08598750424278
G086,20.401313143181824
G087,31.12423472360092
G088,34.52644468059816
G089,26.363992453683508
G090,23.001120536937833
G091,16.39594578215622
G092,22.802384532222447
G093,30.39775918712894
G094,25.780575551510765
G095,20.180499229792076
G096,19.690243389080194
G097,25.72265612719349
G098,19.949147056405195
G099,29.541821529082767
G100,31.791590869356583
