Zeitreihe,Speicherkapazität [hm³]
original,15.588083835000003
G001,17.37084167095935
G002,20.31892797284081
G003,18.081718943542455
G004,15.924889720041406
G005,15.324115439060392
G006,13.437005716915337
G007,17.08577985857844
G008,16.33040792377136
G009,19.615867380977534
G010,19.178180876728916
G011,25.07385094522772
G012,15.438812063766306
G013,18.577685716228928
G014,18.996135334526684
G015,19.605199942937162
G016,14.189679009304257
G017,18.81961936069888
G018,21.363488592177703
G019,19.667518205021736
G020,21.0256505881069
G021,20.375227977799568
G022,17.093473337406294
G023,14.979783163141747
G024,17.626274346600155
G025,25.57254754449565
G026,21.55443401704906
G027,14.297818173201136
G028,18.889097764486223
G029,19.26376861694962
G030,22.08665662635643
G031,13.991947412735499
G032,16.899944979169334
G033,17.093878480461512
G034,17.482416351660504
G035,16.828606036261355
G036,17.428096865060525
G037,15.066884577257326
G038,19.64765945903514
G039,17.18029829747809
G040,19.639672233036464
G041,20.597076785602155
G042,15.245988980592728
G043,19.76374335085586
G044,18.468188013975563
G045,15.242908492510423
G046,22.24157147355544
G047,19.51512493221827
G048,15.274273986737136
G049,16.841527883745243
G050,15.291093308021857
G051,12.690751623919539
G052,13.860914597997123
G053,27.744199030581285
G054,16.32367060287335
G055,18.01878923095785
G056,13.865245016218608
G057,21.49840433429864
G058,16.216415911194872
G059,20.47550067733073
G060,18.127410111329198
G061,16.77576402766431
G062,19.52557249305528
G063,20.052031983364827
G064,17.12451653047472
G065,15.21790524500301
G066,20.86545221827089
G067,21.485973253644147
G068,24.819808070389783
G069,21.916239645948608
G070,18.239546348857687
G071,34.67698833799716
G072,15.048889488409031
G073,22.604784483207425
G074,25.300295793018336
G075,20.918514191593886
G076,19.78896009263083
G077,15.51180569933203
G078,16.323546969418828
G079,15.622578116374022
G080,16.63975819926854
G081,15.474872661529616
G082,18.762563441212308
G083,20.846977698182542
G084,12.8442900746345
G085,14.663973628133363
G086,18.372453942640902
G087,17.173081258573518
G088,16.651443849099238
G089,12.928321784905137
G090,19.15352309399435
G091,14.946407308663709
G092,15.568733084490532
G093,18.15522658370537
G094,16.80179073232982
G095,17.25212098007279
G096,20.458403101985766
G097,21.61053324467855
G098,15.08044792111654
G099,19.938511168060472
G100,15.879218744377113
