Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
0.727,2.4277449546,2.4277449546,49.4828110454,0,0.0
0.524,2.4277449546,2.4277449546,48.432138090799995,0,0.0
0.914,1.7341035390000001,1.7341035390000001,49.10002655179999,0,0.0
1.083,1.3872828312,1.3872828312,50.55886772059999,0,0.0
2.365,1.0404621233999998,1.0404621233999998,55.73362559719999,0,0.0
1.214,2.4277449546,2.4277449546,56.49627264259999,0,0.0
1.513,2.4277449546,2.4277449546,58.044691687999986,0,0.0
1.231,3.4682070780000003,3.4682070780000003,57.811552609999985,0,0.0
0.738,4.161848493599999,4.161848493599999,55.58916811639999,0,0.0
0.658,4.8554899092,4.8554899092,52.46290220719999,0,0.0
0.496,4.8554899092,4.8554899092,48.91090029799999,0,0.0
2.317,3.4682070780000003,3.4682070780000003,51.53176921999999,0,0.0
1.089,2.4277449546,2.4277449546,51.96591626539999,0,0.0
1.203,2.4277449546,2.4277449546,52.69965531079999,0,0.0
0.755,1.7341035390000001,1.7341035390000001,52.94969177179999,0,0.0
3.585,1.3872828312,1.3872828312,60.98378894059999,0,0.0
3.454,1.0404621233999998,1.0404621233999998,69.02043881719999,0,0.0
2.641,2.4277449546,2.4277449546,73.5332418626,0,0.0
2.789,2.4277449546,2.4277449546,78.434988908,0,0.0
1.993,3.4682070780000003,3.4682070780000003,80.20438582999999,0,0.0
0.745,4.161848493599999,4.161848493599999,78.0003973364,0,0.0
0.783,4.8554899092,4.8554899092,75.2026314272,0,0.0
0.59,4.8554899092,4.8554899092,71.897661518,0,0.0
0.634,3.4682070780000003,3.4682070780000003,70.09560644000001,0,0.0
0.696,2.4277449546,2.4277449546,69.49694948540001,0,0.0
0.758,2.4277449546,2.4277449546,69.06122853080001,0,0.0
1.031,1.7341035390000001,1.7341035390000001,70.0365929918,0,0.0
1.062,1.3872828312,1.3872828312,71.44024616060001,0,0.0
1.71,1.0404621233999998,1.0404621233999998,74.89366403720001,0,0.0
3.206,2.4277449546,2.4277449546,80.89128708260002,0,0.0
1.586,2.4277449546,2.4277449546,82.63155012800001,0,0.0
0.841,3.4682070780000003,3.4682070780000003,81.37349105000001,0,0.0
0.965,4.161848493599999,4.161848493599999,79.74766255640002,0,0.0
0.683,4.8554899092,4.8554899092,76.68709664720002,0,0.0
0.496,4.8554899092,4.8554899092,73.13509473800002,0,0.0
0.638,3.4682070780000003,3.4682070780000003,71.34355166000002,0,0.0
0.624,2.4277449546,2.4277449546,70.55567870540001,0,0.0
0.51,2.4277449546,2.4277449546,69.46821375080002,0,0.0
0.183,1.7341035390000001,1.7341035390000001,68.21503421180002,0,0.0
0.117,1.3872828312,1.3872828312,67.13522738060001,0,0.0
1.465,1.0404621233999998,1.0404621233999998,69.94478525720001,0,0.0
1.579,2.4277449546,2.4277449546,71.66665230260001,0,0.0
0.996,2.4277449546,2.4277449546,71.856395348,0,0.0
0.914,3.4682070780000003,3.4682070780000003,70.79018027000001,0,0.0
0.783,4.161848493599999,4.161848493599999,68.68605577640001,0,0.0
0.51,4.8554899092,4.8554899092,65.17084586720001,0,0.0
0.769,4.8554899092,4.8554899092,62.336287958000014,0,0.0
0.834,3.4682070780000003,3.4682070780000003,61.059832880000016,0,0.0
1.262,2.4277449546,2.4277449546,61.948623925400014,0,0.0
0.548,2.4277449546,2.4277449546,60.961022970800016,0,0.0
0.417,1.7341035390000001,1.7341035390000001,60.32279543180002,0,0.0
1.982,1.3872828312,1.3872828312,64.14420860060002,0,0.0
1.217,1.0404621233999998,1.0404621233999998,66.30202247720003,0,0.0
2.0,2.4277449546,2.4277449546,69.13027752260003,0,0.0
0.876,2.4277449546,2.4277449546,69.00466056800002,0,0.0
0.421,3.4682070780000003,3.4682070780000003,66.64284149000002,0,0.0
0.207,4.161848493599999,4.161848493599999,63.024988996400026,0,0.0
0.365,4.8554899092,4.8554899092,59.128719087200025,0,0.0
0.348,4.8554899092,4.8554899092,55.18777317800002,0,0.0
0.752,3.4682070780000003,3.4682070780000003,53.69582210000002,0,0.0
0.886,2.4277449546,2.4277449546,53.596485145400024,0,0.0
1.758,2.4277449546,2.4277449546,55.78876419080002,0,0.0
1.851,1.7341035390000001,1.7341035390000001,58.919088651800024,0,0.0
1.196,1.3872828312,1.3872828312,60.674893820600026,0,0.0
4.154,1.0404621233999998,1.0404621233999998,70.55114369720003,0,0.0
4.995,2.4277449546,2.4277449546,81.25025874260004,0,0.0
5.182,2.4277449546,2.4277449546,92.44080978800004,0,0.0
2.724,3.4682070780000003,3.4682070780000003,96.13127471000004,0,0.0
1.038,4.161848493599999,4.161848493599999,94.69729021640005,0,0.0
0.572,4.8554899092,4.8554899092,91.34501630720005,0,0.0
0.803,4.8554899092,4.8554899092,88.59981039800006,0,0.0
0.696,3.4682070780000003,3.4682070780000003,86.96069132000005,0,0.0
0.641,2.4277449546,2.4277449546,86.21749436540006,0,0.0
2.324,2.4277449546,2.4277449546,89.89722141080006,0,0.0
1.207,1.7341035390000001,1.7341035390000001,91.33511387180006,0,0.0
2.748,1.3872828312,1.3872828312,97.16957504060007,0,0.0
2.172,1.0404621233999998,2.877591040600066,100.0,0,1.8371289172000616
2.527,2.4277449546,6.640956000000003,100.0,0,4.213211045400001
0.962,2.4277449546,2.5281360000000035,100.0,0,0.1003910454000021
1.165,3.4682070780000003,3.4682070780000003,99.593412922,0,0.0
2.337,4.161848493599999,5.735048922000004,100.0,0,1.5732004283999999
0.903,4.8554899092,4.8554899092,97.5175940908,0,0.0
0.931,4.8554899092,4.8554899092,95.1087721816,0,0.0
1.055,3.4682070780000003,3.4682070780000003,94.4131051036,0,0.0
1.127,2.4277449546,2.4277449546,94.94711614900001,0,0.0
2.41,2.4277449546,2.4277449546,98.8528511944,0,0.0
2.961,1.7341035390000001,6.634359194400005,100.0,0,4.900255655400002
3.851,1.3872828312,10.120428000000004,100.0,0,8.733145168800007
2.758,1.0404621233999998,7.248024000000001,100.0,0,6.207561876599996
1.731,2.4277449546,4.549068000000005,100.0,0,2.121323045400004
1.069,2.4277449546,2.8093319999999977,100.0,0,0.3815870453999963
2.341,3.4682070780000003,6.152148000000011,100.0,0,2.683940922000005
1.369,4.161848493599999,4.161848493599999,99.4358835064,0,0.0
1.317,4.8554899092,4.8554899092,98.0414695972,0,0.0
1.965,4.8554899092,4.8554899092,98.34999968800001,0,0.0
0.927,3.4682070780000003,3.4682070780000003,97.31794861000002,0,0.0
0.724,2.4277449546,2.4277449546,96.79287565540001,0,0.0
2.699,2.4277449546,3.8858476554000134,100.0,0,1.458102700800012
3.468,1.7341035390000001,9.113904000000005,100.0,0,7.379800461000002
1.638,1.3872828312,4.3046640000000025,100.0,0,2.9173811688000058
3.348,1.0404621233999998,8.798544000000007,100.0,0,7.758081876600002
2.727,2.4277449546,7.166556,100.0,0,4.7388110453999985
1.424,2.4277449546,3.742272,100.0,0,1.3145270453999984
0.703,3.4682070780000003,3.4682070780000003,98.379276922,0,0.0
0.776,4.161848493599999,4.161848493599999,96.25675642840001,0,0.0
0.665,4.8554899092,4.8554899092,93.1488865192,0,0.0
0.938,4.8554899092,4.8554899092,90.75846061,0,0.0
2.441,3.4682070780000003,3.4682070780000003,93.705201532,0,0.0
1.462,2.4277449546,2.4277449546,95.1195925774,0,0.0
0.917,2.4277449546,2.4277449546,95.1017236228,0,0.0
0.9,1.7341035390000001,1.7341035390000001,95.7328200838,0,0.0
0.924,1.3872828312,1.3872828312,96.77380925259999,0,0.0
1.8,1.0404621233999998,1.504209252599992,100.0,0,0.4637471291999873
4.496,2.4277449546,11.815488000000002,100.0,0,9.3877430454
3.141,2.4277449546,8.254548,100.0,0,5.826803045399998
1.286,3.4682070780000003,3.4682070780000003,99.911400922,0,0.0
0.903,4.161848493599999,4.161848493599999,98.1226364284,0,0.0
0.524,4.8554899092,4.8554899092,94.6442185192,0,0.0
0.51,4.8554899092,4.8554899092,91.12900861,0,0.0
0.548,3.4682070780000003,3.4682070780000003,89.100945532,0,0.0
0.541,2.4277449546,2.4277449546,88.0949485774,0,0.0
0.776,2.4277449546,2.4277449546,87.7065316228,0,0.0
0.645,1.7341035390000001,1.7341035390000001,87.6674880838,0,0.0
0.934,1.3872828312,1.3872828312,88.73475725259999,0,0.0
2.034,1.0404621233999998,1.0404621233999998,93.03964712919999,0,0.0
6.412,2.4277449546,9.89038312919999,100.0,0,7.462638174599988
4.165,2.4277449546,10.945620000000005,100.0,0,8.517875045400004
2.093,3.4682070780000003,5.500404000000003,100.0,0,2.032196921999997
0.927,4.161848493599999,4.161848493599999,98.2743075064,0,0.0
1.844,4.8554899092,4.8554899092,98.26484959720001,0,0.0
0.793,4.8554899092,4.8554899092,95.49336368800002,0,0.0
1.886,3.4682070780000003,3.4682070780000003,96.98156461000002,0,0.0
2.613,2.4277449546,3.8485286100000167,100.0,0,1.4207836554000153
1.92,2.4277449546,5.045760000000001,100.0,0,2.6180150454
1.224,1.7341035390000001,3.2166720000000026,100.0,0,1.4825684609999996
1.4,1.3872828312,3.6791999999999945,100.0,0,2.2919171687999977
2.71,1.0404621233999998,7.121880000000004,100.0,0,6.0814178766
2.499,2.4277449546,6.567372000000006,100.0,0,4.139627045400005
1.127,2.4277449546,2.9617560000000083,100.0,0,0.5340110454000069
2.396,3.4682070780000003,6.296688000000003,100.0,0,2.828480921999997
1.158,4.161848493599999,4.161848493599999,98.8813755064,0,0.0
