Zeitreihe,Speicherkapazität [hm³]
original,29.03506498260001
G001,21.29522396778634
G002,21.002021552169545
G003,22.062560922870148
G004,19.172308458120824
G005,27.55689241778782
G006,25.268297617910378
G007,21.583337199827383
G008,24.576872908431653
G009,23.111394836131012
G010,25.508558930603215
G011,22.383647280315017
G012,26.16986754661582
G013,25.594674880078514
G014,25.03265448174318
G015,23.272946274654828
G016,27.3197354006237
G017,26.96436500734785
G018,20.896038057673806
G019,25.379629285436664
G020,21.43556738545601
G021,20.119377400553617
G022,24.469046652608995
G023,24.926135313027288
G024,32.32030612656973
G025,32.47735598899885
G026,22.48798087087812
G027,22.095332598529808
G028,29.18470004132746
G029,25.82554859866559
G030,33.041537420975715
G031,21.61827066010079
G032,28.78084457084742
G033,23.573750697495427
G034,28.883623536146274
G035,20.913064387726422
G036,33.623799315672954
G037,20.038641056883534
G038,19.952146482011813
G039,27.289064156359046
G040,22.83644810787166
G041,22.259365575053664
G042,23.79802310194475
G043,22.50941869369626
G044,22.96982924417341
G045,26.321752630154833
G046,22.06315188033227
G047,25.05194163893782
G048,24.930637017058416
G049,22.620276792103823
G050,22.20344990748322
G051,29.751045365700747
G052,29.79917048885477
G053,23.218083099769203
G054,24.6426382633166
G055,21.23606758533583
G056,19.05759026098616
G057,45.52461960619445
G058,42.4028135036815
G059,21.49554387697009
G060,21.206687425866562
G061,22.76016132765139
G062,19.468249277899986
G063,24.371333460603637
G064,25.689132916471408
G065,25.183122332841947
G066,23.235591805701574
G067,27.97473374289393
G068,20.856476664254046
G069,18.22422288925219
G070,30.004529987344085
G071,26.64757976355122
G072,21.324259662304655
G073,19.576404089410175
G074,20.623443385194832
G075,17.404750233231653
G076,22.96990968307
G077,23.906262096673572
G078,18.597821947325105
G079,25.750704342672748
G080,27.45927829146035
G081,26.256683605783905
G082,25.665261456195594
G083,20.301183317861387
G084,26.279043219959874
G085,21.18215075912815
G086,16.744736033738832
G087,25.162545168365114
G088,26.760600696607412
G089,28.511440565420685
G090,31.150945410877625
G091,21.57219738511776
G092,24.670367346634407
G093,28.6231350738949
G094,18.631743894466524
G095,33.5196639391113
G096,28.621916189968772
G097,21.239148341636565
G098,34.08844390656941
G099,19.587512373925335
G100,18.33524093014239
