Pu [-],Kapazität [hm³]
0.0,13.026269833597205
0.01,17.42022889619214
0.02,17.90637946025474
0.03,18.242353491627316
0.04,18.51025351610578
0.05,18.738285726171355
0.06,18.939831698322898
0.07,19.122390968471183
0.08,19.29062817192594
0.09,19.44766123331257
0.1,19.59568761185093
0.11,19.736320467348495
0.12,19.87078305499952
0.13,20.00002786735221
0.14,20.124813151429976
0.15,20.245753979748606
0.16,20.36335745599147
0.17,20.478047660440886
0.18,20.59018374962357
0.19,20.700073363475234
0.2,20.807982739407624
0.21,20.914144466956788
0.22,21.018763520628596
0.23,21.122022015488334
0.24,21.22408300124554
0.25,21.32509352289773
0.26,21.42518711518929
0.27,21.5244858552659
0.28,21.623102067210645
0.29,21.721139749867387
0.3,21.81869578297816
0.31,21.9158609544792
0.32,22.012720842643297
0.33,22.10935657980506
0.34,22.205845519082516
0.35,22.302261821398908
0.36,22.398676976913507
0.37,22.49516027247087
0.38,22.59177921471332
0.39,22.688599916950913
0.4,22.785687456658003
0.41,22.883106209496926
0.42,22.980920165007245
0.43,23.079193228503428
0.44,23.177989513266382
0.45,23.277373626771737
0.46,23.37741095445463
0.47,23.478167944353828
0.48,23.579712395900273
0.49,23.682113756110276
0.5,23.785443426510255
0.51,23.889775084257515
0.52,23.995185021133445
0.53,24.101752504376655
0.54,24.20956016370225
0.55,24.318694409330558
0.56,24.4292458864397
0.57,24.541309972179434
0.58,24.654987322264688
0.59,24.770384475235563
0.6,24.887614523766565
0.61,25.00679786398077
0.62,25.128063035636856
0.63,25.25154766838935
0.64,25.377399552176357
0.65,25.50577785329647
0.66,25.636854502066818
0.67,25.77081578332808
0.68,25.907864167768658
0.69,26.048220430460223
0.7,26.192126113636476
0.71,26.33984640428553
0.72,26.491673514480837
0.73,26.647930674798914
0.74,26.808976880391015
0.75,26.97521256769624
0.76,27.147086450798177
0.77,27.325103814876087
0.78,27.50983665708675
0.79,27.701936192804204
0.8,27.902148422744645
0.81,28.111333707297582
0.82,28.330491654150507
0.83,28.560793150359782
0.84,28.80362215103652
0.85,29.06063102326022
0.86,29.333815088921455
0.87,29.6256149560013
0.88,29.93906007271379
0.89,30.27797518141831
0.9,30.647285928148072
0.91,31.053486864405933
0.92,31.505387749658347
0.93,32.0153636920201
0.94,32.60158147326112
0.95,33.29228774733059
0.96,34.134978958983346
0.97,35.21913022306322
0.98,36.74701081246805
0.99,39.37148943017519
1.0,inf
