Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
0.64,2.5444638954000003,2.5444638954000003,15.979830320001392,0.0,0.0
0.552,2.5444638954000003,2.5444638954000003,14.886022424601393,0.0,0.0
0.979,1.817474211,1.817474211,15.641360213601393,0.0,0.0
0.775,1.4539793688,1.4539793688,16.224080844801392,0.0,0.0
2.614,1.0904845266,1.0904845266,22.003188318201392,0.0,0.0
1.603,2.5444638954000003,2.5444638954000003,23.67140842280139,0.0,0.0
1.701,2.5444638954000003,2.5444638954000003,25.59717252740139,0.0,0.0
1.143,3.634948422,3.634948422,24.966028105401392,0.0,0.0
0.867,4.3619381064,4.3619381064,22.882565999001393,0.0,0.0
0.972,5.088927790800001,5.088927790800001,20.348054208201393,0.0,0.0
0.565,5.088927790800001,5.088927790800001,16.743946417401393,0.0,0.0
2.601,3.634948422,3.634948422,19.944425995401392,0.0,0.0
1.103,2.5444638954000003,2.5444638954000003,20.298646100001392,0.0,0.0
1.274,2.5444638954000003,2.5444638954000003,21.10225420460139,0.0,0.0
0.765,1.817474211,1.817474211,21.29519999360139,0.0,0.0
2.676,1.4539793688,1.4539793688,26.87374862480139,0.0,0.0
3.737,1.0904845266,3.009836193998602,33.684748430802784,0.0,1.919351667398601
2.831,2.5444638954000003,7.439867999999997,33.684748430802784,0.0,4.895404104599997
2.302,2.5444638954000003,6.049655999999999,33.684748430802784,0.0,3.505192104599999
1.688,3.634948422,4.436064000000002,33.684748430802784,0.0,0.801115578000001
0.535,4.3619381064,4.3619381064,30.728790324402784,0.0,0.0
0.44,5.088927790800001,5.088927790800001,26.79618253360278,0.0,0.0
0.302,5.088927790800001,5.088927790800001,22.50091074280278,0.0,0.0
0.236,3.634948422,3.634948422,19.48617032080278,0.0,0.0
0.292,2.5444638954000003,2.5444638954000003,17.70908242540278,0.0,0.0
0.384,2.5444638954000003,2.5444638954000003,16.17377053000278,0.0,0.0
1.13,1.817474211,1.817474211,17.32593631900278,0.0,0.0
1.08,1.4539793688,1.4539793688,18.71019695020278,0.0,0.0
1.071,1.0904845266,1.0904845266,20.434300423602778,0.0,0.0
3.96,2.5444638954000003,2.5444638954000003,28.29671652820278,0.0,0.0
1.714,2.5444638954000003,2.5444638954000003,30.25664463280278,0.0,0.0
0.736,3.634948422,3.634948422,28.55590421080278,0.0,0.0
0.614,4.3619381064,4.3619381064,25.80755810440278,0.0,0.0
0.41,5.088927790800001,5.088927790800001,21.79611031360278,0.0,0.0
0.335,5.088927790800001,5.088927790800001,17.58756252280278,0.0,0.0
0.273,3.634948422,3.634948422,14.67005810080278,0.0,0.0
0.233,2.5444638954000003,2.5444638954000003,12.73791820540278,0.0,0.0
0.286,2.5444638954000003,2.5444638954000003,10.945062310002779,0.0,0.0
0.151,1.817474211,1.817474211,9.52441609900278,0.0,0.0
0.115,1.4539793688,1.4539793688,8.37265673020278,0.0,0.0
1.435,1.0904845266,1.0904845266,11.05335220360278,0.0,0.0
1.987,2.5444638954000003,2.5444638954000003,13.73072430820278,0.0,0.0
1.33,2.5444638954000003,2.5444638954000003,14.681500412802778,0.0,0.0
1.025,3.634948422,3.634948422,13.740251990802777,0.0,0.0
0.795,4.3619381064,4.3619381064,11.467573884402777,0.0,0.0
0.351,5.088927790800001,5.088927790800001,7.301074093602776,0.0,0.0
0.365,5.088927790800001,5.088927790800001,3.1713663028027756,0.0,0.0
0.624,3.634948422,3.634948422,1.1762898808027757,0.0,0.0
0.601,2.5444638954000003,2.5444638954000003,0.2112539854027755,0.0,0.0
0.814,2.5444638954000003,2.3504459854027755,0.0,-0.1940179099972248,0.0
0.877,1.817474211,1.817474211,0.48728178899999985,0.0,0.0
0.745,1.4539793688,1.4539793688,0.9911624201999998,0.0,0.0
0.995,1.0904845266,1.0904845266,2.5155378936,0.0,0.0
2.154,2.5444638954000003,2.5444638954000003,5.6317859982,0.0,0.0
1.044,2.5444638954000003,2.5444638954000003,5.8309541028,0.0,0.0
0.529,3.634948422,3.634948422,3.5862176808,0.0,0.0
0.358,4.3619381064,4.3619381064,0.1651035743999998,0.0,0.0
0.358,5.088927790800001,1.1059275744,0.0,-3.9830002164000007,0.0
0.223,5.088927790800001,0.5860440000000002,0.0,-4.5028837908,0.0
0.46,3.634948422,1.2088799999999997,0.0,-2.426068422,0.0
0.562,2.5444638954000003,1.4769360000000002,0.0,-1.0675278954,0.0
1.159,2.5444638954000003,2.5444638954000003,0.5013881045999997,0.0,0.0
0.801,1.817474211,1.817474211,0.7889418935999997,0.0,0.0
0.539,1.4539793688,1.4539793688,0.7514545247999997,0.0,0.0
3.464,1.0904845266,1.0904845266,8.764361998199998,0.0,0.0
4.893,2.5444638954000003,2.5444638954000003,19.078702102799998,0.0,0.0
5.51,2.5444638954000003,2.5444638954000003,31.0145182074,0.0,0.0
3.34,3.634948422,6.107289776597213,33.684748430802784,0.0,2.472341354597212
1.11,4.3619381064,4.3619381064,32.239890324402786,0.0,0.0
0.673,5.088927790800001,5.088927790800001,28.919606533602785,0.0,0.0
0.601,5.088927790800001,5.088927790800001,25.410106742802785,0.0,0.0
0.653,3.634948422,3.634948422,23.491242320802787,0.0,0.0
0.378,2.5444638954000003,2.5444638954000003,21.940162425402786,0.0,0.0
2.473,2.5444638954000003,2.5444638954000003,25.894742530002784,0.0,0.0
1.517,1.817474211,1.817474211,28.063944319002783,0.0,0.0
2.729,1.4539793688,1.5510078881999974,33.684748430802784,0.0,0.09702851939999846
1.846,1.0904845266,4.851288000000004,33.684748430802784,0.0,3.760803473400003
3.149,2.5444638954000003,8.275571999999997,33.684748430802784,0.0,5.731108104599997
0.992,2.5444638954000003,2.606976000000003,33.684748430802784,0.0,0.06251210460000323
0.88,3.634948422,3.634948422,32.362440008802785,0.0,0.0
2.387,4.3619381064,4.950727577999999,33.684748430802784,0.0,0.588789471600002
0.795,5.088927790800001,5.088927790800001,30.685080640002784,0.0,0.0
0.942,5.088927790800001,5.088927790800001,28.071728849202785,0.0,0.0
0.801,3.634948422,3.634948422,26.541808427202785,0.0,0.0
1.133,2.5444638954000003,2.5444638954000003,26.974868531802784,0.0,0.0
1.576,2.5444638954000003,2.5444638954000003,28.572132636402785,0.0,0.0
2.282,1.817474211,1.817474211,32.75175442540279,0.0,0.0
3.717,1.4539793688,8.835281994600003,33.684748430802784,0.0,7.381302625800004
3.662,1.0904845266,9.623736000000001,33.684748430802784,0.0,8.5332514734
2.558,2.5444638954000003,6.722424000000004,33.684748430802784,0.0,4.177960104600004
1.724,2.5444638954000003,4.530672000000003,33.684748430802784,0.0,1.9862081046000029
2.089,3.634948422,5.489892000000005,33.684748430802784,0.0,1.8549435780000039
1.281,4.3619381064,4.3619381064,32.689278324402785,0.0,0.0
1.071,5.088927790800001,5.088927790800001,30.414938533602786,0.0,0.0
1.947,5.088927790800001,5.088927790800001,30.442726742802787,0.0,0.0
0.896,3.634948422,3.634948422,29.162466320802785,0.0,0.0
0.552,2.5444638954000003,2.5444638954000003,28.068658425402784,0.0,0.0
2.456,2.5444638954000003,2.5444638954000003,31.978562530002783,0.0,0.0
2.831,1.817474211,5.733682099199996,33.684748430802784,0.0,3.916207888199999
1.248,1.4539793688,3.279744000000001,33.684748430802784,0.0,1.825764631200002
3.369,1.0904845266,8.853732,33.684748430802784,0.0,7.7632474734
3.872,2.5444638954000003,10.175615999999998,33.684748430802784,0.0,7.631152104599998
1.865,2.5444638954000003,4.901220000000002,33.684748430802784,0.0,2.3567561046000023
1.189,3.634948422,3.634948422,33.17449200880279,0.0,0.0
0.722,4.3619381064,4.3619381064,30.709969902402786,0.0,0.0
0.916,5.088927790800001,5.088927790800001,28.028290111602786,0.0,0.0
1.238,5.088927790800001,5.088927790800001,26.192826320802787,0.0,0.0
2.197,3.634948422,3.634948422,28.331593898802787,0.0,0.0
1.162,2.5444638954000003,2.5444638954000003,28.840866003402787,0.0,0.0
0.998,2.5444638954000003,2.5444638954000003,28.91914610800279,0.0,0.0
1.415,1.817474211,1.817474211,30.82029189700279,0.0,0.0
1.156,1.4539793688,1.4539793688,32.40428052820279,0.0,0.0
1.507,1.0904845266,2.6799280974000084,33.684748430802784,0.0,1.5894435708000074
4.318,2.5444638954000003,11.347704,33.684748430802784,0.0,8.8032401046
2.745,2.5444638954000003,7.213859999999997,33.684748430802784,0.0,4.669396104599997
1.117,3.634948422,3.634948422,32.985276008802785,0.0,0.0
1.33,4.3619381064,4.3619381064,32.118577902402784,0.0,0.0
0.535,5.088927790800001,5.088927790800001,28.435630111602784,0.0,0.0
0.322,5.088927790800001,5.088927790800001,24.192918320802782,0.0,0.0
0.309,3.634948422,3.634948422,21.370021898802783,0.0,0.0
0.522,2.5444638954000003,2.5444638954000003,20.197374003402782,0.0,0.0
0.525,2.5444638954000003,2.5444638954000003,19.032610108002782,0.0,0.0
0.483,1.817474211,1.817474211,18.484459897002782,0.0,0.0
0.696,1.4539793688,1.4539793688,18.859568528202782,0.0,0.0
1.859,1.0904845266,1.0904845266,22.654536001602782,0.0,0.0
7.198,2.5444638954000003,7.886131570799996,33.684748430802784,0.0,5.3416676753999965
5.014,2.5444638954000003,13.176791999999999,33.684748430802784,0.0,10.632328104599999
2.502,3.634948422,6.575256000000003,33.684748430802784,0.0,2.9403075780000023
0.975,4.3619381064,4.3619381064,31.885110324402785,0.0,0.0
1.593,5.088927790800001,5.088927790800001,30.982586533602785,0.0,0.0
