Pu [-],Kapazität [hm³]
0.0,7.11257647293958
0.01,17.59802071566001
0.02,18.289133119738537
0.03,18.75105551599141
0.04,19.111081854394193
0.05,19.412133905537985
0.06,19.674319979809294
0.07,19.908800431028933
0.08,20.12246126602313
0.09,20.319873341991162
0.1,20.50423820919979
0.11,20.67789281950735
0.12,20.8425998642129
0.13,20.999724891291386
0.14,21.150349577966725
0.15,21.295347042962565
0.16,21.435433577881916
0.17,21.57120518007718
0.18,21.70316397641023
0.19,21.8317377376395
0.2,21.957294556899395
0.21,22.080154071970213
0.22,22.200596171141513
0.23,22.318867836312144
0.24,22.435188586516922
0.25,22.549754855688512
0.26,22.662743548928127
0.27,22.77431495854974
0.28,22.884615176137533
0.29,22.993778104229328
0.3,23.101927147290912
0.31,23.209176643859898
0.32,23.315633088383983
0.33,23.42139618115162
0.34,23.526559736962422
0.35,23.631212477202453
0.36,23.73543872533682
0.37,23.83931902218786
0.38,23.94293067449604
0.39,24.046348247986547
0.4,24.149644014355765
0.41,24.25288836014957
0.42,24.356150164353743
0.43,24.45949715059848
0.44,24.56299621915006
0.45,24.66671376328921
0.46,24.770715974231997
0.47,24.875069138415853
0.48,24.979839930735512
0.49,25.08509570716158
0.5,25.190904800100235
0.51,25.297336819853022
0.52,25.404462965608776
0.53,25.512356349547126
0.54,25.62109233785834
0.55,25.730748912794635
0.56,25.841407060272164
0.57,25.95315118805536
0.58,26.066069580192107
0.59,26.180254894152853
0.6,26.29580470808763
0.61,26.41282212678848
0.62,26.53141645637824
0.63,26.651703959498963
0.64,26.773808704920967
0.65,26.897863528134522
0.66,27.02401112274675
0.67,27.15240528655087
0.68,27.283212351178502
0.69,27.41661283057082
0.7,27.55280333148762
0.71,27.691998779416338
0.72,27.834435026225517
0.73,27.98037192265313
0.74,28.130096960502737
0.75,28.28392961800965
0.76,28.44222657972649
0.77,28.605388053010046
0.78,28.7738654718907
0.79,28.948170973267146
0.8,29.128889161138428
0.81,29.316691858809186
0.82,29.512356812619363
0.83,29.716791694489576
0.84,29.931065319822146
0.85,30.156448859580724
0.86,30.39447116231719
0.87,30.64699442966857
0.88,30.91631997656296
0.89,31.205339719652315
0.9,31.517759454800768
0.91,31.85843918391298
0.92,32.23393306468818
0.93,32.65338883876339
0.94,33.13013963412705
0.95,33.684748430802784
0.96,34.351465377367205
0.97,35.19407697619772
0.98,36.3546736083059
0.99,38.28206701040726
1.0,inf
