Gewässer	Wilde Weisseritz
Pegel	Ammelsdorf
AE [km^2]	49.3
MONAT	Q [m^3/s]
11/1959	0.195
12/1959	0.189
01/1960	0.724
02/1960	0.413
03/1960	1.912
04/1960	1.092
05/1960	0.792
06/1960	0.478
07/1960	0.161
08/1960	0.113
09/1960	0.109
10/1960	1.709
11/1960	0.919
12/1960	1.276
01/1961	0.456
02/1961	1.801
03/1961	2.097
04/1961	1.566
05/1961	1.105
06/1961	1.225
07/1961	0.257
08/1961	0.24
09/1961	0.163
10/1961	0.118
11/1961	0.559
12/1961	0.771
01/1962	0.619
02/1962	0.715
03/1962	0.634
04/1962	2.488
05/1962	1.075
06/1962	0.27
07/1962	0.182
08/1962	0.098
09/1962	0.111
10/1962	0.081
11/1962	0.034
12/1962	0.058
01/1963	0.019
02/1963	0.008
03/1963	0.833
04/1963	1.471
05/1963	0.726
06/1963	0.415
07/1963	0.501
08/1963	0.148
09/1963	0.334
10/1963	0.563
11/1963	0.491
12/1963	0.458
01/1964	0.137
02/1964	0.174
03/1964	0.445
04/1964	2.358
05/1964	0.713
06/1964	0.182
07/1964	0.098
08/1964	0.251
09/1964	0.084
10/1964	0.445
11/1964	0.634
12/1964	1.249
01/1965	0.687
02/1965	0.345
03/1965	1.908
04/1965	4.309
05/1965	3.521
06/1965	2.06
07/1965	0.461
08/1965	0.238
09/1965	0.319
10/1965	0.295
11/1965	0.203
12/1965	1.473
01/1966	0.882
02/1966	2.431
03/1966	1.324
04/1966	1.874
05/1966	0.606
06/1966	1.092
07/1966	1.979
08/1966	0.604
09/1966	0.855
10/1966	0.48
11/1966	0.522
12/1966	0.923
01/1967	1.368
02/1967	2.214
03/1967	2.285
04/1967	1.917
05/1967	1.032
06/1967	1.026
07/1967	0.471
08/1967	0.445
09/1967	1.63
10/1967	0.413
11/1967	0.326
12/1967	1.529
01/1968	1.268
02/1968	0.642
03/1968	1.912
04/1968	1.968
05/1968	0.653
06/1968	0.718
07/1968	0.325
08/1968	0.493
09/1968	0.657
10/1968	1.741
11/1968	0.945
12/1968	0.557
01/1969	0.476
02/1969	0.445
03/1969	0.677
04/1969	3.309
05/1969	1.338
06/1969	0.709
07/1969	0.454
08/1969	0.129
09/1969	0.084
10/1969	0.113
11/1969	0.189
12/1969	0.158
01/1970	0.107
02/1970	0.186
03/1970	0.658
04/1970	4.174
05/1970	2.673
