Gewässer	Natzschung
Pegel	Rothenthal
AE [km^2]	75
MONAT	Q [m^3/s]
11/1959	0.425
12/1959	0.377
01/1960	0.582
02/1960	0.328
03/1960	1.31
04/1960	1.133
05/1960	0.916
06/1960	0.616
07/1960	0.354
08/1960	0.265
09/1960	0.2
10/1960	1.287
11/1960	0.705
12/1960	0.811
01/1961	0.462
02/1961	1.866
03/1961	2.603
04/1961	1.767
05/1961	1.826
06/1961	1.507
07/1961	0.688
08/1961	0.474
09/1961	0.297
10/1961	0.274
11/1961	0.599
12/1961	0.848
01/1962	0.805
02/1962	0.902
03/1962	0.828
04/1962	2.703
05/1962	1.43
06/1962	0.614
07/1962	0.482
08/1962	0.325
09/1962	0.34
10/1962	0.314
11/1962	0.254
12/1962	0.248
01/1963	0.077
02/1963	0.088
03/1963	0.788
04/1963	2.023
05/1963	1.279
06/1963	0.882
07/1963	0.91
08/1963	0.397
09/1963	0.537
10/1963	0.839
11/1963	0.731
12/1963	1.116
01/1964	0.696
02/1964	0.602
03/1964	0.828
04/1964	2.363
05/1964	0.982
06/1964	0.411
07/1964	0.351
08/1964	0.391
09/1964	0.214
10/1964	0.602
11/1964	0.788
12/1964	1.193
01/1965	0.885
02/1965	0.808
03/1965	1.692
04/1965	4.178
05/1965	3.955
06/1965	3.054
07/1965	1.949
08/1965	0.905
09/1965	0.773
10/1965	0.368
11/1965	0.442
12/1965	2.189
01/1966	1.615
02/1966	2.974
03/1966	2.197
04/1966	3.285
05/1966	1.216
06/1966	1.53
07/1966	2.837
08/1966	1.093
09/1966	1.199
10/1966	0.625
11/1966	0.525
12/1966	1.005
01/1967	1.464
02/1967	2.803
03/1967	3.316
04/1967	2.252
05/1967	1.336
06/1967	1.798
07/1967	2.215
08/1967	1.059
09/1967	2.346
10/1967	0.816
11/1967	0.471
12/1967	2.012
01/1968	3.701
02/1968	1.436
03/1968	2.885
04/1968	4.112
05/1968	1.764
06/1968	1.387
07/1968	0.779
08/1968	0.662
09/1968	1.01
10/1968	2.531
11/1968	1.889
12/1968	1.761
01/1969	1.572
02/1969	1.524
03/1969	1.467
04/1969	4.854
05/1969	2.845
06/1969	1.204
07/1969	0.725
08/1969	0.439
09/1969	0.434
10/1969	0.425
11/1969	0.711
12/1969	0.482
01/1970	0.337
02/1970	0.679
03/1970	1.122
04/1970	6.21
05/1970	4.344
06/1970	2.215
07/1970	0.693
08/1970	1.661
09/1970	0.842
10/1970	1.655
11/1970	2.237
12/1970	1.601
01/1971	0.965
02/1971	0.905
03/1971	1.829
04/1971	2.603
05/1971	1.261
06/1971	2.018
07/1971	1.789
08/1971	0.636
09/1971	0.385
10/1971	0.434
11/1971	0.731
12/1971	3.453
01/1972	1.039
02/1972	0.656
03/1972	0.976
04/1972	1.347
05/1972	1.276
06/1972	1.076
07/1972	0.699
08/1972	1.033
09/1972	1.007
10/1972	1.064
11/1972	1.122
12/1972	0.819
01/1973	0.354
02/1973	0.551
03/1973	1.692
04/1973	3.019
05/1973	2.828
06/1973	1.05
07/1973	0.896
08/1973	0.588
09/1973	0.237
10/1973	0.377
11/1973	0.554
12/1973	1.233
01/1974	2.64
02/1974	2.006
03/1974	2.92
04/1974	1.467
05/1974	1.687
06/1974	1.267
07/1974	1.712
08/1974	0.947
09/1974	0.736
10/1974	2.283
11/1974	2.628
12/1974	6.881
01/1975	3.647
02/1975	1.59
03/1975	1.555
04/1975	2.614
05/1975	2.186
06/1975	1.421
07/1975	0.873
08/1975	0.594
09/1975	0.391
10/1975	0.656
11/1975	0.736
12/1975	1.224
01/1976	4.164
02/1976	1.324
03/1976	1.353
04/1976	2.377
05/1976	1.022
06/1976	1.062
07/1976	0.417
08/1976	0.331
09/1976	0.328
10/1976	0.337
11/1976	0.622
12/1976	0.922
01/1977	0.688
02/1977	2.38
03/1977	3.222
04/1977	2.08
05/1977	1.641
06/1977	1.436
07/1977	1.11
08/1977	4.62
09/1977	1.752
10/1977	1.53
11/1977	2.069
12/1977	2.08
01/1978	1.493
02/1978	0.705
03/1978	3.059
04/1978	1.992
05/1978	3.35
06/1978	1.447
07/1978	0.713
08/1978	1.356
09/1978	1.767
10/1978	1.978
11/1978	1.025
12/1978	1.424
01/1979	1.116
02/1979	0.528
03/1979	3.328
04/1979	3.679
05/1979	1.681
06/1979	1.23
07/1979	1.367
08/1979	1.03
09/1979	1.769
10/1979	1.321
11/1979	1.453
12/1979	2.56
01/1980	1.15
02/1980	2.637
03/1980	2.112
04/1980	3.781
05/1980	3.213
06/1980	0.919
07/1980	3.539
08/1980	1.45
09/1980	2.103
10/1980	2.152
11/1980	1.495
12/1980	2.269
01/1981	1.744
02/1981	1.747
03/1981	5.303
04/1981	1.353
05/1981	1.938
06/1981	1.053
07/1981	2.577
08/1981	1.789
09/1981	0.916
10/1981	2.614
11/1981	3.676
12/1981	2.215
01/1982	2.129
02/1982	1.387
03/1982	2.232
04/1982	2.7
05/1982	1.855
06/1982	0.788
07/1982	0.759
08/1982	0.608
09/1982	0.559
10/1982	0.736
11/1982	0.365
12/1982	0.722
01/1983	2.934
02/1983	1.872
03/1983	2.038
04/1983	2.631
05/1983	0.959
06/1983	0.693
07/1983	0.528
08/1983	3.019
09/1983	0.751
10/1983	0.631
11/1983	0.748
12/1983	1.33
01/1984	1.182
02/1984	0.848
03/1984	1.256
04/1984	2.334
05/1984	1.992
06/1984	1.341
07/1984	1.296
08/1984	1.592
09/1984	0.999
10/1984	1.216
11/1984	0.759
12/1984	0.83
01/1985	0.902
02/1985	1.641
03/1985	1.487
04/1985	2.143
05/1985	1.124
06/1985	0.645
07/1985	0.996
08/1985	0.628
09/1985	0.916
10/1985	0.368
11/1985	0.288
12/1985	1.13
01/1986	1.376
02/1986	1.064
03/1986	2.734
04/1986	2.902
05/1986	3.248
06/1986	3.467
07/1986	0.594
08/1986	0.739
09/1986	0.776
10/1986	0.659
11/1986	0.685
12/1986	1.695
01/1987	2.805
02/1987	1.684
03/1987	3.673
04/1987	7.797
05/1987	2.109
06/1987	1.453
07/1987	1.164
08/1987	1.453
09/1987	1.027
10/1987	0.95
11/1987	1.427
12/1987	2.66
01/1988	1.396
02/1988	0.99
03/1988	2.058
04/1988	5.003
05/1988	0.899
06/1988	1.142
07/1988	0.725
08/1988	0.457
09/1988	0.408
10/1988	0.374
11/1988	1.356
12/1988	4.529
01/1989	2.788
02/1989	1.216
03/1989	1.707
04/1989	1.241
05/1989	1.096
06/1989	0.682
07/1989	1.087
08/1989	0.599
09/1989	0.967
10/1989	0.979
11/1989	1.538
12/1989	2.688
01/1990	1.25
02/1990	1.261
03/1990	2.591
04/1990	1.41
05/1990	1.03
06/1990	0.751
07/1990	0.345
08/1990	0.362
09/1990	0.896
10/1990	0.519
11/1990	1.039
12/1990	1.29
01/1991	2.469
02/1991	0.713
03/1991	0.873
04/1991	0.748
05/1991	1.541
06/1991	1.239
07/1991	1.053
08/1991	1.618
09/1991	0.377
10/1991	0.322
11/1991	0.802
12/1991	1.992
01/1992	2.777
02/1992	2.24
03/1992	3.176
04/1992	2.354
05/1992	0.99
06/1992	1.184
07/1992	3.236
08/1992	1.179
09/1992	0.788
10/1992	0.965
11/1992	1.798
12/1992	1.544
01/1993	1.975
02/1993	2.317
03/1993	3.345
04/1993	2.26
05/1993	1.067
06/1993	1.179
07/1993	1.227
08/1993	1.216
09/1993	0.654
10/1993	0.408
11/1993	0.551
12/1993	1.929
01/1994	2.583
02/1994	1.353
03/1994	3.533
04/1994	2.235
05/1994	0.765
06/1994	0.602
07/1994	0.437
08/1994	0.34
09/1994	0.594
10/1994	0.297
11/1994	0.674
12/1994	1.524
01/1995	2.546
02/1995	3.096
03/1995	1.239
04/1995	3.816
05/1995	2.012
06/1995	3.71
07/1995	0.833
08/1995	0.42
09/1995	1.176
10/1995	0.736
11/1995	2.66
12/1995	1.361
01/1996	0.733
02/1996	0.28
03/1996	0.947
04/1996	3.51
05/1996	2.925
06/1996	1.35
07/1996	2.491
08/1996	1.19
09/1996	1.963
10/1996	1.858
11/1996	1.221
12/1996	0.816
01/1997	0.385
02/1997	2.012
03/1997	2.426
04/1997	2.657
05/1997	1.241
06/1997	0.554
07/1997	0.928
08/1997	0.748
09/1997	0.377
10/1997	0.391
11/1997	0.285
12/1997	1.501
01/1998	1.036
02/1998	1.29
03/1998	3.268
04/1998	1.027
05/1998	0.445
06/1998	0.334
07/1998	0.457
08/1998	0.417
09/1998	1.407
10/1998	2.106
11/1998	2.317
12/1998	2.052
01/1999	1.55
02/1999	1.778
03/1999	3.736
04/1999	1.464
05/1999	0.674
06/1999	0.594
07/1999	0.97
08/1999	0.408
09/1999	0.34
10/1999	0.437
