Gewässer	Mandau
Pegel	Seifhennersdorf
AE [km^2]	74.7
MONAT	Q [m^3/s]
11/1959	0.139
12/1959	0.213
01/1960	0.389
02/1960	0.327
03/1960	0.847
04/1960	0.384
05/1960	0.296
06/1960	0.225
07/1960	0.225
08/1960	0.372
09/1960	0.165
10/1960	1.123
11/1960	0.605
12/1960	1.043
01/1961	0.46
02/1961	2.021
03/1961	1.134
04/1961	1.364
05/1961	1.171
06/1961	1.069
07/1961	0.398
08/1961	0.372
09/1961	0.21
10/1961	0.171
11/1961	0.293
12/1961	0.608
01/1962	0.867
02/1962	1.242
03/1962	0.981
04/1962	1.478
05/1962	0.887
06/1962	0.253
07/1962	0.196
08/1962	0.159
09/1962	0.128
10/1962	0.091
11/1962	0.125
12/1962	0.179
01/1963	0.168
02/1963	0.094
03/1963	1.308
04/1963	0.568
05/1963	0.375
06/1963	0.131
07/1963	0.037
08/1963	0.054
09/1963	0.193
10/1963	0.21
11/1963	0.546
12/1963	0.367
01/1964	0.267
02/1964	1.219
03/1964	0.512
04/1964	0.895
05/1964	0.591
06/1964	0.205
07/1964	0.159
08/1964	0.401
09/1964	0.099
10/1964	0.628
11/1964	0.802
12/1964	0.989
01/1965	1.04
02/1965	0.512
03/1965	2.524
04/1965	2.143
05/1965	3.314
06/1965	1.654
07/1965	0.568
08/1965	0.293
09/1965	0.435
10/1965	0.307
11/1965	0.341
12/1965	1.615
01/1966	1.049
02/1966	2.328
03/1966	1.734
04/1966	1.262
05/1966	0.665
06/1966	0.571
07/1966	1.595
08/1966	0.719
09/1966	0.745
10/1966	0.793
11/1966	0.64
12/1966	2.061
01/1967	2.146
02/1967	2.322
03/1967	1.913
04/1967	1.106
05/1967	1.231
06/1967	0.935
07/1967	0.489
08/1967	0.432
09/1967	1.731
10/1967	0.54
11/1967	0.301
12/1967	2.177
01/1968	2.567
02/1968	1.222
03/1968	1.885
04/1968	0.688
05/1968	0.628
06/1968	0.927
07/1968	0.316
08/1968	0.213
09/1968	0.389
10/1968	1.08
11/1968	1.344
12/1968	0.583
01/1969	0.722
02/1969	0.898
03/1969	1.492
04/1969	2.629
05/1969	0.807
06/1969	0.691
07/1969	0.313
08/1969	0.188
09/1969	0.162
10/1969	0.168
11/1969	0.168
12/1969	0.182
01/1970	0.205
02/1970	0.21
03/1970	2.157
04/1970	4.306
05/1970	1.035
06/1970	0.594
07/1970	0.185
08/1970	0.335
09/1970	0.148
10/1970	0.586
11/1970	1.333
12/1970	1.185
01/1971	1.37
02/1971	0.929
03/1971	1.39
04/1971	0.546
05/1971	0.301
06/1971	0.796
07/1971	0.719
08/1971	0.142
09/1971	0.108
10/1971	0.151
11/1971	0.52
12/1971	1.813
01/1972	0.614
02/1972	0.563
03/1972	0.623
04/1972	0.597
05/1972	0.969
06/1972	0.75
07/1972	0.424
08/1972	0.162
09/1972	0.099
10/1972	0.099
11/1972	0.182
12/1972	0.185
01/1973	0.085
02/1973	0.509
03/1973	1.123
04/1973	1.347
05/1973	0.381
06/1973	0.25
07/1973	0.412
08/1973	0.358
09/1973	0.159
10/1973	0.443
11/1973	0.708
12/1973	1.165
01/1974	2.334
02/1974	1.342
03/1974	0.597
04/1974	0.344
05/1974	0.776
06/1974	0.625
07/1974	0.75
08/1974	0.736
09/1974	0.409
10/1974	3.351
11/1974	1.745
12/1974	4.821
01/1975	1.836
02/1975	0.594
03/1975	0.566
04/1975	1.202
05/1975	0.52
06/1975	0.406
07/1975	0.316
08/1975	0.179
09/1975	0.153
10/1975	0.242
11/1975	0.375
12/1975	0.819
01/1976	5.139
02/1976	0.563
03/1976	0.466
04/1976	0.435
05/1976	0.284
06/1976	0.188
07/1976	0.134
08/1976	0.128
09/1976	0.114
10/1976	0.136
11/1976	0.384
12/1976	0.304
01/1977	0.512
02/1977	1.182
03/1977	0.895
04/1977	1.191
05/1977	0.651
06/1977	0.594
07/1977	0.583
08/1977	2.413
09/1977	0.773
10/1977	0.472
11/1977	1.973
12/1977	1.242
01/1978	1.111
02/1978	1.032
03/1978	1.91
04/1978	0.682
05/1978	1.316
06/1978	0.304
07/1978	0.262
08/1978	2.317
09/1978	1.512
10/1978	1.649
11/1978	0.631
12/1978	2.271
01/1979	0.779
02/1979	0.776
03/1979	3.766
04/1979	1.836
05/1979	0.574
06/1979	0.279
07/1979	0.202
08/1979	0.213
09/1979	0.435
10/1979	0.244
11/1979	1.225
12/1979	2.024
01/1980	0.594
02/1980	2.288
03/1980	1.154
04/1980	2.76
05/1980	0.802
06/1980	0.409
07/1980	1.339
08/1980	0.537
09/1980	0.563
10/1980	1.097
11/1980	1.001
12/1980	1.765
01/1981	1.677
02/1981	2.186
03/1981	2.501
04/1981	0.674
05/1981	0.981
