Gewässer	Zschopau
Pegel	Tannenberg
AE [km^2]	90.6
MONAT	Q [m^3/s]
11/1959	0.727
12/1959	0.524
01/1960	0.914
02/1960	1.083
03/1960	2.365
04/1960	1.214
05/1960	1.513
06/1960	1.231
07/1960	0.738
08/1960	0.658
09/1960	0.496
10/1960	2.317
11/1960	1.089
12/1960	1.203
01/1961	0.755
02/1961	3.585
03/1961	3.454
04/1961	2.641
05/1961	2.789
06/1961	1.993
07/1961	0.745
08/1961	0.783
09/1961	0.59
10/1961	0.634
11/1961	0.696
12/1961	0.758
01/1962	1.031
02/1962	1.062
03/1962	1.71
04/1962	3.206
05/1962	1.586
06/1962	0.841
07/1962	0.965
08/1962	0.683
09/1962	0.496
10/1962	0.638
11/1962	0.624
12/1962	0.51
01/1963	0.183
02/1963	0.117
03/1963	1.465
04/1963	1.579
05/1963	0.996
06/1963	0.914
07/1963	0.783
08/1963	0.51
09/1963	0.769
10/1963	0.834
11/1963	1.262
12/1963	0.548
01/1964	0.417
02/1964	1.982
03/1964	1.217
04/1964	2
05/1964	0.876
06/1964	0.421
07/1964	0.207
08/1964	0.365
09/1964	0.348
10/1964	0.752
11/1964	0.886
12/1964	1.758
01/1965	1.851
02/1965	1.196
03/1965	4.154
04/1965	4.995
05/1965	5.182
06/1965	2.724
07/1965	1.038
08/1965	0.572
09/1965	0.803
10/1965	0.696
11/1965	0.641
12/1965	2.324
01/1966	1.207
02/1966	2.748
03/1966	2.172
04/1966	2.527
05/1966	0.962
06/1966	1.165
07/1966	2.337
08/1966	0.903
09/1966	0.931
10/1966	1.055
11/1966	1.127
12/1966	2.41
01/1967	2.961
02/1967	3.851
03/1967	2.758
04/1967	1.731
05/1967	1.069
06/1967	2.341
07/1967	1.369
08/1967	1.317
09/1967	1.965
10/1967	0.927
11/1967	0.724
12/1967	2.699
01/1968	3.468
02/1968	1.638
03/1968	3.348
04/1968	2.727
05/1968	1.424
06/1968	0.703
07/1968	0.776
08/1968	0.665
09/1968	0.938
10/1968	2.441
11/1968	1.462
12/1968	0.917
01/1969	0.9
02/1969	0.924
03/1969	1.8
04/1969	4.496
05/1969	3.141
06/1969	1.286
07/1969	0.903
08/1969	0.524
09/1969	0.51
10/1969	0.548
11/1969	0.541
12/1969	0.776
01/1970	0.645
02/1970	0.934
03/1970	2.034
04/1970	6.412
05/1970	4.165
06/1970	2.093
07/1970	0.927
08/1970	1.844
09/1970	0.793
10/1970	1.886
11/1970	2.613
12/1970	1.92
01/1971	1.224
02/1971	1.4
03/1971	2.71
04/1971	2.499
05/1971	1.127
06/1971	2.396
07/1971	1.158
08/1971	0.59
09/1971	0.524
10/1971	0.51
11/1971	0.872
12/1971	3.051
01/1972	1.131
02/1972	0.486
03/1972	0.527
04/1972	0.958
05/1972	1.655
06/1972	1.638
07/1972	1.079
08/1972	1.293
09/1972	1.358
10/1972	1.476
11/1972	1.469
12/1972	1.093
01/1973	0.676
02/1973	1.203
03/1973	2.324
04/1973	2.841
05/1973	1.872
06/1973	1.227
07/1973	1.186
08/1973	0.827
09/1973	0.621
10/1973	0.665
11/1973	0.645
12/1973	0.848
01/1974	3.089
02/1974	1.651
03/1974	1.534
04/1974	0.779
05/1974	1.093
06/1974	1.896
07/1974	2.041
08/1974	1.051
09/1974	0.572
10/1974	1.648
11/1974	2.834
12/1974	6.864
01/1975	4.047
02/1975	1.496
03/1975	1.22
04/1975	2.386
05/1975	1.793
06/1975	1.345
07/1975	1.158
08/1975	0.824
09/1975	0.865
10/1975	0.783
11/1975	0.9
12/1975	1.189
01/1976	5.302
02/1976	1.472
03/1976	1.372
04/1976	1.413
05/1976	0.896
06/1976	1.193
07/1976	0.689
08/1976	0.483
09/1976	0.565
10/1976	0.555
11/1976	0.931
12/1976	1.176
01/1977	1.124
02/1977	2.093
03/1977	2.086
04/1977	2.086
05/1977	1.889
06/1977	1.782
07/1977	1.282
08/1977	3.658
09/1977	2.682
10/1977	1.517
11/1977	2.227
12/1977	1.851
01/1978	1.441
02/1978	0.879
03/1978	2.686
04/1978	1.658
05/1978	2.813
06/1978	1.062
07/1978	0.727
08/1978	1.248
09/1978	1.927
10/1978	2.482
11/1978	1.182
12/1978	1.603
01/1979	1.441
02/1979	0.92
03/1979	3.689
04/1979	2.992
05/1979	1.396
06/1979	0.848
07/1979	1.017
08/1979	0.927
09/1979	1.538
10/1979	1.114
11/1979	1.02
12/1979	2.058
01/1980	1.127
02/1980	2.965
03/1980	1.665
04/1980	3.041
05/1980	3.065
06/1980	1.613
07/1980	3.768
08/1980	1.569
09/1980	1.027
10/1980	1.658
11/1980	1.434
12/1980	1.982
01/1981	2
02/1981	2.179
03/1981	4.692
04/1981	1.482
05/1981	1.965
06/1981	1.138
07/1981	2.231
08/1981	1.92
09/1981	1.272
10/1981	2.448
11/1981	3.803
12/1981	2.499
01/1982	3.734
02/1982	2.296
03/1982	1.462
04/1982	1.769
05/1982	1.858
06/1982	0.962
07/1982	1
08/1982	1.307
09/1982	0.593
10/1982	0.6
11/1982	0.379
12/1982	0.583
01/1983	2.386
02/1983	1.682
03/1983	2.582
04/1983	3.637
05/1983	1.403
06/1983	0.927
07/1983	0.558
08/1983	2.137
09/1983	0.603
10/1983	0.338
11/1983	0.545
12/1983	0.834
01/1984	1.048
02/1984	1.014
03/1984	1.293
04/1984	1.962
05/1984	1.707
06/1984	2.165
07/1984	2.479
08/1984	2.351
09/1984	1.451
10/1984	1.569
11/1984	0.945
12/1984	0.962
01/1985	1.296
02/1985	1.424
03/1985	1.5
04/1985	2.103
05/1985	1.955
06/1985	1.083
07/1985	0.872
08/1985	0.786
09/1985	0.758
10/1985	0.734
11/1985	0.665
12/1985	1.558
01/1986	2.189
02/1986	1.007
03/1986	1.762
04/1986	1.962
05/1986	1.455
06/1986	2.082
07/1986	0.724
08/1986	1.065
09/1986	0.962
10/1986	0.762
11/1986	1
12/1986	1.4
01/1987	2.596
02/1987	1.841
03/1987	2.91
04/1987	5.633
05/1987	1.793
06/1987	1.924
07/1987	0.9
08/1987	1.024
09/1987	0.793
10/1987	0.748
11/1987	1.489
12/1987	2.544
01/1988	1.555
02/1988	1.2
03/1988	3.285
04/1988	4.985
05/1988	1.172
06/1988	0.731
07/1988	0.51
08/1988	0.41
09/1988	0.5
10/1988	0.441
11/1988	1.5
12/1988	4.864
01/1989	2.968
02/1989	1.431
03/1989	1.489
04/1989	0.914
05/1989	1.265
06/1989	0.683
07/1989	0.197
08/1989	0.459
09/1989	0.686
10/1989	0.752
11/1989	1.114
12/1989	2.441
01/1990	1.007
02/1990	0.841
03/1990	2.786
04/1990	1.61
05/1990	1.231
06/1990	0.679
07/1990	0.376
08/1990	0.29
09/1990	1.272
10/1990	0.689
11/1990	1.096
12/1990	1.493
01/1991	2.234
02/1991	0.658
03/1991	1.017
04/1991	0.969
05/1991	1.534
06/1991	1.5
07/1991	1.176
08/1991	1.448
09/1991	0.441
10/1991	0.396
11/1991	0.465
12/1991	2.579
01/1992	3.758
02/1992	2.641
03/1992	2.872
04/1992	2.658
05/1992	1.338
06/1992	1.22
07/1992	2.224
08/1992	0.969
09/1992	0.634
10/1992	0.61
11/1992	1.806
12/1992	1.817
01/1993	2.455
02/1993	1.486
03/1993	2.689
04/1993	1.834
05/1993	0.914
06/1993	0.952
07/1993	1.176
08/1993	1.441
09/1993	1.789
10/1993	1.61
11/1993	1.255
12/1993	2.972
01/1994	2.617
02/1994	1.686
03/1994	2.606
04/1994	1.744
05/1994	1.051
06/1994	0.824
07/1994	0.727
08/1994	1.065
09/1994	0.7
10/1994	0.314
11/1994	0.683
12/1994	1.617
01/1995	2.544
02/1995	2.137
03/1995	1.286
04/1995	5.64
05/1995	2.796
06/1995	3.127
07/1995	1.851
08/1995	1.089
09/1995	3.392
10/1995	1.638
11/1995	3.778
12/1995	2.803
01/1996	1.193
02/1996	0.252
03/1996	1.334
04/1996	2.144
05/1996	2.148
06/1996	1.841
07/1996	2.868
08/1996	0.938
09/1996	1.541
10/1996	2.206
11/1996	1.096
12/1996	1.093
01/1997	0.914
02/1997	1.889
03/1997	2.682
04/1997	2.879
05/1997	1.482
06/1997	0.724
07/1997	1.148
08/1997	0.838
09/1997	0.552
10/1997	0.362
11/1997	0.293
12/1997	1.476
01/1998	0.948
02/1998	1.076
03/1998	3.261
04/1998	1.093
05/1998	0.676
06/1998	0.579
07/1998	1.007
08/1998	0.748
09/1998	1.937
10/1998	2.017
11/1998	2.989
12/1998	2.63
01/1999	1.824
02/1999	3.137
03/1999	4.12
04/1999	1.207
05/1999	0.793
06/1999	0.848
07/1999	0.92
08/1999	0.545
09/1999	0.431
10/1999	0.507
