Gewässer	Pöhlbach
Pegel	Wiesa
AE [km²]	86.3
MONAT	Q [m³/s]
11/1959	0.64
12/1959	0.552
01/1960	0.979
02/1960	0.775
03/1960	2.614
04/1960	1.603
05/1960	1.701
06/1960	1.143
07/1960	0.867
08/1960	0.972
09/1960	0.565
10/1960	2.601
11/1960	1.103
12/1960	1.274
01/1961	0.765
02/1961	2.676
03/1961	3.737
04/1961	2.831
05/1961	2.302
06/1961	1.688
07/1961	0.535
08/1961	0.44
09/1961	0.302
10/1961	0.236
11/1961	0.292
12/1961	0.384
01/1962	1.13
02/1962	1.08
03/1962	1.071
04/1962	3.96
05/1962	1.714
06/1962	0.736
07/1962	0.614
08/1962	0.41
09/1962	0.335
10/1962	0.273
11/1962	0.233
12/1962	0.286
01/1963	0.151
02/1963	0.115
03/1963	1.435
04/1963	1.987
05/1963	1.33
06/1963	1.025
07/1963	0.795
08/1963	0.351
09/1963	0.365
10/1963	0.624
11/1963	0.601
12/1963	0.814
01/1964	0.877
02/1964	0.745
03/1964	0.995
04/1964	2.154
05/1964	1.044
06/1964	0.529
07/1964	0.358
08/1964	0.358
09/1964	0.223
10/1964	0.46
11/1964	0.562
12/1964	1.159
01/1965	0.801
02/1965	0.539
03/1965	3.464
04/1965	4.893
05/1965	5.51
06/1965	3.34
07/1965	1.11
08/1965	0.673
09/1965	0.601
10/1965	0.653
11/1965	0.378
12/1965	2.473
01/1966	1.517
02/1966	2.729
03/1966	1.846
04/1966	3.149
05/1966	0.992
06/1966	0.88
07/1966	2.387
08/1966	0.795
09/1966	0.942
10/1966	0.801
11/1966	1.133
12/1966	1.576
01/1967	2.282
02/1967	3.717
03/1967	3.662
04/1967	2.558
05/1967	1.724
06/1967	2.089
07/1967	1.281
08/1967	1.071
09/1967	1.947
10/1967	0.896
11/1967	0.552
12/1967	2.456
01/1968	2.831
02/1968	1.248
03/1968	3.369
04/1968	3.872
05/1968	1.865
06/1968	1.189
07/1968	0.722
08/1968	0.916
09/1968	1.238
10/1968	2.197
11/1968	1.162
12/1968	0.998
01/1969	1.415
02/1969	1.156
03/1969	1.507
04/1969	4.318
05/1969	2.745
06/1969	1.117
07/1969	1.33
08/1969	0.535
09/1969	0.322
10/1969	0.309
11/1969	0.522
12/1969	0.525
01/1970	0.483
02/1970	0.696
03/1970	1.859
04/1970	7.198
05/1970	5.014
06/1970	2.502
07/1970	0.975
08/1970	1.593
09/1970	0.88
10/1970	1.445
11/1970	2.302
12/1970	1.727
01/1971	1.343
02/1971	1.176
03/1971	2.355
04/1971	3.185
05/1971	1.882
06/1971	2.397
07/1971	1.491
08/1971	0.719
09/1971	0.42
10/1971	0.401
11/1971	0.611
12/1971	3.166
01/1972	1.176
02/1972	0.686
03/1972	0.726
04/1972	1.428
05/1972	2.325
06/1972	2.062
07/1972	0.985
08/1972	1.583
09/1972	1.254
10/1972	1.225
11/1972	1.33
12/1972	1.103
01/1973	0.479
02/1973	0.66
03/1973	2.381
04/1973	3.468
05/1973	3.671
06/1973	1.409
07/1973	0.956
08/1973	0.969
09/1973	0.647
10/1973	0.44
11/1973	0.437
12/1973	0.387
01/1974	4.095
02/1974	2.588
03/1974	3.047
04/1974	1.744
05/1974	1.727
06/1974	2.295
07/1974	1.836
08/1974	1.264
09/1974	0.545
10/1974	1.593
11/1974	2.906
12/1974	7.08
01/1975	4.331
02/1975	2.561
03/1975	1.914
04/1975	2.762
05/1975	2.003
06/1975	1.162
07/1975	0.998
08/1975	0.673
09/1975	0.982
10/1975	1.277
11/1975	1.169
12/1975	1.248
01/1976	5.044
02/1976	1.494
03/1976	1.671
04/1976	2.404
05/1976	1.396
06/1976	1.428
07/1976	0.673
08/1976	0.512
09/1976	0.437
10/1976	0.42
11/1976	0.545
12/1976	1.248
01/1977	0.923
02/1977	2.036
03/1977	2.811
04/1977	2.63
05/1977	2.006
06/1977	1.409
07/1977	0.949
08/1977	4.013
09/1977	2.023
10/1977	1.153
11/1977	2.246
12/1977	1.79
01/1978	1.428
02/1978	1.09
03/1978	2.545
04/1978	2.082
05/1978	3.419
06/1978	1.386
07/1978	0.936
08/1978	1.33
09/1978	2.016
10/1978	2.552
11/1978	1.297
12/1978	2.056
01/1979	2.125
02/1979	1.044
03/1979	3.76
04/1979	3.425
05/1979	2.098
06/1979	1.425
07/1979	1.543
08/1979	1.248
09/1979	1.914
10/1979	1.583
11/1979	1.268
12/1979	2.827
01/1980	1.074
02/1980	2.883
03/1980	1.934
04/1980	3.882
05/1980	3.928
06/1980	1.731
07/1980	4.299
08/1980	1.36
09/1980	1.185
10/1980	1.767
11/1980	1.76
12/1980	2.378
01/1981	2.171
02/1981	2.043
03/1981	6.45
04/1981	1.997
05/1981	2.46
06/1981	1.451
07/1981	2.972
08/1981	2.171
09/1981	1.409
10/1981	2.837
11/1981	4.239
12/1981	2.502
01/1982	3.356
02/1982	1.763
03/1982	1.501
04/1982	2.538
05/1982	2.479
06/1982	1.215
07/1982	1.031
08/1982	1.451
09/1982	0.598
10/1982	0.575
11/1982	0.286
12/1982	0.676
01/1983	2.647
02/1983	2.046
03/1983	2.722
04/1983	3.698
05/1983	1.383
06/1983	1.041
07/1983	0.693
08/1983	2.243
09/1983	0.841
10/1983	0.568
11/1983	0.624
12/1983	1.803
01/1984	1.258
02/1984	0.998
03/1984	1.448
04/1984	2.85
05/1984	2.614
06/1984	2.236
07/1984	1.918
08/1984	2.621
09/1984	1.494
10/1984	1.855
11/1984	1.113
12/1984	1.005
01/1985	1.008
02/1985	1.432
03/1985	1.606
04/1985	2.742
05/1985	2.351
06/1985	1.254
07/1985	0.814
08/1985	0.456
09/1985	0.476
10/1985	0.381
11/1985	0.716
12/1985	0.992
01/1986	1.366
02/1986	0.614
03/1986	1.905
04/1986	3.632
05/1986	1.806
06/1986	2.798
07/1986	0.745
08/1986	1.685
09/1986	1.54
10/1986	0.903
11/1986	1.14
12/1986	1.051
01/1987	2.962
02/1987	1.954
03/1987	2.965
04/1987	8.637
05/1987	4.226
06/1987	1.931
07/1987	1.474
08/1987	1.74
09/1987	1.304
10/1987	1.11
11/1987	1.734
12/1987	2.978
01/1988	1.882
02/1988	1.478
03/1988	3.721
04/1988	6.42
05/1988	1.993
06/1988	1.084
07/1988	0.992
08/1988	0.759
09/1988	0.713
10/1988	0.578
11/1988	0.814
12/1988	3.103
01/1989	1.488
02/1989	1.011
03/1989	1.35
04/1989	1.199
05/1989	1.376
06/1989	1.189
07/1989	0.969
08/1989	1.034
09/1989	1.865
10/1989	1.737
11/1989	1.281
12/1989	3.09
01/1990	1.386
02/1990	1.143
03/1990	2.837
04/1990	1.622
05/1990	1.205
06/1990	0.644
07/1990	0.575
08/1990	0.433
09/1990	0.608
10/1990	0.437
11/1990	1.011
12/1990	1.268
01/1991	2.217
02/1991	1.212
03/1991	1.008
04/1991	0.887
05/1991	1.52
06/1991	1.048
07/1991	1.054
08/1991	1.412
09/1991	0.417
10/1991	0.41
11/1991	0.663
12/1991	2.502
01/1992	2.893
02/1992	1.967
03/1992	2.502
04/1992	2.466
05/1992	1.754
06/1992	1.277
07/1992	2.066
08/1992	0.864
09/1992	0.545
10/1992	0.578
11/1992	1.412
12/1992	1.064
01/1993	1.747
02/1993	1.156
03/1993	2.788
04/1993	2.2
05/1993	1.09
06/1993	0.759
07/1993	0.946
08/1993	0.755
09/1993	0.887
10/1993	0.653
11/1993	0.745
12/1993	2.64
01/1994	2.292
02/1994	1.57
03/1994	3.33
04/1994	2.716
05/1994	1.478
06/1994	0.939
07/1994	0.667
08/1994	0.667
09/1994	0.647
10/1994	0.456
11/1994	0.673
12/1994	1.563
01/1995	2.46
02/1995	2.742
03/1995	1.514
04/1995	5.008
05/1995	2.43
06/1995	3.366
07/1995	1.34
08/1995	0.982
09/1995	2.483
10/1995	1.681
11/1995	2.798
12/1995	2.052
01/1996	0.91
02/1996	0.407
03/1996	1.13
04/1996	2.555
05/1996	2.115
06/1996	1.58
07/1996	2.982
08/1996	1.133
09/1996	1.671
10/1996	1.747
11/1996	1.235
12/1996	0.788
01/1997	0.624
02/1997	1.836
03/1997	3.379
04/1997	2.732
05/1997	1.31
06/1997	0.621
07/1997	0.788
08/1997	0.805
09/1997	0.535
10/1997	0.594
11/1997	0.581
12/1997	1.507
01/1998	1.481
02/1998	1.277
03/1998	3.632
04/1998	1.172
05/1998	0.64
06/1998	0.706
07/1998	1.149
08/1998	0.519
09/1998	1.655
10/1998	2.112
11/1998	2.978
12/1998	2.184
01/1999	1.445
02/1999	2.039
03/1999	4.725
04/1999	2.066
05/1999	0.936
06/1999	0.703
07/1999	0.834
08/1999	0.539
09/1999	0.414
10/1999	0.489
