Gewässer	Zwota
Pegel	Klingenthal 1
AE [km^2]	58.1
MONAT	Q [m^3/s]
11/1959	0.336
12/1959	0.256
01/1960	0.701
02/1960	0.562
03/1960	1.864
04/1960	1.15
05/1960	1.147
06/1960	0.672
07/1960	0.42
08/1960	0.493
09/1960	0.254
10/1960	1.97
11/1960	1.161
12/1960	1.415
01/1961	0.584
02/1961	1.968
03/1961	2.547
04/1961	2.235
05/1961	1.634
06/1961	2.273
07/1961	0.745
08/1961	0.699
09/1961	0.462
10/1961	0.4
11/1961	0.409
12/1961	0.688
01/1962	1.165
02/1962	0.621
03/1962	0.957
04/1962	3.646
05/1962	1.435
06/1962	0.612
07/1962	0.632
08/1962	0.329
09/1962	0.323
10/1962	0.316
11/1962	0.398
12/1962	0.433
01/1963	0.405
02/1963	0.31
03/1963	1.512
04/1963	2.717
05/1963	0.869
06/1963	0.946
07/1963	0.725
08/1963	0.318
09/1963	0.23
10/1963	0.268
11/1963	0.279
12/1963	0.268
01/1964	0.254
02/1964	0.25
03/1964	1.139
04/1964	1.806
05/1964	0.984
06/1964	0.376
07/1964	0.252
08/1964	0.161
09/1964	0.186
10/1964	0.296
11/1964	0.52
12/1964	0.575
01/1965	0.493
02/1965	0.323
03/1965	2.131
04/1965	5.107
05/1965	3.595
06/1965	1.713
07/1965	0.553
08/1965	0.438
09/1965	0.606
10/1965	0.42
11/1965	0.429
12/1965	2.772
01/1966	1.364
02/1966	2.845
03/1966	1.574
04/1966	2.153
05/1966	1.271
06/1966	1.645
07/1966	2.343
08/1966	0.506
09/1966	0.796
10/1966	0.703
11/1966	0.968
12/1966	1.724
01/1967	1.667
02/1967	3.102
03/1967	2.613
04/1967	2.193
05/1967	0.486
06/1967	0.451
07/1967	0.433
08/1967	0.553
09/1967	0.455
10/1967	0.491
11/1967	0.542
12/1967	2.193
01/1968	2.848
02/1968	1.039
03/1968	3.584
04/1968	3.988
05/1968	1.472
06/1968	0.648
07/1968	0.714
08/1968	0.833
09/1968	1.351
10/1968	3.055
11/1968	0.743
12/1968	0.668
