Zeitreihe,Kapazität
original,22.89609259199999
G001,17.727932143375597
G002,16.546187363538706
G003,26.904743584914627
G004,17.022800619419968
G005,25.83793550203734
G006,18.17052891762046
G007,25.81100714662034
G008,18.271516191675516
G009,27.97236560558656
G010,21.542365365369207
G011,24.86570698403864
G012,20.242460668519545
G013,22.63139396506938
G014,21.697605656879432
G015,17.498856159256206
G016,23.12095208000278
G017,23.56467373853434
G018,20.728383183515383
G019,27.419809021160404
G020,20.6274811324721
G021,19.76533142080922
G022,27.997464728106024
G023,19.237635548057803
G024,19.25754466321976
G025,17.855331684344264
G026,21.41224481683389
G027,30.199771398778438
G028,14.983817056793498
G029,23.73258313904887
G030,16.45854509889284
G031,20.00289117023226
G032,19.972483446277064
G033,21.314211637370448
G034,33.690119741643
G035,27.515555992915438
G036,17.635358722495084
G037,28.63555013799538
G038,17.960886487609173
G039,18.62270301878101
G040,19.584192050453225
G041,20.878262183352092
G042,29.296673110787026
G043,16.57069593518986
G044,16.771021638263846
G045,18.310094136647876
G046,21.390108619049585
G047,15.86738691306806
G048,15.61086800548846
G049,26.071894691463797
G050,26.502228302187746
G051,18.51540520209926
G052,25.64522836188803
G053,16.903890542254487
G054,25.323760302123333
G055,18.662416087633687
G056,20.754372923646713
G057,16.623136856742235
G058,17.225975184087474
G059,20.09951907814252
G060,26.677273479572364
G061,16.191659987347123
G062,32.603423371412546
G063,19.53018124849018
G064,24.228086185387724
G065,26.089215127737727
G066,32.95623026762871
G067,18.857181466707033
G068,25.08292146096676
G069,25.42768797305888
G070,25.848550735643357
G071,22.341555924463478
G072,26.80584520415556
G073,20.373462323379023
G074,19.22879657290241
G075,21.714411236015593
G076,18.019909583286278
G077,24.083767308362425
G078,25.751767072295934
G079,25.0229551062439
G080,41.82033950904349
G081,39.28507556367231
G082,23.250750369694686
G083,21.006136656330796
G084,20.260112903552567
G085,15.07274723875031
G086,23.73045924288894
G087,17.180291519132993
G088,26.38219025744911
G089,29.68493074611945
G090,23.581794922355314
G091,22.264300928363355
G092,21.508258841905203
G093,17.90610338691431
G094,21.538684867700454
G095,18.245744072596693
G096,18.144570938651952
G097,21.50795053848966
G098,23.253945280065892
G099,22.1758658020982
G100,19.86722593107973
