Monat,Durchfluss_m3s,Datum,trendber,trend,saisonfigur_mean,saisonfigur_std,saisonber,normiert,autokorr_saisonfigur,autokorr,zufall
11/1959,0.336,1959-11-01,0.2847602910602909,0.05123970893970914,0.9568749999999998,0.7327589708594499,-0.6208749999999998,-0.8473113597937644,0.44650979104544664,-0.378332818211947,-0.4689785415818174
12/1959,0.256,1959-12-01,0.2049742355652584,0.051025764434741605,1.4237750000000005,1.2014165906857621,-1.1677750000000005,-0.9719983967704664,0.38281321751129754,-0.37209383368352505,-0.5999045630869413
01/1960,0.701,1960-01-01,0.6501881800702257,0.05081181992977424,1.325625,0.9279529268098677,-0.6246250000000001,-0.6731214288502182,0.25444063117047155,-0.17126944121101917,-0.501851987639199
02/1960,0.562,1960-02-01,0.5114021245751934,0.05059787542480665,1.0902250000000007,0.7167117442703168,-0.5282250000000006,-0.7370117822441793,0.2531765156440928,-0.1865940750172242,-0.5504177072269552
03/1960,1.864,1960-03-01,1.8136160690801608,0.05038393091983928,1.8362000000000003,1.0156097232697212,0.027799999999999825,0.02737271942464145,0.009520695607714773,0.0002606073295973927,0.027112112095044057
04/1960,1.15,1960-04-01,1.0998300135851282,0.05016998641487169,2.3966499999999997,1.4555570505823539,-1.2466499999999998,-0.8564762195348012,0.5930657445041074,-0.5079467067884702,-0.34852951274633104
05/1960,1.147,1960-05-01,1.0970439580900957,0.049956041909904325,1.258225,0.8000876666809706,-0.11122499999999991,-0.13901601615907686,0.3707626495336055,-0.05154194647874585,-0.087474069680331
06/1960,0.672,1960-06-01,0.6222579025950633,0.049742097404936736,0.8728750000000002,0.521150994794215,-0.20087500000000014,-0.385444913291049,0.06897415607196197,-0.026585737606480666,-0.3588591756845684
07/1960,0.42,1960-07-01,0.37047184710003056,0.049528152899969424,0.8658250000000001,0.6626805371934503,-0.4458250000000001,-0.6727600630737317,0.11955617231005758,-0.08043261802416828,-0.5923274450495635
08/1960,0.493,1960-08-01,0.4436857916049982,0.04931420839500178,0.6943,0.42635948447290345,-0.20130000000000003,-0.4721367937876689,0.19381760619069524,-0.0915084231664759,-0.380628370621193
09/1960,0.254,1960-09-01,0.2048997361099656,0.04910026389003441,0.7096,0.5246843241416691,-0.4556,-0.8683316406399522,0.5418876367923529,-0.47053818069841025,-0.3977934599415419
10/1960,1.97,1960-10-01,1.9211136806149332,0.04888631938506682,0.8138250000000002,0.6674329886775152,1.1561749999999997,1.7322712835799474,-0.062197361874211175,-0.10774270388912628,1.8400139874690737
11/1960,1.161,1960-11-01,1.1123276251199006,0.048672374880099456,0.9568749999999998,0.7327589708594499,0.20412500000000022,0.2785704551123856,0.44650979104544664,0.12438443570366627,0.15418601940871934
