Monat,Durchfluss_m3s,Datum
11/1959,-0.6208749999999998,1959-11-01
12/1959,-1.1677750000000005,1959-12-01
01/1960,-0.6246250000000001,1960-01-01
02/1960,-0.5282250000000006,1960-02-01
03/1960,0.027799999999999825,1960-03-01
04/1960,-1.2466499999999998,1960-04-01
05/1960,-0.11122499999999991,1960-05-01
06/1960,-0.20087500000000014,1960-06-01
07/1960,-0.4458250000000001,1960-07-01
08/1960,-0.20130000000000003,1960-08-01
09/1960,-0.4556,1960-09-01
10/1960,1.1561749999999997,1960-10-01
11/1960,0.20412500000000022,1960-11-01
12/1960,-0.008775000000000421,1960-12-01
01/1961,-0.7416250000000001,1961-01-01
02/1961,0.8777749999999993,1961-02-01
03/1961,0.7107999999999999,1961-03-01
04/1961,-0.16164999999999985,1961-04-01
05/1961,0.37577499999999997,1961-05-01
06/1961,1.400125,1961-06-01
07/1961,-0.12082500000000007,1961-07-01
08/1961,0.0046999999999999265,1961-08-01
09/1961,-0.2476,1961-09-01
10/1961,-0.4138250000000002,1961-10-01
11/1961,-0.5478749999999999,1961-11-01
12/1961,-0.7357750000000005,1961-12-01
01/1962,-0.16062500000000002,1962-01-01
02/1962,-0.46922500000000067,1962-02-01
03/1962,-0.8792000000000003,1962-03-01
04/1962,1.2493500000000002,1962-04-01
05/1962,0.17677500000000013,1962-05-01
06/1962,-0.2608750000000002,1962-06-01
07/1962,-0.23382500000000006,1962-07-01
08/1962,-0.3653,1962-08-01
09/1962,-0.3866,1962-09-01
10/1962,-0.49782500000000024,1962-10-01
11/1962,-0.5588749999999998,1962-11-01
12/1962,-0.9907750000000004,1962-12-01
01/1963,-0.920625,1963-01-01
02/1963,-0.7802250000000006,1963-02-01
03/1963,-0.32420000000000027,1963-03-01
04/1963,0.32035000000000036,1963-04-01
05/1963,-0.38922499999999993,1963-05-01
06/1963,0.07312499999999977,1963-06-01
07/1963,-0.1408250000000001,1963-07-01
08/1963,-0.3763,1963-08-01
09/1963,-0.4796,1963-09-01
10/1963,-0.5458250000000002,1963-10-01
11/1963,-0.6778749999999998,1963-11-01
12/1963,-1.1557750000000004,1963-12-01
01/1964,-1.071625,1964-01-01
02/1964,-0.8402250000000007,1964-02-01
03/1964,-0.6972000000000003,1964-03-01
04/1964,-0.5906499999999997,1964-04-01
05/1964,-0.27422499999999994,1964-05-01
06/1964,-0.4968750000000002,1964-06-01
07/1964,-0.6138250000000001,1964-07-01
08/1964,-0.5333,1964-08-01
09/1964,-0.5236000000000001,1964-09-01
10/1964,-0.5178250000000002,1964-10-01
11/1964,-0.4368749999999998,1964-11-01
12/1964,-0.8487750000000005,1964-12-01
01/1965,-0.8326250000000001,1965-01-01
02/1965,-0.7672250000000007,1965-02-01
03/1965,0.2947999999999995,1965-03-01
04/1965,2.7103500000000005,1965-04-01
05/1965,2.3367750000000003,1965-05-01
06/1965,0.8401249999999999,1965-06-01
07/1965,-0.312825,1965-07-01
08/1965,-0.25630000000000003,1965-08-01
09/1965,-0.10360000000000003,1965-09-01
10/1965,-0.39382500000000026,1965-10-01
11/1965,-0.5278749999999999,1965-11-01
12/1965,1.3482249999999993,1965-12-01
01/1966,0.03837500000000005,1966-01-01
02/1966,1.7547749999999995,1966-02-01
03/1966,-0.2622000000000002,1966-03-01
04/1966,-0.2436499999999997,1966-04-01
