Monat,Durchfluss_m3s,Datum
11/1959,0.2847602910602931,1959-11-01
12/1959,0.20497423556526062,1959-12-01
01/1960,0.6501881800702279,1960-01-01
02/1960,0.5114021245751956,1960-02-01
03/1960,1.813616069080163,1960-03-01
04/1960,1.0998300135851302,1960-04-01
05/1960,1.097043958090098,1960-05-01
06/1960,0.6222579025950653,1960-06-01
07/1960,0.3704718471000328,1960-07-01
08/1960,0.4436857916050002,1960-08-01
09/1960,0.2048997361099678,1960-09-01
10/1960,1.9211136806149351,1960-10-01
11/1960,1.1123276251199026,1960-11-01
12/1960,1.3665415696248702,1960-12-01
01/1961,0.5357555141298375,1961-01-01
02/1961,1.919969458634805,1961-02-01
03/1961,2.4991834031397726,1961-03-01
04/1961,2.1873973476447395,1961-04-01
05/1961,1.5866112921497073,1961-05-01
06/1961,2.225825236654675,1961-06-01
07/1961,0.6980391811596424,1961-07-01
08/1961,0.6522531256646097,1961-08-01
09/1961,0.41546707016957707,1961-09-01
10/1961,0.3536810146745447,1961-10-01
11/1961,0.3628949591795121,1961-11-01
12/1961,0.6421089036844796,1961-12-01
01/1962,1.119322848189447,1962-01-01
02/1962,0.5755367926944146,1962-02-01
03/1962,0.9117507371993819,1962-03-01
04/1962,3.6009646817043492,1962-04-01
05/1962,1.390178626209317,1962-05-01
06/1962,0.5673925707142843,1962-06-01
07/1962,0.5876065152192519,1962-07-01
08/1962,0.2848204597242192,1962-08-01
09/1962,0.2790344042291866,1962-09-01
10/1962,0.27224834873415427,1962-10-01
11/1962,0.3544622932391216,1962-11-01
12/1962,0.3896762377440892,1962-12-01
01/1963,0.36189018224905656,1963-01-01
02/1963,0.26710412675402395,1963-02-01
03/1963,1.4693180712589915,1963-03-01
04/1963,2.674532015763959,1963-04-01
05/1963,0.8267459602689264,1963-05-01
06/1963,0.9039599047738938,1963-06-01
07/1963,0.6831738492788614,1963-07-01
08/1963,0.27638779378382883,1963-08-01
09/1963,0.18860173828879612,1963-09-01
10/1963,0.22681568279376374,1963-10-01
11/1963,0.23802962729873112,1963-11-01
12/1963,0.2272435718036987,1963-12-01
01/1964,0.21345751630866605,1964-01-01
02/1964,0.20967146081363341,1964-02-01
03/1964,1.098885405318601,1964-03-01
04/1964,1.7660993498235684,1964-04-01
05/1964,0.944313294328536,1964-05-01
06/1964,0.33652723883350333,1964-06-01
07/1964,0.2127411833384707,1964-07-01
08/1964,0.12195512784343832,1964-08-01
09/1964,0.1471690723484056,1964-09-01
10/1964,0.2573830168533733,1964-10-01
11/1964,0.4815969613583406,1964-11-01
12/1964,0.5368109058633082,1964-12-01
01/1965,0.45502485036827556,1965-01-01
02/1965,0.2852387948732429,1965-02-01
03/1965,2.0934527393782103,1965-03-01
04/1965,5.069666683883178,1965-04-01
05/1965,3.557880628388146,1965-05-01
06/1965,1.676094572893113,1965-06-01
07/1965,0.5163085173980803,1965-07-01
08/1965,0.40152246190304774,1965-08-01
09/1965,0.5697364064080152,1965-09-01
10/1965,0.3839503509129827,1965-10-01
11/1965,0.39316429541795017,1965-11-01
12/1965,2.7363782399229173,1965-12-01
01/1966,1.3285921844278852,1966-01-01
02/1966,2.809806128932853,1966-02-01
03/1966,1.53902007343782,1966-03-01
04/1966,2.1182340179427874,1966-04-01
05/1966,1.236447962447755,1966-05-01
06/1966,1.6106619069527224,1966-06-01
07/1966,2.3088758514576897,1966-07-01
08/1966,0.4720897959626573,1966-08-01
09/1966,0.7623037404676247,1966-09-01
10/1966,0.6695176849725922,1966-10-01
11/1966,0.9347316294775596,1966-11-01
12/1966,1.690945573982527,1966-12-01
01/1967,1.6341595184874946,1967-01-01
02/1967,3.069373462992462,1967-02-01
03/1967,2.5805874074974295,1967-03-01
04/1967,2.160801352002397,1967-04-01
05/1967,0.4540152965073645,1967-05-01
06/1967,0.41922924101233194,1967-06-01
07/1967,0.4014431855172993,1967-07-01
08/1967,0.5216571300222669,1967-08-01
09/1967,0.42387107452723427,1967-09-01
10/1967,0.4600850190322018,1967-10-01
11/1967,0.5112989635371692,1967-11-01
12/1967,2.1625129080421366,1967-12-01
01/1968,2.817726852547104,1968-01-01
02/1968,1.0089407970520714,1968-02-01
03/1968,3.5541547415570394,1968-03-01
04/1968,3.9583686860620064,1968-04-01
05/1968,1.4425826305669738,1968-05-01
06/1968,0.6187965750719414,1968-06-01
07/1968,0.6850105195769087,1968-07-01
08/1968,0.8042244640818763,1968-08-01
09/1968,1.3224384085868437,1968-09-01
10/1968,3.0266523530918112,1968-10-01
11/1968,0.7148662975967787,1968-11-01
12/1968,0.6400802421017461,1968-12-01
01/1969,0.5932941866067136,1969-01-01
02/1969,0.584508131111681,1969-02-01
