,Nov,Dez,Jan,Feb,Mär,Apr,Mai,Jun,Jul,Aug,Sep,Okt
original,1.834,1.834,1.31,1.048,0.786,1.834,1.834,2.62,3.144,3.668,3.668,2.62
G001,1.949,1.949,1.392,1.114,0.835,1.949,1.949,2.784,3.341,3.898,3.898,2.784
G002,1.98,1.98,1.414,1.131,0.849,1.98,1.98,2.829,3.394,3.96,3.96,2.829
G003,2.067,2.067,1.476,1.181,0.886,2.067,2.067,2.953,3.543,4.134,4.134,2.953
G004,2.057,2.057,1.469,1.175,0.882,2.057,2.057,2.939,3.526,4.114,4.114,2.939
G005,2.025,2.025,1.447,1.157,0.868,2.025,2.025,2.893,3.472,4.05,4.05,2.893
G006,1.902,1.902,1.359,1.087,0.815,1.902,1.902,2.717,3.261,3.804,3.804,2.717
G007,1.973,1.973,1.409,1.127,0.845,1.973,1.973,2.818,3.382,3.945,3.945,2.818
G008,2.063,2.063,1.474,1.179,0.884,2.063,2.063,2.947,3.536,4.126,4.126,2.947
G009,1.944,1.944,1.388,1.111,0.833,1.944,1.944,2.777,3.332,3.888,3.888,2.777
G010,2.117,2.117,1.512,1.21,0.907,2.117,2.117,3.024,3.629,4.234,4.234,3.024
