,empirische Quantile [hm³],theoretische Quantile [hm³]
0,11.923,7.905
1,12.943,12.424
2,13.33,12.922
3,13.423,13.266
4,13.522,13.541
5,13.632,13.774
6,13.754,13.981
7,13.997,14.167
8,14.09,14.339
9,14.524,14.5
10,14.602,14.651
11,14.84,14.795
12,14.875,14.932
13,14.911,15.065
14,15.2,15.192
15,15.233,15.315
16,15.439,15.436
17,15.466,15.553
18,15.876,15.667
19,15.986,15.779
20,16.012,15.889
21,16.145,15.998
22,16.15,16.104
23,16.644,16.21
24,16.67,16.314
25,16.763,16.417
26,16.791,16.518
27,16.843,16.62
28,16.921,16.72
29,16.988,16.82
30,17.049,16.919
31,17.078,17.018
32,17.115,17.117
33,17.212,17.215
34,17.228,17.313
35,17.347,17.411
36,17.429,17.509
37,17.554,17.607
38,18.015,17.705
39,18.215,17.803
40,18.23,17.902
41,18.573,18.001
42,18.711,18.1
43,18.829,18.2
44,18.896,18.3
45,18.925,18.401
46,19.005,18.502
47,19.113,18.604
48,19.152,18.707
49,19.297,18.811
50,19.36,18.915
51,19.363,19.021
52,19.366,19.127
53,19.583,19.235
54,19.61,19.344
55,19.634,19.454
56,19.683,19.565
57,19.737,19.678
58,19.766,19.793
59,19.776,19.909
60,19.78,20.027
61,19.855,20.147
62,20.202,20.269
63,20.457,20.393
64,20.526,20.519
65,20.607,20.648
66,20.85,20.779
67,20.93,20.913
68,21.256,21.05
69,21.287,21.191
70,21.564,21.334
71,21.588,21.482
72,21.761,21.633
73,21.854,21.788
74,21.897,21.948
75,21.982,22.113
76,22.04,22.283
77,22.097,22.46
78,22.189,22.642
79,22.272,22.831
80,22.49,23.028
81,22.541,23.233
82,22.543,23.447
83,22.895,23.672
84,23.551,23.908
85,24.626,24.156
86,25.103,24.42
87,25.454,24.7
88,25.984,24.999
89,26.807,25.32
90,27.124,25.667
91,27.865,26.046
92,28.186,26.462
93,28.449,26.925
94,29.418,27.448
95,30.066,28.049
96,30.116,28.756
97,31.252,29.62
98,31.979,30.731
99,37.386,32.297
