Monat,Durchfluss_m3s,Datum
11/1959,0.336,1959-11-01
12/1959,0.256,1959-12-01
01/1960,0.701,1960-01-01
02/1960,0.562,1960-02-01
03/1960,1.864,1960-03-01
04/1960,1.15,1960-04-01
05/1960,1.147,1960-05-01
06/1960,0.672,1960-06-01
07/1960,0.42,1960-07-01
08/1960,0.493,1960-08-01
09/1960,0.254,1960-09-01
10/1960,1.97,1960-10-01
11/1960,1.161,1960-11-01
12/1960,1.415,1960-12-01
01/1961,0.584,1961-01-01
02/1961,1.968,1961-02-01
03/1961,2.547,1961-03-01
04/1961,2.235,1961-04-01
05/1961,1.634,1961-05-01
06/1961,2.273,1961-06-01
07/1961,0.745,1961-07-01
08/1961,0.699,1961-08-01
09/1961,0.462,1961-09-01
10/1961,0.4,1961-10-01
11/1961,0.409,1961-11-01
12/1961,0.688,1961-12-01
01/1962,1.165,1962-01-01
02/1962,0.621,1962-02-01
03/1962,0.957,1962-03-01
04/1962,3.646,1962-04-01
05/1962,1.435,1962-05-01
06/1962,0.612,1962-06-01
07/1962,0.632,1962-07-01
08/1962,0.329,1962-08-01
09/1962,0.323,1962-09-01
10/1962,0.316,1962-10-01
11/1962,0.398,1962-11-01
12/1962,0.433,1962-12-01
01/1963,0.405,1963-01-01
02/1963,0.31,1963-02-01
03/1963,1.512,1963-03-01
04/1963,2.717,1963-04-01
05/1963,0.869,1963-05-01
06/1963,0.946,1963-06-01
07/1963,0.725,1963-07-01
08/1963,0.318,1963-08-01
09/1963,0.23,1963-09-01
10/1963,0.268,1963-10-01
11/1963,0.279,1963-11-01
12/1963,0.268,1963-12-01
01/1964,0.254,1964-01-01
02/1964,0.25,1964-02-01
03/1964,1.139,1964-03-01
04/1964,1.806,1964-04-01
05/1964,0.984,1964-05-01
06/1964,0.376,1964-06-01
07/1964,0.252,1964-07-01
08/1964,0.161,1964-08-01
09/1964,0.186,1964-09-01
10/1964,0.296,1964-10-01
11/1964,0.52,1964-11-01
12/1964,0.575,1964-12-01
01/1965,0.493,1965-01-01
02/1965,0.323,1965-02-01
03/1965,2.131,1965-03-01
04/1965,5.107,1965-04-01
05/1965,3.595,1965-05-01
06/1965,1.713,1965-06-01
07/1965,0.553,1965-07-01
08/1965,0.438,1965-08-01
09/1965,0.606,1965-09-01
10/1965,0.42,1965-10-01
11/1965,0.429,1965-11-01
12/1965,2.772,1965-12-01
01/1966,1.364,1966-01-01
02/1966,2.845,1966-02-01
03/1966,1.574,1966-03-01
04/1966,2.153,1966-04-01
05/1966,1.271,1966-05-01
06/1966,1.645,1966-06-01
07/1966,2.343,1966-07-01
08/1966,0.506,1966-08-01
09/1966,0.796,1966-09-01
10/1966,0.703,1966-10-01
11/1966,0.968,1966-11-01
12/1966,1.724,1966-12-01
01/1967,1.667,1967-01-01
02/1967,3.102,1967-02-01
03/1967,2.613,1967-03-01
04/1967,2.193,1967-04-01
05/1967,0.486,1967-05-01
06/1967,0.451,1967-06-01
07/1967,0.433,1967-07-01
08/1967,0.553,1967-08-01
09/1967,0.455,1967-09-01
10/1967,0.491,1967-10-01
11/1967,0.542,1967-11-01
12/1967,2.193,1967-12-01
01/1968,2.848,1968-01-01
02/1968,1.039,1968-02-01
03/1968,3.584,1968-03-01
04/1968,3.988,1968-04-01
05/1968,1.472,1968-05-01
06/1968,0.648,1968-06-01
07/1968,0.714,1968-07-01
08/1968,0.833,1968-08-01
09/1968,1.351,1968-09-01
10/1968,3.055,1968-10-01
11/1968,0.743,1968-11-01
12/1968,0.668,1968-12-01
01/1969,0.621,1969-01-01
02/1969,0.612,1969-02-01
03/1969,1.769,1969-03-01
04/1969,5.529,1969-04-01
05/1969,2.949,1969-05-01
06/1969,0.999,1969-06-01
07/1969,0.756,1969-07-01
08/1969,0.816,1969-08-01
09/1969,1.105,1969-09-01
10/1969,0.765,1969-10-01
11/1969,0.433,1969-11-01
12/1969,0.354,1969-12-01
01/1970,0.237,1970-01-01
02/1970,0.497,1970-02-01
03/1970,1.338,1970-03-01
04/1970,5.107,1970-04-01
05/1970,3.964,1970-05-01
06/1970,1.528,1970-06-01
07/1970,0.608,1970-07-01
08/1970,1.55,1970-08-01
09/1970,0.517,1970-09-01
10/1970,1.183,1970-10-01
11/1970,2.867,1970-11-01
12/1970,1.813,1970-12-01
01/1971,0.796,1971-01-01
02/1971,1.057,1971-02-01
03/1971,1.685,1971-03-01
04/1971,2.653,1971-04-01
05/1971,1.189,1971-05-01
06/1971,1.965,1971-06-01
07/1971,0.798,1971-07-01
08/1971,0.413,1971-08-01
09/1971,0.338,1971-09-01
10/1971,0.305,1971-10-01
11/1971,0.301,1971-11-01
12/1971,1.795,1971-12-01
01/1972,0.716,1972-01-01
02/1972,0.389,1972-02-01
03/1972,0.358,1972-03-01
04/1972,1.417,1972-04-01
05/1972,1.123,1972-05-01
06/1972,1.525,1972-06-01
07/1972,0.816,1972-07-01
08/1972,1.123,1972-08-01
09/1972,0.785,1972-09-01
10/1972,1.037,1972-10-01
11/1972,1.116,1972-11-01
12/1972,0.953,1972-12-01
01/1973,0.504,1973-01-01
02/1973,0.579,1973-02-01
03/1973,1.344,1973-03-01
04/1973,2.615,1973-04-01
05/1973,2.226,1973-05-01
06/1973,0.69,1973-06-01
07/1973,1.172,1973-07-01
08/1973,0.699,1973-08-01
09/1973,0.329,1973-09-01
10/1973,0.478,1973-10-01
11/1973,0.442,1973-11-01
12/1973,0.436,1973-12-01
01/1974,1.934,1974-01-01
02/1974,0.88,1974-02-01
03/1974,1.311,1974-03-01
04/1974,0.599,1974-04-01
05/1974,0.674,1974-05-01
06/1974,0.933,1974-06-01
07/1974,1.057,1974-07-01
08/1974,0.508,1974-08-01
09/1974,0.345,1974-09-01
10/1974,0.754,1974-10-01
11/1974,3.117,1974-11-01
12/1974,7.342,1974-12-01
01/1975,2.416,1975-01-01
02/1975,1.335,1975-02-01
03/1975,0.796,1975-03-01
