Monat,Durchfluss_m3s,Datum
11/1959,0.9568749999999998,1959-11-01
12/1959,1.4237750000000005,1959-12-01
01/1960,1.325625,1960-01-01
02/1960,1.0902250000000007,1960-02-01
03/1960,1.8362000000000003,1960-03-01
04/1960,2.3966499999999997,1960-04-01
05/1960,1.258225,1960-05-01
06/1960,0.8728750000000002,1960-06-01
07/1960,0.8658250000000001,1960-07-01
08/1960,0.6943,1960-08-01
09/1960,0.7096,1960-09-01
10/1960,0.8138250000000002,1960-10-01
11/1960,0.9568749999999998,1960-11-01
12/1960,1.4237750000000005,1960-12-01
01/1961,1.325625,1961-01-01
02/1961,1.0902250000000007,1961-02-01
03/1961,1.8362000000000003,1961-03-01
04/1961,2.3966499999999997,1961-04-01
05/1961,1.258225,1961-05-01
06/1961,0.8728750000000002,1961-06-01
07/1961,0.8658250000000001,1961-07-01
08/1961,0.6943,1961-08-01
09/1961,0.7096,1961-09-01
10/1961,0.8138250000000002,1961-10-01
11/1961,0.9568749999999998,1961-11-01
12/1961,1.4237750000000005,1961-12-01
01/1962,1.325625,1962-01-01
02/1962,1.0902250000000007,1962-02-01
03/1962,1.8362000000000003,1962-03-01
04/1962,2.3966499999999997,1962-04-01
05/1962,1.258225,1962-05-01
06/1962,0.8728750000000002,1962-06-01
07/1962,0.8658250000000001,1962-07-01
08/1962,0.6943,1962-08-01
09/1962,0.7096,1962-09-01
10/1962,0.8138250000000002,1962-10-01
11/1962,0.9568749999999998,1962-11-01
12/1962,1.4237750000000005,1962-12-01
01/1963,1.325625,1963-01-01
02/1963,1.0902250000000007,1963-02-01
03/1963,1.8362000000000003,1963-03-01
04/1963,2.3966499999999997,1963-04-01
05/1963,1.258225,1963-05-01
06/1963,0.8728750000000002,1963-06-01
07/1963,0.8658250000000001,1963-07-01
08/1963,0.6943,1963-08-01
09/1963,0.7096,1963-09-01
10/1963,0.8138250000000002,1963-10-01
11/1963,0.9568749999999998,1963-11-01
12/1963,1.4237750000000005,1963-12-01
01/1964,1.325625,1964-01-01
02/1964,1.0902250000000007,1964-02-01
03/1964,1.8362000000000003,1964-03-01
04/1964,2.3966499999999997,1964-04-01
05/1964,1.258225,1964-05-01
06/1964,0.8728750000000002,1964-06-01
07/1964,0.8658250000000001,1964-07-01
08/1964,0.6943,1964-08-01
09/1964,0.7096,1964-09-01
10/1964,0.8138250000000002,1964-10-01
11/1964,0.9568749999999998,1964-11-01
12/1964,1.4237750000000005,1964-12-01
01/1965,1.325625,1965-01-01
02/1965,1.0902250000000007,1965-02-01
03/1965,1.8362000000000003,1965-03-01
04/1965,2.3966499999999997,1965-04-01
05/1965,1.258225,1965-05-01
06/1965,0.8728750000000002,1965-06-01
07/1965,0.8658250000000001,1965-07-01
08/1965,0.6943,1965-08-01
09/1965,0.7096,1965-09-01
10/1965,0.8138250000000002,1965-10-01
11/1965,0.9568749999999998,1965-11-01
12/1965,1.4237750000000005,1965-12-01
01/1966,1.325625,1966-01-01
02/1966,1.0902250000000007,1966-02-01
03/1966,1.8362000000000003,1966-03-01
04/1966,2.3966499999999997,1966-04-01
05/1966,1.258225,1966-05-01
06/1966,0.8728750000000002,1966-06-01
07/1966,0.8658250000000001,1966-07-01
08/1966,0.6943,1966-08-01
09/1966,0.7096,1966-09-01
10/1966,0.8138250000000002,1966-10-01
11/1966,0.9568749999999998,1966-11-01
12/1966,1.4237750000000005,1966-12-01
01/1967,1.325625,1967-01-01
02/1967,1.0902250000000007,1967-02-01
03/1967,1.8362000000000003,1967-03-01
04/1967,2.3966499999999997,1967-04-01
05/1967,1.258225,1967-05-01
06/1967,0.8728750000000002,1967-06-01
07/1967,0.8658250000000001,1967-07-01
08/1967,0.6943,1967-08-01
09/1967,0.7096,1967-09-01
10/1967,0.8138250000000002,1967-10-01
11/1967,0.9568749999999998,1967-11-01
12/1967,1.4237750000000005,1967-12-01
01/1968,1.325625,1968-01-01
02/1968,1.0902250000000007,1968-02-01
03/1968,1.8362000000000003,1968-03-01
04/1968,2.3966499999999997,1968-04-01
05/1968,1.258225,1968-05-01
06/1968,0.8728750000000002,1968-06-01
07/1968,0.8658250000000001,1968-07-01
08/1968,0.6943,1968-08-01
09/1968,0.7096,1968-09-01
10/1968,0.8138250000000002,1968-10-01
11/1968,0.9568749999999998,1968-11-01
12/1968,1.4237750000000005,1968-12-01
01/1969,1.325625,1969-01-01
02/1969,1.0902250000000007,1969-02-01
03/1969,1.8362000000000003,1969-03-01
04/1969,2.3966499999999997,1969-04-01
05/1969,1.258225,1969-05-01
06/1969,0.8728750000000002,1969-06-01
07/1969,0.8658250000000001,1969-07-01
08/1969,0.6943,1969-08-01
09/1969,0.7096,1969-09-01
10/1969,0.8138250000000002,1969-10-01
11/1969,0.9568749999999998,1969-11-01
12/1969,1.4237750000000005,1969-12-01
01/1970,1.325625,1970-01-01
02/1970,1.0902250000000007,1970-02-01
03/1970,1.8362000000000003,1970-03-01
04/1970,2.3966499999999997,1970-04-01
05/1970,1.258225,1970-05-01
06/1970,0.8728750000000002,1970-06-01
07/1970,0.8658250000000001,1970-07-01
08/1970,0.6943,1970-08-01
09/1970,0.7096,1970-09-01
10/1970,0.8138250000000002,1970-10-01
11/1970,0.9568749999999998,1970-11-01
12/1970,1.4237750000000005,1970-12-01
01/1971,1.325625,1971-01-01
02/1971,1.0902250000000007,1971-02-01
03/1971,1.8362000000000003,1971-03-01
04/1971,2.3966499999999997,1971-04-01
05/1971,1.258225,1971-05-01
06/1971,0.8728750000000002,1971-06-01
07/1971,0.8658250000000001,1971-07-01
08/1971,0.6943,1971-08-01
09/1971,0.7096,1971-09-01
10/1971,0.8138250000000002,1971-10-01
11/1971,0.9568749999999998,1971-11-01
12/1971,1.4237750000000005,1971-12-01
01/1972,1.325625,1972-01-01
02/1972,1.0902250000000007,1972-02-01
03/1972,1.8362000000000003,1972-03-01
04/1972,2.3966499999999997,1972-04-01
05/1972,1.258225,1972-05-01
06/1972,0.8728750000000002,1972-06-01
07/1972,0.8658250000000001,1972-07-01
08/1972,0.6943,1972-08-01
09/1972,0.7096,1972-09-01
10/1972,0.8138250000000002,1972-10-01
11/1972,0.9568749999999998,1972-11-01
12/1972,1.4237750000000005,1972-12-01
01/1973,1.325625,1973-01-01
02/1973,1.0902250000000007,1973-02-01
03/1973,1.8362000000000003,1973-03-01
04/1973,2.3966499999999997,1973-04-01
05/1973,1.258225,1973-05-01
06/1973,0.8728750000000002,1973-06-01
07/1973,0.8658250000000001,1973-07-01
08/1973,0.6943,1973-08-01
09/1973,0.7096,1973-09-01
10/1973,0.8138250000000002,1973-10-01
11/1973,0.9568749999999998,1973-11-01
12/1973,1.4237750000000005,1973-12-01
01/1974,1.325625,1974-01-01
02/1974,1.0902250000000007,1974-02-01
03/1974,1.8362000000000003,1974-03-01
04/1974,2.3966499999999997,1974-04-01
05/1974,1.258225,1974-05-01
06/1974,0.8728750000000002,1974-06-01
07/1974,0.8658250000000001,1974-07-01
08/1974,0.6943,1974-08-01
09/1974,0.7096,1974-09-01
10/1974,0.8138250000000002,1974-10-01
11/1974,0.9568749999999998,1974-11-01
12/1974,1.4237750000000005,1974-12-01
01/1975,1.325625,1975-01-01
02/1975,1.0902250000000007,1975-02-01
03/1975,1.8362000000000003,1975-03-01
04/1975,2.3966499999999997,1975-04-01
05/1975,1.258225,1975-05-01
06/1975,0.8728750000000002,1975-06-01
07/1975,0.8658250000000001,1975-07-01
08/1975,0.6943,1975-08-01
09/1975,0.7096,1975-09-01
10/1975,0.8138250000000002,1975-10-01
11/1975,0.9568749999999998,1975-11-01
12/1975,1.4237750000000005,1975-12-01
01/1976,1.325625,1976-01-01
02/1976,1.0902250000000007,1976-02-01
03/1976,1.8362000000000003,1976-03-01
04/1976,2.3966499999999997,1976-04-01
05/1976,1.258225,1976-05-01
06/1976,0.8728750000000002,1976-06-01
07/1976,0.8658250000000001,1976-07-01
08/1976,0.6943,1976-08-01
09/1976,0.7096,1976-09-01
10/1976,0.8138250000000002,1976-10-01
11/1976,0.9568749999999998,1976-11-01
12/1976,1.4237750000000005,1976-12-01
01/1977,1.325625,1977-01-01
02/1977,1.0902250000000007,1977-02-01
03/1977,1.8362000000000003,1977-03-01
04/1977,2.3966499999999997,1977-04-01
05/1977,1.258225,1977-05-01
06/1977,0.8728750000000002,1977-06-01
07/1977,0.8658250000000001,1977-07-01
08/1977,0.6943,1977-08-01
09/1977,0.7096,1977-09-01
10/1977,0.8138250000000002,1977-10-01
11/1977,0.9568749999999998,1977-11-01
12/1977,1.4237750000000005,1977-12-01
01/1978,1.325625,1978-01-01
02/1978,1.0902250000000007,1978-02-01
03/1978,1.8362000000000003,1978-03-01
04/1978,2.3966499999999997,1978-04-01
05/1978,1.258225,1978-05-01
06/1978,0.8728750000000002,1978-06-01
07/1978,0.8658250000000001,1978-07-01
08/1978,0.6943,1978-08-01
09/1978,0.7096,1978-09-01
10/1978,0.8138250000000002,1978-10-01
11/1978,0.9568749999999998,1978-11-01
12/1978,1.4237750000000005,1978-12-01
01/1979,1.325625,1979-01-01
02/1979,1.0902250000000007,1979-02-01
03/1979,1.8362000000000003,1979-03-01
04/1979,2.3966499999999997,1979-04-01
05/1979,1.258225,1979-05-01
06/1979,0.8728750000000002,1979-06-01
07/1979,0.8658250000000001,1979-07-01
08/1979,0.6943,1979-08-01
09/1979,0.7096,1979-09-01
10/1979,0.8138250000000002,1979-10-01
11/1979,0.9568749999999998,1979-11-01
12/1979,1.4237750000000005,1979-12-01
01/1980,1.325625,1980-01-01
02/1980,1.0902250000000007,1980-02-01
03/1980,1.8362000000000003,1980-03-01
04/1980,2.3966499999999997,1980-04-01
05/1980,1.258225,1980-05-01
06/1980,0.8728750000000002,1980-06-01
07/1980,0.8658250000000001,1980-07-01
08/1980,0.6943,1980-08-01
09/1980,0.7096,1980-09-01
10/1980,0.8138250000000002,1980-10-01
11/1980,0.9568749999999998,1980-11-01
