Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
1.379,1.776,1.776,11.051,0.000,0.000
2.196,1.776,1.776,11.472,0.000,0.000
1.926,1.268,1.268,12.130,0.000,0.000
2.612,1.015,1.015,13.727,0.000,0.000
4.509,0.761,0.761,17.475,0.000,0.000
6.609,1.776,1.776,22.308,0.000,0.000
1.951,1.776,1.776,22.483,0.000,0.000
1.147,2.537,2.537,21.093,0.000,0.000
1.845,3.044,3.044,19.894,0.000,0.000
0.348,3.552,3.552,16.689,0.000,0.000
2.157,3.552,3.552,15.294,0.000,0.000
2.389,2.537,2.537,15.146,0.000,0.000
1.805,1.776,1.776,15.175,0.000,0.000
1.447,1.776,1.776,14.847,0.000,0.000
0.450,1.268,1.268,14.029,0.000,0.000
-0.842,1.015,1.015,12.171,0.000,0.000
2.665,0.761,0.761,14.075,0.000,0.000
9.447,1.776,1.776,21.746,0.000,0.000
4.080,1.776,1.776,24.049,0.000,0.000
4.686,2.537,2.730,26.006,0.000,0.193
3.530,3.044,3.530,26.006,0.000,0.486
1.925,3.552,3.552,24.379,0.000,0.000
3.695,3.552,3.552,24.522,0.000,0.000
3.885,2.537,2.537,25.870,0.000,0.000
3.835,1.776,3.699,26.006,0.000,1.923
4.891,1.776,4.891,26.006,0.000,3.115
6.388,1.268,6.388,26.006,0.000,5.120
2.201,1.015,2.201,26.006,0.000,1.186
8.603,0.761,8.603,26.006,0.000,7.842
11.294,1.776,11.294,26.006,0.000,9.518
3.371,1.776,3.371,26.006,0.000,1.595
3.491,2.537,3.491,26.006,0.000,0.954
1.659,3.044,3.044,24.621,0.000,0.000
1.648,3.552,3.552,22.717,0.000,0.000
-0.120,3.552,3.552,19.044,0.000,0.000
0.433,2.537,2.537,16.941,0.000,0.000
3.450,1.776,1.776,18.615,0.000,0.000
2.270,1.776,1.776,19.109,0.000,0.000
2.208,1.268,1.268,20.050,0.000,0.000
4.554,1.015,1.015,23.589,0.000,0.000
10.450,0.761,8.033,26.006,0.000,7.272
4.401,1.776,4.401,26.006,0.000,2.625
1.377,1.776,1.776,25.607,0.000,0.000
1.400,2.537,2.537,24.470,0.000,0.000
0.499,3.044,3.044,21.924,0.000,0.000
1.656,3.552,3.552,20.028,0.000,0.000
0.917,3.552,3.552,17.394,0.000,0.000
1.363,2.537,2.537,16.220,0.000,0.000
5.769,1.776,1.776,20.213,0.000,0.000
3.832,1.776,1.776,22.269,0.000,0.000
2.939,1.268,1.268,23.940,0.000,0.000
2.068,1.015,1.015,24.993,0.000,0.000
5.896,0.761,4.883,26.006,0.000,4.122
8.234,1.776,8.234,26.006,0.000,6.458
4.136,1.776,4.136,26.006,0.000,2.360
3.181,2.537,3.181,26.006,0.000,0.644
2.127,3.044,3.044,25.089,0.000,0.000
1.870,3.552,3.552,23.407,0.000,0.000
0.111,3.552,3.552,19.966,0.000,0.000
0.719,2.537,2.537,18.148,0.000,0.000
1.836,1.776,1.776,18.208,0.000,0.000
1.430,1.776,1.776,17.861,0.000,0.000
2.999,1.268,1.268,19.592,0.000,0.000
1.623,1.015,1.015,20.201,0.000,0.000
8.708,0.761,2.902,26.006,0.000,2.141
6.250,1.776,6.250,26.006,0.000,4.474
1.934,1.776,1.934,26.006,0.000,0.158
3.327,2.537,3.327,26.006,0.000,0.790
1.974,3.044,3.044,24.936,0.000,0.000
