Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
0.883,1.834,2.785,0.000,-0.951,0.000
0.673,1.834,2.995,0.000,-1.161,0.000
1.842,1.310,1.310,0.532,0.000,0.000
1.477,1.048,1.048,0.961,0.000,0.000
4.899,0.786,0.786,5.074,0.000,0.000
3.022,1.834,1.834,6.262,0.000,0.000
3.014,1.834,1.834,7.442,0.000,0.000
1.766,2.620,2.620,6.588,0.000,0.000
1.104,3.144,3.144,4.548,0.000,0.000
1.296,3.668,3.668,2.176,0.000,0.000
0.668,3.668,4.493,0.000,-0.825,0.000
5.177,2.620,2.620,2.557,0.000,0.000
3.051,1.834,1.834,3.774,0.000,0.000
3.719,1.834,1.834,5.659,0.000,0.000
1.535,1.310,1.310,5.884,0.000,0.000
5.172,1.048,1.048,10.008,0.000,0.000
6.694,0.786,0.786,15.915,0.000,0.000
5.874,1.834,1.834,19.955,0.000,0.000
4.294,1.834,1.834,22.415,0.000,0.000
5.973,2.620,5.492,22.896,0.000,2.872
1.958,3.144,3.144,21.710,0.000,0.000
1.837,3.668,3.668,19.879,0.000,0.000
1.214,3.668,3.668,17.425,0.000,0.000
1.051,2.620,2.620,15.856,0.000,0.000
1.075,1.834,1.834,15.097,0.000,0.000
1.808,1.834,1.834,15.071,0.000,0.000
3.062,1.310,1.310,16.823,0.000,0.000
1.632,1.048,1.048,17.407,0.000,0.000
2.515,0.786,0.786,19.136,0.000,0.000
9.582,1.834,5.821,22.896,0.000,3.987
3.771,1.834,3.771,22.896,0.000,1.937
1.608,2.620,2.620,21.884,0.000,0.000
1.661,3.144,3.144,20.401,0.000,0.000
0.865,3.668,3.668,17.598,0.000,0.000
0.849,3.668,3.668,14.779,0.000,0.000
0.830,2.620,2.620,12.989,0.000,0.000
1.046,1.834,1.834,12.201,0.000,0.000
1.138,1.834,1.834,11.505,0.000,0.000
1.064,1.310,1.310,11.259,0.000,0.000
0.815,1.048,1.048,11.026,0.000,0.000
3.974,0.786,0.786,14.214,0.000,0.000
7.140,1.834,1.834,19.520,0.000,0.000
2.284,1.834,1.834,19.970,0.000,0.000
2.486,2.620,2.620,19.836,0.000,0.000
1.905,3.144,3.144,18.597,0.000,0.000
0.836,3.668,3.668,15.765,0.000,0.000
0.604,3.668,3.668,12.701,0.000,0.000
0.704,2.620,2.620,10.785,0.000,0.000
0.733,1.834,1.834,9.685,0.000,0.000
0.704,1.834,1.834,8.555,0.000,0.000
0.668,1.310,1.310,7.912,0.000,0.000
0.657,1.048,1.048,7.521,0.000,0.000
2.993,0.786,0.786,9.729,0.000,0.000
4.746,1.834,1.834,12.641,0.000,0.000
2.586,1.834,1.834,13.393,0.000,0.000
0.988,2.620,2.620,11.761,0.000,0.000
0.662,3.144,3.144,9.279,0.000,0.000
0.423,3.668,3.668,6.034,0.000,0.000
0.489,3.668,3.668,2.855,0.000,0.000
0.778,2.620,2.620,1.013,0.000,0.000
1.367,1.834,1.834,0.546,0.000,0.000
1.511,1.834,1.834,0.223,0.000,0.000
1.296,1.310,1.310,0.208,0.000,0.000
0.849,1.048,1.048,0.009,0.000,0.000
5.600,0.786,0.786,4.823,0.000,0.000
13.421,1.834,1.834,16.411,0.000,0.000
9.448,1.834,2.962,22.896,0.000,1.128
4.502,2.620,4.502,22.896,0.000,1.882
1.453,3.144,3.144,21.205,0.000,0.000
1.151,3.668,3.668,18.688,0.000,0.000
1.593,3.668,3.668,16.613,0.000,0.000
1.104,2.620,2.620,15.097,0.000,0.000
1.127,1.834,1.834,14.390,0.000,0.000
7.285,1.834,1.834,19.841,0.000,0.000
3.585,1.310,1.310,22.115,0.000,0.000
7.477,1.048,6.696,22.896,0.000,5.648
4.136,0.786,4.136,22.896,0.000,3.350
5.658,1.834,5.658,22.896,0.000,3.824
3.340,1.834,3.340,22.896,0.000,1.506
4.323,2.620,4.323,22.896,0.000,1.703
6.157,3.144,6.157,22.896,0.000,3.013
1.330,3.668,3.668,20.558,0.000,0.000
2.092,3.668,3.668,18.982,0.000,0.000
1.847,2.620,2.620,18.209,0.000,0.000
2.544,1.834,1.834,18.919,0.000,0.000
4.531,1.834,1.834,21.616,0.000,0.000
4.381,1.310,3.101,22.896,0.000,1.791
8.152,1.048,8.152,22.896,0.000,7.104
6.867,0.786,6.867,22.896,0.000,6.081
5.763,1.834,5.763,22.896,0.000,3.929
1.277,1.834,1.834,22.339,0.000,0.000
1.185,2.620,2.620,20.904,0.000,0.000
1.138,3.144,3.144,18.898,0.000,0.000
1.453,3.668,3.668,16.684,0.000,0.000
1.196,3.668,3.668,14.211,0.000,0.000
1.290,2.620,2.620,12.882,0.000,0.000
1.424,1.834,1.834,12.472,0.000,0.000
5.763,1.834,1.834,16.401,0.000,0.000
7.485,1.310,1.310,22.576,0.000,0.000
2.730,1.048,2.410,22.896,0.000,1.362
9.419,0.786,9.419,22.896,0.000,8.633
10.480,1.834,10.480,22.896,0.000,8.646
3.868,1.834,3.868,22.896,0.000,2.034
1.703,2.620,2.620,21.979,0.000,0.000
1.876,3.144,3.144,20.711,0.000,0.000
2.189,3.668,3.668,19.232,0.000,0.000
3.550,3.668,3.668,19.115,0.000,0.000
8.029,2.620,4.247,22.896,0.000,1.627
1.953,1.834,1.953,22.896,0.000,0.119
1.756,1.834,1.834,22.818,0.000,0.000
1.632,1.310,1.553,22.896,0.000,0.243
1.608,1.048,1.608,22.896,0.000,0.560
4.649,0.786,4.649,22.896,0.000,3.863
14.530,1.834,14.530,22.896,0.000,12.696
7.750,1.834,7.750,22.896,0.000,5.916
2.625,2.620,2.625,22.896,0.000,0.005
1.987,3.144,3.144,21.739,0.000,0.000
2.144,3.668,3.668,20.215,0.000,0.000
2.904,3.668,3.668,19.451,0.000,0.000
2.010,2.620,2.620,18.842,0.000,0.000
1.138,1.834,1.834,18.145,0.000,0.000
0.930,1.834,1.834,17.242,0.000,0.000
0.623,1.310,1.310,16.555,0.000,0.000
1.306,1.048,1.048,16.813,0.000,0.000
3.516,0.786,0.786,19.543,0.000,0.000
13.421,1.834,10.068,22.896,0.000,8.234
10.417,1.834,10.417,22.896,0.000,8.583
4.016,2.620,4.016,22.896,0.000,1.396
1.598,3.144,3.144,21.350,0.000,0.000
4.073,3.668,3.668,21.755,0.000,0.000
1.359,3.668,3.668,19.446,0.000,0.000
3.109,2.620,2.620,19.935,0.000,0.000
7.534,1.834,4.573,22.896,0.000,2.739
4.765,1.834,4.765,22.896,0.000,2.931
2.092,1.310,2.092,22.896,0.000,0.782
2.778,1.048,2.778,22.896,0.000,1.730
4.428,0.786,4.428,22.896,0.000,3.642
6.972,1.834,6.972,22.896,0.000,5.138
3.125,1.834,3.125,22.896,0.000,1.291
5.164,2.620,5.164,22.896,0.000,2.544
2.097,3.144,3.144,21.849,0.000,0.000
1.085,3.668,3.668,19.267,0.000,0.000
0.888,3.668,3.668,16.487,0.000,0.000
0.802,2.620,2.620,14.668,0.000,0.000
0.791,1.834,1.834,13.625,0.000,0.000
4.717,1.834,1.834,16.509,0.000,0.000
1.882,1.310,1.310,17.080,0.000,0.000
1.022,1.048,1.048,17.055,0.000,0.000
0.941,0.786,0.786,17.209,0.000,0.000
3.724,1.834,1.834,19.099,0.000,0.000
2.951,1.834,1.834,20.216,0.000,0.000
4.008,2.620,2.620,21.604,0.000,0.000
2.144,3.144,3.144,20.605,0.000,0.000
2.951,3.668,3.668,19.888,0.000,0.000
2.063,3.668,3.668,18.283,0.000,0.000
2.725,2.620,2.620,18.388,0.000,0.000
2.933,1.834,1.834,19.487,0.000,0.000
2.504,1.834,1.834,20.157,0.000,0.000
1.325,1.310,1.310,20.172,0.000,0.000
1.522,1.048,1.048,20.646,0.000,0.000
3.532,0.786,1.282,22.896,0.000,0.496
6.872,1.834,6.872,22.896,0.000,5.038
5.850,1.834,5.850,22.896,0.000,4.016
1.813,2.620,2.620,22.089,0.000,0.000
3.080,3.144,3.144,22.025,0.000,0.000
1.837,3.668,3.668,20.194,0.000,0.000
0.865,3.668,3.668,17.391,0.000,0.000
1.256,2.620,2.620,16.027,0.000,0.000
1.162,1.834,1.834,15.355,0.000,0.000
1.146,1.834,1.834,14.666,0.000,0.000
5.083,1.310,1.310,18.439,0.000,0.000
2.313,1.048,1.048,19.704,0.000,0.000
3.445,0.786,0.786,22.363,0.000,0.000
1.574,1.834,1.834,22.103,0.000,0.000
1.771,1.834,1.834,22.040,0.000,0.000
2.452,2.620,2.620,21.872,0.000,0.000
2.778,3.144,3.144,21.506,0.000,0.000
1.335,3.668,3.668,19.173,0.000,0.000
0.907,3.668,3.668,16.412,0.000,0.000
1.982,2.620,2.620,15.773,0.000,0.000
8.191,1.834,1.834,22.131,0.000,0.000
19.295,1.834,18.530,22.896,0.000,16.696
6.349,1.310,6.349,22.896,0.000,5.039
3.508,1.048,3.508,22.896,0.000,2.460
2.092,0.786,2.092,22.896,0.000,1.306
4.108,1.834,4.108,22.896,0.000,2.274
1.795,1.834,1.834,22.857,0.000,0.000
1.556,2.620,2.620,21.793,0.000,0.000
1.527,3.144,3.144,20.176,0.000,0.000
1.992,3.668,3.668,18.500,0.000,0.000
1.540,3.668,3.668,16.372,0.000,0.000
0.796,2.620,2.620,14.548,0.000,0.000
