Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
11/1959,0.883,1.834,1.834,49.049,0,0.000
12/1959,0.673,1.834,1.834,47.888,0,0.000
01/1960,1.842,1.310,1.310,48.420,0,0.000
02/1960,1.477,1.048,1.048,48.849,0,0.000
03/1960,4.899,0.786,0.786,52.962,0,0.000
04/1960,3.022,1.834,1.834,54.150,0,0.000
05/1960,3.014,1.834,1.834,55.330,0,0.000
06/1960,1.766,2.620,2.620,54.476,0,0.000
07/1960,1.104,3.144,3.144,52.436,0,0.000
08/1960,1.296,3.668,3.668,50.063,0,0.000
09/1960,0.668,3.668,3.668,47.063,0,0.000
10/1960,5.177,2.620,2.620,49.620,0,0.000
11/1960,3.051,1.834,1.834,50.837,0,0.000
12/1960,3.719,1.834,1.834,52.722,0,0.000
01/1961,1.535,1.310,1.310,52.947,0,0.000
02/1961,5.172,1.048,1.048,57.070,0,0.000
03/1961,6.694,0.786,0.786,62.978,0,0.000
04/1961,5.874,1.834,1.834,67.018,0,0.000
05/1961,4.294,1.834,1.834,69.478,0,0.000
06/1961,5.973,2.620,2.620,72.831,0,0.000
07/1961,1.958,3.144,3.144,71.645,0,0.000
08/1961,1.837,3.668,3.668,69.814,0,0.000
09/1961,1.214,3.668,3.668,67.360,0,0.000
10/1961,1.051,2.620,2.620,65.791,0,0.000
11/1961,1.075,1.834,1.834,65.032,0,0.000
12/1961,1.808,1.834,1.834,65.006,0,0.000
01/1962,3.062,1.310,1.310,66.758,0,0.000
02/1962,1.632,1.048,1.048,67.342,0,0.000
03/1962,2.515,0.786,0.786,69.071,0,0.000
04/1962,9.582,1.834,1.834,76.819,0,0.000
05/1962,3.771,1.834,1.834,78.756,0,0.000
06/1962,1.608,2.620,2.620,77.744,0,0.000
07/1962,1.661,3.144,3.144,76.261,0,0.000
08/1962,0.865,3.668,3.668,73.458,0,0.000
09/1962,0.849,3.668,3.668,70.638,0,0.000
10/1962,0.830,2.620,2.620,68.849,0,0.000
11/1962,1.046,1.834,1.834,68.061,0,0.000
12/1962,1.138,1.834,1.834,67.365,0,0.000
01/1963,1.064,1.310,1.310,67.119,0,0.000
02/1963,0.815,1.048,1.048,66.886,0,0.000
03/1963,3.974,0.786,0.786,70.073,0,0.000
04/1963,7.140,1.834,1.834,75.380,0,0.000
05/1963,2.284,1.834,1.834,75.829,0,0.000
06/1963,2.486,2.620,2.620,75.695,0,0.000
07/1963,1.905,3.144,3.144,74.457,0,0.000
08/1963,0.836,3.668,3.668,71.624,0,0.000
09/1963,0.604,3.668,3.668,68.561,0,0.000
10/1963,0.704,2.620,2.620,66.645,0,0.000
11/1963,0.733,1.834,1.834,65.544,0,0.000
12/1963,0.704,1.834,1.834,64.415,0,0.000
01/1964,0.668,1.310,1.310,63.772,0,0.000
02/1964,0.657,1.048,1.048,63.381,0,0.000
03/1964,2.993,0.786,0.786,65.588,0,0.000
04/1964,4.746,1.834,1.834,68.501,0,0.000
05/1964,2.586,1.834,1.834,69.253,0,0.000
06/1964,0.988,2.620,2.620,67.621,0,0.000
07/1964,0.662,3.144,3.144,65.139,0,0.000
08/1964,0.423,3.668,3.668,61.894,0,0.000
09/1964,0.489,3.668,3.668,58.715,0,0.000
10/1964,0.778,2.620,2.620,56.873,0,0.000
11/1964,1.367,1.834,1.834,56.405,0,0.000
12/1964,1.511,1.834,1.834,56.082,0,0.000
01/1965,1.296,1.310,1.310,56.068,0,0.000
02/1965,0.849,1.048,1.048,55.869,0,0.000
03/1965,5.600,0.786,0.786,60.683,0,0.000
04/1965,13.421,1.834,1.834,72.270,0,0.000
05/1965,9.448,1.834,1.834,79.884,0,0.000
06/1965,4.502,2.620,2.620,81.766,0,0.000
07/1965,1.453,3.144,3.144,80.075,0,0.000
08/1965,1.151,3.668,3.668,77.558,0,0.000
09/1965,1.593,3.668,3.668,75.483,0,0.000
10/1965,1.104,2.620,2.620,73.966,0,0.000
11/1965,1.127,1.834,1.834,73.260,0,0.000
12/1965,7.285,1.834,1.834,78.711,0,0.000
01/1966,3.585,1.310,1.310,80.985,0,0.000
02/1966,7.477,1.048,1.048,87.414,0,0.000
03/1966,4.136,0.786,0.786,90.764,0,0.000
04/1966,5.658,1.834,1.834,94.588,0,0.000
05/1966,3.340,1.834,1.834,96.095,0,0.000
06/1966,4.323,2.620,2.620,97.798,0,0.000
