Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
0.883,1.834,2.785,0.000,-0.951,0
0.673,1.834,2.995,0.000,-1.161,0
1.842,1.310,1.310,0.532,0.000,0
1.477,1.048,1.048,0.961,0.000,0
4.899,0.786,0.786,5.074,0.000,0
3.022,1.834,1.834,6.262,0.000,0
3.014,1.834,1.834,7.442,0.000,0
1.766,2.620,2.620,6.588,0.000,0
1.104,3.144,3.144,4.548,0.000,0
1.296,3.668,3.668,2.176,0.000,0
0.668,3.668,4.493,0.000,-0.825,0
5.177,2.620,2.620,2.557,0.000,0
3.051,1.834,1.834,3.774,0.000,0
3.719,1.834,1.834,5.659,0.000,0
1.535,1.310,1.310,5.884,0.000,0
5.172,1.048,1.048,10.008,0.000,0
6.694,0.786,0.786,15.915,0.000,0
5.874,1.834,1.834,19.955,0.000,0
4.294,1.834,1.834,22.415,0.000,0
5.973,2.620,2.620,25.768,0.000,0
1.958,3.144,3.144,24.582,0.000,0
1.837,3.668,3.668,22.751,0.000,0
1.214,3.668,3.668,20.297,0.000,0
1.051,2.620,2.620,18.728,0.000,0
1.075,1.834,1.834,17.969,0.000,0
1.808,1.834,1.834,17.943,0.000,0
3.062,1.310,1.310,19.695,0.000,0
1.632,1.048,1.048,20.279,0.000,0
2.515,0.786,0.786,22.008,0.000,0
9.582,1.834,1.834,29.756,0.000,0
3.771,1.834,1.834,31.693,0.000,0
1.608,2.620,2.620,30.681,0.000,0
1.661,3.144,3.144,29.198,0.000,0
0.865,3.668,3.668,26.395,0.000,0
0.849,3.668,3.668,23.575,0.000,0
0.830,2.620,2.620,21.786,0.000,0
1.046,1.834,1.834,20.998,0.000,0
1.138,1.834,1.834,20.302,0.000,0
1.064,1.310,1.310,20.056,0.000,0
0.815,1.048,1.048,19.823,0.000,0
3.974,0.786,0.786,23.010,0.000,0
7.140,1.834,1.834,28.317,0.000,0
2.284,1.834,1.834,28.766,0.000,0
2.486,2.620,2.620,28.632,0.000,0
1.905,3.144,3.144,27.394,0.000,0
0.836,3.668,3.668,24.561,0.000,0
0.604,3.668,3.668,21.498,0.000,0
0.704,2.620,2.620,19.582,0.000,0
0.733,1.834,1.834,18.481,0.000,0
0.704,1.834,1.834,17.352,0.000,0
0.668,1.310,1.310,16.709,0.000,0
0.657,1.048,1.048,16.318,0.000,0
2.993,0.786,0.786,18.526,0.000,0
4.746,1.834,1.834,21.438,0.000,0
2.586,1.834,1.834,22.190,0.000,0
0.988,2.620,2.620,20.558,0.000,0
0.662,3.144,3.144,18.076,0.000,0
0.423,3.668,3.668,14.831,0.000,0
0.489,3.668,3.668,11.652,0.000,0
0.778,2.620,2.620,9.810,0.000,0
1.367,1.834,1.834,9.342,0.000,0
1.511,1.834,1.834,9.019,0.000,0
1.296,1.310,1.310,9.005,0.000,0
0.849,1.048,1.048,8.806,0.000,0
5.600,0.786,0.786,13.620,0.000,0
13.421,1.834,1.834,25.207,0.000,0
9.448,1.834,1.834,32.821,0.000,0
4.502,2.620,2.620,34.703,0.000,0
1.453,3.144,3.144,33.012,0.000,0
1.151,3.668,3.668,30.495,0.000,0
1.593,3.668,3.668,28.420,0.000,0
1.104,2.620,2.620,26.903,0.000,0
1.127,1.834,1.834,26.197,0.000,0
7.285,1.834,1.834,31.648,0.000,0
3.585,1.310,1.310,33.922,0.000,0
7.477,1.048,1.048,40.351,0.000,0
4.136,0.786,0.786,43.701,0.000,0
5.658,1.834,1.834,47.526,0.000,0
3.340,1.834,1.834,49.032,0.000,0
4.323,2.620,2.620,50.735,0.000,0
6.157,3.144,3.144,53.748,0.000,0
1.330,3.668,3.668,51.410,0.000,0
2.092,3.668,3.668,49.834,0.000,0
1.847,2.620,2.620,49.061,0.000,0
2.544,1.834,1.834,49.771,0.000,0
4.531,1.834,1.834,52.468,0.000,0
4.381,1.310,1.310,55.539,0.000,0
8.152,1.048,1.048,62.643,0.000,0
6.867,0.786,0.786,68.724,0.000,0
5.763,1.834,1.834,72.653,0.000,0
