Monat,G001_m3s,G002_m3s,G003_m3s,G004_m3s,G005_m3s,G006_m3s,G007_m3s,G008_m3s,G009_m3s,G010_m3s,G011_m3s,G012_m3s,G013_m3s,G014_m3s,G015_m3s,G016_m3s,G017_m3s,G018_m3s,G019_m3s,G020_m3s,G021_m3s,G022_m3s,G023_m3s,G024_m3s,G025_m3s,G026_m3s,G027_m3s,G028_m3s,G029_m3s,G030_m3s,G031_m3s,G032_m3s,G033_m3s,G034_m3s,G035_m3s,G036_m3s,G037_m3s,G038_m3s,G039_m3s,G040_m3s,G041_m3s,G042_m3s,G043_m3s,G044_m3s,G045_m3s,G046_m3s,G047_m3s,G048_m3s,G049_m3s,G050_m3s,G051_m3s,G052_m3s,G053_m3s,G054_m3s,G055_m3s,G056_m3s,G057_m3s,G058_m3s,G059_m3s,G060_m3s,G061_m3s,G062_m3s,G063_m3s,G064_m3s,G065_m3s,G066_m3s,G067_m3s,G068_m3s,G069_m3s,G070_m3s,G071_m3s,G072_m3s,G073_m3s,G074_m3s,G075_m3s,G076_m3s,G077_m3s,G078_m3s,G079_m3s,G080_m3s,G081_m3s,G082_m3s,G083_m3s,G084_m3s,G085_m3s,G086_m3s,G087_m3s,G088_m3s,G089_m3s,G090_m3s,G091_m3s,G092_m3s,G093_m3s,G094_m3s,G095_m3s,G096_m3s,G097_m3s,G098_m3s,G099_m3s,G100_m3s
11/1959,0.8246898133110371,0.42284759675371697,0.48904639482799495,0.36764880382684717,0.472776320381737,0.7094801822664045,1.5822862205394397,0.7268552378135151,0.823552026921075,1.6112257061068673,1.2004504201239141,0.9749429711849049,1.6122162282799122,0.741227818532628,0.8560767690671616,0.18097829416234523,1.364817636341221,1.534183215133715,1.2389805582416993,0.8316043956883762,1.3985287965727387,1.163810123499769,1.0412058292841855,1.5995152260066003,0.693766118774007,1.196500054755966,0.5697596416354516,0.6880364246327962,1.3707199431637331,1.6172938486663724,0.14519809823503538,0.61378662773905,1.3212358493808924,0.8595466213957644,0.5298436784908589,0.7243546037740389,1.6917784563718898,2.915984242430808,1.656858576869893,1.2328644266644189,0.4549179798996449,0.5482307157300544,1.0017427530181258,0.8151746879787127,0.7167130837238158,1.1307577450971977,0.1447695094744541,1.4760370548639945,1.289628441494697,1.4844737043196408,1.034040954404,1.1294007091196958,1.2095536812752448,1.0251255606538165,0.9334604814680341,0.4196608188506238,0.23456103140597684,0.9593642208737942,0.8915965356162934,0.5794875426338014,0.5809833844140097,0.4010106912587261,1.4826621067702899,2.2647351128870543,0.8028551789599714,1.4269010221435932,1.0636092389402705,1.0109444630733695,1.9704533808073816,1.6492582383940158,2.118769668907345,1.2363905396264545,1.564939042845931,1.1946037248771253,1.5336431781596078,0.3519140747545324,0.8300092754926119,0.6738098389514375,0.7791910625603418,1.189230719977422,0.730557206956201,1.1642091542711879,0.9968140037318217,0.7526122655146419,0.7428099744070739,1.3552772538180837,1.1982731896656913,0.8677440578452772,1.0582702189475377,1.4234436911066273,1.2757617517231334,0.3746484434456756,0.6877609327336858,1.4494438657407909,0.1381171983900107,1.5597157579881165,1.3635432351040175,0.8991860212441914,0.699951421923075,2.4293669194319873
12/1959,0.6065684306080893,0.7581780373370068,0.5656816347247291,0.6337988929399521,0.5946307032501839,3.8019808628045793,2.018096343582277,1.9949874949514004,0.5256403307711146,1.147791575071407,0.7581186122842439,0.9631448316636879,2.5678053693630787,0.8824530777806152,0.9426486844833113,1.404990954548662,1.4854416231388252,4.170276423527177,3.4885551618932893,0.5314916147524508,1.3114454419202826,0.818030387059179,1.3719271283768992,1.0607583499335869,0.4004901417086433,1.2600869612714627,0.5927147433102775,1.1049346715074153,1.1552419913658918,1.7668908578773677,0.9150704060393762,0.3722629233405077,2.1012309169496612,2.890108275385412,1.842268847657627,1.8236282460795623,1.348351997574039,2.241200208008483,6.400097381874217,2.6061321365013073,0.2773268382888322,1.7824704035147358,3.4130746914160053,0.9215711719347311,2.2888381235037407,1.1508033081393174,1.6621368958120937,3.171904748170231,3.687692228954697,2.0076508349352116,1.1944004233089158,2.5553250831142664,0.7822469808053787,0.7003951046525014,0.7901526779721674,3.261156901469793,0.9104983270790196,4.386202681627824,1.8852450100414913,1.7231045383536399,0.3324168966048361,0.1738366457700563,1.683375606724594,3.7074959381017667,1.916493979213571,2.912152136033371,1.4896828074862793,0.662737651528783,1.515126696630115,1.0683591223451459,1.4011862295934567,0.8369562494972443,1.0439494325933887,1.808729174955571,2.386649662514053,0.8026400934274412,1.6049786255918828,0.3658712915980733,2.2685268257664415,1.3683150057512874,0.4126617233280877,0.7835035423735974,0.6137793948958904,2.470820891441005,0.9757629510113233,1.1177584059281727,0.7599398068328335,0.4856778669260373,1.500856027909,2.0707162159094796,1.0877550797457078,0.5739692406146425,0.5725724781652793,1.2658857647436665,0.842660322792936,1.83638453629053,1.0560380484075162,0.9469638576001471,1.4019438186026454,1.64359509092791
01/1960,1.5198106210279436,1.6563605020780403,2.4025029235073556,1.8309266883994224,0.33652730342122905,1.5154241826866308,1.226846094593439,1.0275867390782678,1.5038506725305418,2.322199577803061,2.0118261002273474,1.5694245825872704,2.1342550176365664,0.5980992450003373,0.2632870112709249,0.1813902108839729,1.3927158065552365,1.5692124148278086,1.9737807452218765,1.308379256763886,2.5546282170278776,0.6247153622313912,2.459039251373828,2.237155991863579,1.4290722789389072,1.0848126908220994,2.09990346434899,0.4980061992912379,1.8624176642113124,2.5006671981561888,2.2315809980537598,1.2963659052931356,1.9191792517793598,0.9293385170328096,0.5329398676201094,0.2085329010869197,1.5241177623817799,2.0984258383800847,2.721881290639865,1.7803318025279535,0.2875383201923791,2.7353375437275895,3.170444592336462,1.506106802365557,0.35073897800150244,1.5569856454680575,0.8079769579763509,2.204990518776467,1.7634890123168072,0.8946921849334014,0.8593985240183768,1.062660252775725,1.4527877700760432,1.6920914746328566,1.6409223026506985,0.6286580924054135,0.16339129485765946,2.242655716842982,2.733605255090871,0.41185373779884427,0.3313061827673185,1.7744354734725842,1.720016441681777,1.5631450048779678,2.320077111197673,2.88043450272383,2.509851580069048,1.629599466230618,0.29502316345807067,1.1327463463808012,1.3009435486898953,1.8551911947852096,2.1914349221235794,2.966877445075795,1.6047444321608972,0.4268246088762012,2.6170075562299164,1.4016057578277565,1.1978273925765168,1.6363868434022115,0.9081160808820433,2.0030474233333107,2.4769412904424435,1.3660302333737158,1.6085017964517068,0.802690693032841,1.3933114708133911,1.275523697509726,1.2603762094277455,2.006179382631421,0.3937043167773453,1.1092634847573064,1.433985379465406,2.08059340696334,2.1184219978397927,0.39952629402505546,2.511681763699978,0.19725559966871353,3.037683115171393,1.7620164664592763
02/1960,0.9361946385111752,2.5133948114098663,1.2357304976273475,1.9484342233959344,0.9266272406280163,1.9424797304887949,0.5763607892739204,1.050042679850105,2.2125931936693903,1.1285887246332944,0.7862766017882562,1.9811160997674229,1.650419307022347,0.7521454678467493,1.0584080649854584,2.247156448078991,2.3172536266582764,2.027506784014375,2.035021392701012,1.8892280866025568,2.4539301389921753,1.5319619193948848,1.2380880801020555,1.098989075471115,0.1552458080464887,0.8442868446819014,1.542987388068182,1.1191709218172756,1.383598088516226,1.9880706028434605,2.196182310271039,1.3535264744055433,0.9196247248561847,0.7410714413538215,0.5700547202599905,2.2001068582116257,2.0781854129879105,1.5364258944525808,1.2720507695603198,1.3456615488601704,0.8211487600339972,1.6637271996420804,2.715360639129856,2.2204807722200948,0.6575917407013291,0.7780833742038031,1.453459204181619,2.122758846276816,0.8233536014087957,0.7601767490004716,0.9729374356789927,1.8265267863382495,1.9047944650824107,0.8589691979744547,0.3221836946189265,1.9926356126965032,1.3884487810461756,0.36736382135366974,1.1756979136787535,0.6949846372514179,0.6442180378931045,1.5227218877850002,1.2434597648978043,0.9691110832562773,2.592949136036811,1.2173167662467914,2.0303909453134126,1.2360052675925528,0.17936627860610266,1.9902003286129515,1.3622872886912656,1.0288616699510877,2.214278891587783,1.4861021387446194,2.3376352949372294,1.7007819475107433,1.8607412406825754,0.38610450951385245,1.1887816153694168,1.1883976076660596,0.48279845059320226,2.082514823519726,0.9242140317442115,0.6277972106723713,1.310464166240675,1.6424497188294707,1.3782759528510335,0.9224029273080323,0.11557137662033057,0.23657586787990714,0.4464638088426481,0.24413819004390058,1.2886065644193085,2.4227517552711113,2.0408492347251945,0.5281160760921244,1.611973247574739,0.1597676440196616,1.7903126469580992,1.053280758279603
03/1960,2.452353883956158,1.339729682853254,3.858624570157107,3.039084455191528,2.7357029918134104,3.1103163140470116,1.031240616244538,0.8203001163580812,2.4403207221076895,1.9413744286631773,3.153104438278202,1.9817651799442313,0.20772350745503587,2.3870609232145945,1.6252582816161814,0.9751944239352897,0.9838404257226638,1.337809545537005,1.063238166477241,1.832700534961651,2.7428805790477933,1.244391130014161,2.0270013175572896,0.5807194654959322,1.023971340016239,0.4885336731913077,3.233774066156827,1.0448537897033643,1.334981542308478,1.411912756404564,2.1300698564806892,2.6761144790455136,1.0304048890856359,2.5386305961426814,1.7257542870204035,2.2939066983883003,1.8305396045857312,1.5900327021979512,3.985865840559256,0.8941830461507574,1.9906739510798936,1.6573414119498977,2.8377594460083055,3.00672264754175,0.966390586453373,2.095588285404833,5.0748350315161925,2.1142909181907483,1.2157462210796262,2.206824430942123,3.284425463338682,2.6565684418407107,2.3322531837016824,2.784329835695266,2.51846999077001,1.9218641382889676,2.1951958518509125,1.5695562215200716,3.116798433888277,2.578728961692661,1.329266438944503,2.072677794091419,1.2167458544518501,1.7876378209374362,2.08526918092516,2.56966653157931,2.6828472391101648,1.8936085842495303,0.6777977319621875,3.120035646315464,0.6829396800625318,0.3956180685965256,2.4706438728576,2.3956852487502,3.3377821632416644,2.687052915737196,1.7365857470018955,3.164083516147221,3.3823655812815074,3.2098601565677383,2.4440743156435154,4.565619064677039,1.4449830201817038,3.1879838797872884,2.8726165342459993,1.8330755025662167,0.7676137747827148,0.5864024326970383,0.5966745458812461,2.0209780928217445,2.2373143643217643,2.3561056247366476,2.6645002492575447,1.1243671617090623,2.170702731698978,3.567809232841247,1.566160668355383,2.49651546268546,2.632274372045603,0.8061464405384109
04/1960,2.731375408610837,2.307672417418872,2.9030486081183624,4.14862896017709,2.625229517246692,2.781558575632917,4.562633985522957,3.0285839323660504,2.220668408988656,5.303492197251115,5.953973889922255,3.797006764279466,2.816645599650924,2.527393333259168,3.3215270040992686,4.2606775096933935,3.767781440395067,2.109911300009966,4.344337510224058,4.664379415380795,2.896905262422523,3.301907503916799,3.3399864910913966,2.453730877890258,1.6330876818209208,1.1309023378070773,3.961954594742253,2.768033736792102,2.8905388808810275,1.9789758024749708,2.0479708294716574,0.7667137871620975,2.91715760809969,1.6028921428148366,2.734659250547327,3.122525380633125,3.632101632539732,2.360727875667541,2.3022902742434974,2.572951341434619,2.1908675219443756,0.9185544610989629,2.934596741398784,2.8696147253217457,1.953216962815039,4.042680668591475,1.7681206762637225,0.3077201882591982,2.3304816175569547,5.145695427209975,3.5663964671906063,3.379667707180836,3.256081040510926,1.9874278115855812,4.10186256410745,1.824020685352246,0.7345293075432116,3.073540029734435,3.3528176700780845,2.594059794518534,4.5733258444641045,1.0505994405627161,3.7133442702939314,1.302220001596841,1.8099838161989186,0.162402027431924,2.4879846536267483,3.462763073552545,2.794409844457487,4.326753907074842,1.5350255937370723,2.303377814792003,1.824306104475946,2.493342640106926,5.481102077682911,2.8033929058711884,4.765999384999634,4.408550799969181,3.3367134654758384,2.536367592871261,3.5664456426596187,2.4584212130909098,3.5767554296166315,1.0089098232009805,4.035704865541269,4.0523863498798605,2.92063656517277,3.055011305374005,3.6360319736298967,4.481658643033969,1.851096201673839,1.3418253736989745,1.2388658607744123,1.9631286107712227,3.554695203183737,4.429011450418937,2.720288510482405,2.5254140429561924,2.949830074752485,3.64253439309839
05/1960,1.0990470921857853,0.5372183814642182,0.8522251779957287,2.775105604350787,1.4405785181543125,0.882153193497875,2.2958131811872877,1.1592276244930433,2.065681590054474,2.045395033317352,2.0634679232188624,1.5124648664814608,1.0537954178850064,0.9925617069919891,1.410076496813804,2.752802146627516,1.499702416994004,1.9056706857583001,1.4294083384683045,4.25293669387292,1.6628306284930192,2.155864368876218,0.8969761367244828,1.0744474789339749,1.2647401142221337,1.1248945185214063,1.304554365657048,2.8906723018941527,1.5304727180863638,0.9743105074484857,1.084078105909642,0.10839805556816773,1.3284473514055084,1.0784958669881641,2.215403130998419,1.8117382703211293,1.3248918430780767,1.9615317828377914,0.5246525050844744,1.0334898630580671,0.9585401994866984,0.5849553512758726,0.9704444003567487,0.8610345761818681,0.5672603648921397,1.2853534746478692,1.346261357000628,0.4818395959824168,0.6256789446849732,1.9120337626478172,2.288055194657584,1.7714285531211935,0.924469367983514,1.0320807034820618,1.4483769478096882,0.6104232012089703,0.3762210495578287,1.413114177996536,1.192087728172639,1.4274914988134997,2.0552983516861376,0.5353398016367272,1.6598744259187037,1.2575984698285079,0.9310832601407578,0.7986032537593539,1.6941829266782833,1.6032084650340228,1.0268574058372795,1.6529929252343551,0.8655621200103761,1.0398076598685795,2.3984962778117582,1.587605445664929,2.5307445367374104,1.0604752839978708,1.7307439647913556,1.4719124408507724,0.8900841322514309,1.0657265195822254,1.1628102950622665,1.3372068767464844,1.187169803421018,0.2799045554031171,1.448774056806229,3.111693301233621,0.7877856366542935,1.4890648202637837,4.113120338515319,1.835303349443416,0.4398619429629199,0.9527995512011587,0.25404982069462057,0.7428164312640362,2.115794906205558,1.681581934004737,2.071766803816922,0.8613685880516563,1.4061511298886773,1.0515712958229142
06/1960,1.3799159613585745,1.1104898731689739,1.0591171452377168,1.898303286390199,0.5806590186845276,0.25088016035410066,1.5551340532543927,0.8303947768799328,1.6813558748227595,1.1347260742936132,1.2103263693011281,1.5949435998198473,0.9859319895297354,0.7007898805947848,1.2784221761969952,1.924648055005981,1.7296833183308515,1.4898825240127482,1.0818150413061636,2.6890187622061497,0.9003876993855933,0.8922861631397695,0.2511369049805129,0.9451928153340641,0.5540999207342653,1.3012062617651496,1.718992716494917,1.134102169540092,1.7679206085176715,0.5999417659538356,0.4270699307962437,0.9897858812968606,1.5561687863615146,0.9558276474188945,1.02062953310062,0.35335149227052165,0.672613645072246,1.058011331732892,0.250562031922814,0.15954771585943228,0.7161084452040487,0.875236167760629,0.9588404554347969,0.9729710890135412,1.2221255894336784,1.3301380139174999,0.8533030703213033,1.401982111308698,0.715662283584464,0.6768284050224126,0.7981164105969594,0.8106477721334416,1.6008626953852478,1.4302201721264889,0.9401303222929833,0.3681722664747866,0.7905455470702667,1.48863368821587,0.8935812740308571,0.9888388478682575,0.8480200145722071,0.8785096852236559,1.487549203395604,0.43632142873567303,0.9926533142453262,0.6155686351578226,1.4459017297580292,1.324486836705567,1.0174359440931,1.1563292506621266,0.6732710527493352,0.6054921922195736,1.6461540920852507,0.9585756193714585,2.014323141736822,0.8874036181656002,0.893488617357148,0.9443590751982286,1.0846702273122322,0.9236276676706071,1.0620175000110679,1.1086987683609184,1.5226918276110337,0.10217700396568219,0.9827611294173221,1.8417773009658722,0.9455145437747502,1.233293549316848,1.195725965422199,1.2481193142199472,0.732514471887841,0.6889860154253898,0.2536643508900515,0.15702299459148217,1.1561821010850655,1.3171152351831836,0.6914147710119012,1.071131376818405,0.46885892874062857,1.8173962592895887
07/1960,1.252643858250534,2.0082068673544935,0.9577007739982447,0.45136032509291024,0.920319143484617,0.6942781146816429,1.4208494657584474,0.666450742042294,0.5129146586522331,2.1800858523054134,0.20086754968514797,0.2663287228974116,0.7666962815878694,0.7800993522683843,0.8213466155857081,0.7164729081080458,2.0192947594961734,1.6676059530548875,0.6917248217540171,1.9352241226875284,1.2600120644538582,1.71091670791758,2.2564140974351785,1.0625969732110627,0.46108853932784843,0.43878761415176637,0.5579653575392967,0.22848322348123395,0.3518750927557259,1.8048196454799503,0.3975272999389724,1.411206073426254,1.6536986717173103,0.7621080480247028,0.8447114812896215,1.023039958824714,0.8773261279653253,1.9243127483727016,1.3968279701767208,1.1286555865327728,0.6201532100427505,0.8503665298814904,0.6593069121511452,0.548444532400691,0.2557743884990673,0.5484593594435268,0.6667042498580237,2.693508573243829,0.4740663450596574,2.196384026817815,1.8622814062221793,0.14186203998245683,0.5626461506137574,1.3082582802681595,1.14840699277598,0.4676626209229423,0.3498848835614842,0.3545786377024607,0.9663752120339029,0.6018927101452094,0.6882730504154857,0.33897653698879393,2.2753801117284085,1.158112310486736,1.3199007923977617,1.9358317742465179,0.258484304400626,0.8596883948073859,1.5662231016756232,1.4594965501791144,0.5557082302277097,1.5123773736210029,0.9252977950548981,0.5640370467702306,1.354116611799379,1.6808445684699036,1.5164240319456064,0.6054361672967035,0.7877745760483632,1.9234869343476126,0.455826400820143,1.0121198674057055,0.15976952716232884,1.2868909385172107,0.9707437531182223,0.45674652568694407,0.4161454961295788,3.49372900541064,0.4049983394452307,1.5273427435062834,0.6209816071138589,1.2008542824997712,0.7567745671866123,0.2948735891062063,0.5947107129233047,0.39787264957509827,0.7407763275068656,1.0427220504701813,1.0465136248821962,0.4918753011368725
08/1960,0.6104962643101747,0.7868421318424166,1.2025997117942318,0.39906560102639493,0.8762829909706734,1.3266461937898022,0.6757734382219996,0.8752198196259275,0.5082706170331284,0.6518451996092879,1.5863985748523166,0.7515055966066886,0.21939858755695707,1.1092392589743905,0.21252033577056917,1.7004430865510338,0.8044531582209365,0.8739191527975587,1.4380120554786877,0.44181622580886876,0.20677729214290064,1.1592251359770078,1.9625339690041719,0.5474486706793629,0.7880936680018638,0.46857510225618426,1.0774136260003075,0.6628099486194995,0.3437673420525939,0.6644218771756438,0.41447032511628523,0.27891333844573385,1.8656383946006403,1.2070426288567606,1.5322165784034696,0.6517961307491486,0.6128559028496087,1.3897239157659542,0.4886319998844947,0.2003520082899578,0.672628920898798,1.4911944506901142,0.8899250905229182,1.035374884781402,0.656258841527038,0.7829081655024362,1.0259551960587345,1.0290480727834572,0.7527104815151563,1.4753801508286588,0.7250963206176171,1.1333776299132445,0.2634082789637278,0.7878289162257985,0.5060729508350132,1.529901003424948,0.136017807099876,1.1005757536436642,0.5904145390959785,0.464180400804285,0.6260559016692643,1.403121990663795,0.35708519420278784,0.8346948217200765,1.0899579373728514,0.530678791730246,1.124979960732099,0.2477171099388769,1.0886869052310562,0.8097298548493355,0.9020138501201345,1.4201585592241228,0.5885535267600546,0.8762258350168382,1.093316183256052,0.5399231341533534,0.9224846924950567,0.3864947768958405,0.7101001241362253,0.9166973175491311,0.6837443109752439,1.3545527320844415,0.3529834258542554,0.9822676228876177,0.5138838305218375,0.49639920943119265,0.6610066256147663,1.4216631828128867,0.10104879460989136,1.0359829177601974,0.15414175351666615,0.7986902587747036,0.8273652870472753,0.22781292922087637,0.8224680374454443,1.4098110236905406,0.5698733073207137,0.43405800384008464,1.4064457913484478,0.9471794639251241
